codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion,notas
688a9ddc03116800046fec8a,VELADOR CAPIBARA (25137),"Juguete mayorista VELADOR CAPIBARA (25137), presentación para reventa, categoría juguetes.","Juguete VELADOR CAPIBARA (25137), presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",VELADOR CAPIBARA (25137)|VELADOR CAPIBARA|VELADOR|Capibara|Juguete,ACTUALIZAR,demo_local
688a9f2f29a1bd0004dc362e,VELADOR CAPIBARA C/ SACA PUNTAS (25138 - 25140),"Juguete VELADOR CAPIBARA C/ SACA PUNTAS (25138 - 25140), lampara de ecritorio capibara.","Juguete VELADOR CAPIBARA C/ SACA PUNTAS (25138 - 25140), presentación mayorista para reventa.",VELADOR CAPIBARA C/ SACA PUNTAS (25138 - 25140)|VELADOR CAPIBARA C/ SACA PUNTAS|VELADOR CAPIBARA|VELADOR|Capibara|Juguete,ACTUALIZAR,demo_local
688aa01f29a1bd0004dc3632,VELADOR CAPIBARA (25139),"Juguete mayorista VELADOR CAPIBARA (25139), presentación para reventa, categoría juguetes.","Juguete VELADOR CAPIBARA (25139), presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",VELADOR CAPIBARA (25139)|VELADOR CAPIBARA|VELADOR|Capibara|Juguete,ACTUALIZAR,demo_local
688aa141fc6b660004b37d74,VELADOR CAPIBARA (74),"Juguete mayorista VELADOR CAPIBARA (74), presentación para reventa, categoría juguetes.","Juguete VELADOR CAPIBARA (74), presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",VELADOR CAPIBARA (74)|VELADOR CAPIBARA|VELADOR|Capibara|Juguete,ACTUALIZAR,demo_local
688aa253fc6b660004b37d78,VELADOR KITTY CELESTE / ROSA,"Juguete mayorista VELADOR KITTY CELESTE / ROSA, presentación para reventa, categoría juguetes.","Juguete VELADOR KITTY CELESTE / ROSA, presentación mayorista para reventa, apto reventa mayorista en Paraná.",VELADOR KITTY CELESTE / ROSA|VELADOR KITTY|VELADOR|Juguete,ACTUALIZAR,demo_local
688aa36929a1bd0004dc3645,VELADOR LABUBU (342/343),"Juguete mayorista VELADOR LABUBU (342/343), presentación para reventa, categoría juguetes.","Juguete VELADOR LABUBU (342/343), presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",VELADOR LABUBU (342/343)|VELADOR LABUBU|VELADOR|Labubu|Juguete,ACTUALIZAR,demo_local
689503dea287b0000470ad49,ARCO Y FLECHA CON SOPAPA,"Juguete ARCO Y FLECHA CON SOPAPA, arco y flechas de super heroes, modelo de spiderman y.","Juguete ARCO Y FLECHA CON SOPAPA, presentación mayorista para reventa.",ARCO Y FLECHA CON SOPAPA|ARCO FLECHA|ARCO|Juguete,ACTUALIZAR,demo_local
6895046acdf946000440b36e,"PONY PARA PEINAR ""TINY""","Juguete PONY PARA PEINAR ""TINY"", pony para peinar marca ""tiny"", tres colores dosponibles. viene con.","Juguete PONY PARA PEINAR ""TINY"", presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.","PONY PARA PEINAR ""TINY""|PONY PEINAR|PONY|Juguete",ACTUALIZAR,demo_local
689507a7cdf946000440b373,AUTO A FRICCION MEGA F1,"Juguete AUTO A FRICCION MEGA F1, autos mega f1 a friccion. 5 colores disponibles. medida aprox.","Juguete AUTO A FRICCION MEGA F1, presentación mayorista para reventa.",AUTO A FRICCION MEGA F1|AUTO FRICCION|AUTO|Juguete,ACTUALIZAR,demo_local
6895081bcdf946000440b374,AUTO TRANSFORMERS,"Juguete AUTO TRANSFORMERS, auto transformers. 4 modelos diferentes con accesorios. medidas aprox de.","Juguete AUTO TRANSFORMERS, presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",AUTO TRANSFORMERS|AUTO|Juguete,ACTUALIZAR,demo_local
68c965555abc0f0004b75c90,TOALLA DE MANO - ART 997,"Artículo de blanquería TOALLA DE MANO - ART 997, toalla de mano doble guarda. algodon 100%. las medidas son.","Blanquería TOALLA DE MANO - ART 997, presentación mayorista para reventa.",TOALLA DE MANO - ART 997|TOALLA MANO|TOALLA|Blanquería,ACTUALIZAR,demo_local
68c966c0bef61e0004bae856,TOALLA DE MANO - ART 995,"Artículo de blanquería TOALLA DE MANO - ART 995, tolla de mano doble guarda marca ""wossen"", 100% de algodón.","Blanquería TOALLA DE MANO - ART 995, presentación mayorista para reventa.",TOALLA DE MANO - ART 995|TOALLA MANO|TOALLA|Blanquería,ACTUALIZAR,demo_local
68c979871038dd0004dd2553,TOALLON SECADO RAPIDO CON FUNDA - (1.75X1.0CM),"Artículo de blanquería TOALLON SECADO RAPIDO CON FUNDA - (1.75X1.0CM), tallón de secado rápido marca ""terrenal"", ideales para realizar deporte.","Blanquería TOALLON SECADO RAPIDO CON FUNDA - (1.75X1.0CM), presentación mayorista para reventa.",TOALLON SECADO RAPIDO CON FUNDA - (1.75X1.0CM)|TOALLON SECADO RAPIDO CON FUNDA -|TOALLON SECADO|TOALLON|Blanquería,ACTUALIZAR,demo_local
68c979bc1038dd0004dd2555,TOALLON SECADO RAPIDO CON FUNDA - (1.30X80cm),"Artículo de blanquería TOALLON SECADO RAPIDO CON FUNDA - (1.30X80cm), tallón de secado rápido marca ""terrenal"", ideales para realizar deporte.","Blanquería TOALLON SECADO RAPIDO CON FUNDA - (1.30X80cm), presentación mayorista para reventa.",TOALLON SECADO RAPIDO CON FUNDA - (1.30X80cm)|TOALLON SECADO RAPIDO CON FUNDA -|TOALLON SECADO|TOALLON|Blanquería,ACTUALIZAR,demo_local
68c97a0c1038dd0004dd2558,"TOALLA DE SECADO RAPIDO ""TERRENAL"" - (50X35CM)","Artículo de blanquería TOALLA DE SECADO RAPIDO ""TERRENAL"" - (50X35CM), toalla de secado rápido marca ""terrenal"". para realizar deporte, medidas.","Blanquería TOALLA DE SECADO RAPIDO ""TERRENAL"" - (50X35CM), presentación mayorista para reventa.","TOALLA DE SECADO RAPIDO ""TERRENAL"" - (50X35CM)|TOALLA DE SECADO RAPIDO ""TERRENAL"" -|TOALLA SECADO|TOALLA|Terrenal|Blanquería",ACTUALIZAR,demo_local
68c981ed57ed4f00043b65f8,CORTINA DE AMBIENTE 1.20X2.00 M.,"Artículo de blanquería CORTINA DE AMBIENTE 1.20X2.00 M., cortina de ambiente 1.20x2.00m. tres colores disponibles.","Blanquería CORTINA DE AMBIENTE 1.20X2.00 M., presentación mayorista categoría blanqueria y novedades.",CORTINA DE AMBIENTE 1.20X2.00 M.|CORTINA AMBIENTE|CORTINA|Blanquería,ACTUALIZAR,demo_local
6927043d3f47ac0004fabc7e,BOX 5 PARES DE MEDIAS 3/4 PARA ADULTO.,"Combo BOX 5 PARES DE MEDIAS 3/4 PARA ADULTO., box de 5 pares surtido de medias tenis o 3/4, x5 unidades.","Combo BOX 5 PARES DE MEDIAS 3/4 PARA ADULTO., x5 unidades.",BOX 5 PARES DE MEDIAS 3/4 PARA ADULTO.|BOX PARES|BOX|Medias|Combo,ACTUALIZAR,demo_local
693989ce7ebf570004b72cd6,REPASADOR ECO,"Artículo de blanquería mayorista REPASADOR ECO, presentación para reventa, categoría blanqueria y novedades.","Blanquería REPASADOR ECO, presentación mayorista categoría blanqueria y novedades, apto reventa mayorista en Paraná.",REPASADOR ECO|REPASADOR|Blanquería,ACTUALIZAR,demo_local
69a838e7c02d0b0004a00953,FAJA REDUCTORA CON BOLSILLO PARA CELULAR,"Artículo mayorista FAJA REDUCTORA CON BOLSILLO PARA CELULAR, presentación para reventa, categoría novedades.","Artículo FAJA REDUCTORA CON BOLSILLO PARA CELULAR, presentación mayorista para reventa.",FAJA REDUCTORA CON BOLSILLO PARA CELULAR|FAJA REDUCTORA|FAJA|Artículo,ACTUALIZAR,demo_local
69a8391a3191d7000414d6ea,PARAGUA CHICO PARA BOLSO,"Artículo mayorista PARAGUA CHICO PARA BOLSO, presentación para reventa, categoría novedades.","Artículo PARAGUA CHICO PARA BOLSO, presentación mayorista categoría novedades, apto reventa mayorista en Paraná.",PARAGUA CHICO PARA BOLSO|PARAGUA CHICO|PARAGUA|Artículo,ACTUALIZAR,demo_local
69a839fcfcfe180004c820b4,BALANZA COMERCIAL 40KG,"Artículo de bazar mayorista BALANZA COMERCIAL 40KG, presentación para reventa, categoría bazar.","Bazar BALANZA COMERCIAL 40KG, presentación mayorista categoría bazar, apto reventa mayorista en Paraná.",BALANZA COMERCIAL 40KG|BALANZA COMERCIAL|BALANZA|Bazar,ACTUALIZAR,demo_local
69a83a8efcfe180004c820b5,CORREA  PARA MASCOTAS,"Artículo mayorista CORREA  PARA MASCOTAS, presentación para reventa, categoría novedades.","Artículo CORREA PARA MASCOTAS, presentación mayorista categoría novedades, apto reventa mayorista en Paraná.",CORREA PARA MASCOTAS|CORREA MASCOTAS|CORREA|Artículo,ACTUALIZAR,demo_local
69a83a9dfcfe180004c820b6,BALANZA COMERCIAL 40KM CON VISOR,"Artículo de bazar BALANZA COMERCIAL 40KM CON VISOR, categoría bazar.","Bazar BALANZA COMERCIAL 40KM CON VISOR, presentación mayorista para reventa.",BALANZA COMERCIAL 40KM CON VISOR|BALANZA COMERCIAL|BALANZA|Bazar,ACTUALIZAR,demo_local
69a83b623191d7000414d6ef,TAPON DE TERMO,"Artículo de bazar mayorista TAPON DE TERMO, presentación para reventa, categoría bazar.","Bazar TAPON DE TERMO, presentación mayorista categoría bazar, apto reventa mayorista en Paraná.",TAPON DE TERMO|TAPON TERMO|TAPON|Bazar,ACTUALIZAR,demo_local
69a83c8ac02d0b0004a00957,ENCENDEDOR CON LINTERNA,"Artículo mayorista ENCENDEDOR CON LINTERNA, presentación para reventa, categoría novedades.","Artículo ENCENDEDOR CON LINTERNA, presentación mayorista categoría novedades, apto reventa mayorista en Paraná.",ENCENDEDOR CON LINTERNA|ENCENDEDOR LINTERNA|ENCENDEDOR|Artículo,ACTUALIZAR,demo_local
69a84132fcfe180004c820c0,NAIPE “UNO” LABUBU,"Artículo mayorista NAIPE “UNO” LABUBU, presentación para reventa, categoría novedades.","Artículo NAIPE “UNO” LABUBU, presentación mayorista categoría novedades, apto reventa mayorista en Paraná.",NAIPE “UNO” LABUBU|NAIPE UNO|NAIPE|Labubu|Artículo,ACTUALIZAR,demo_local
69a84168fcfe180004c820c3,TUPPER APILABLE PLASTICO X 3,"Artículo de bazar TUPPER APILABLE PLASTICO X 3, categoría bazar.","Bazar TUPPER APILABLE PLASTICO X 3, presentación mayorista para reventa.",TUPPER APILABLE PLASTICO X 3|TUPPER APILABLE|TUPPER|Bazar,ACTUALIZAR,demo_local
