schema,product_code,nombre,status,source,query,tokin_ref,tokin_name,tokin_brand,image_url,image_url_prev
gonzales,13644,GARRAPIÑADA CON CHOCOLATE ARCOR 30X100G,miss,tokin_catalog,ARC-1013644,,,,,
gonzales,13865,RAPTOR BARRA PROTEIN MANI 6X16X45G,miss,tokin_catalog,ARC-1013865,,,,,
gonzales,13978,COFLER BLOCK MAX BLANCO 30X100G,miss,tokin_catalog,ARC-1013978,,,,,
gonzales,13980,ALMENDRA BLACK VELVET AGUILA 30X120G,miss,tokin_catalog,ARC-1013980,,,,,
gonzales,13981,MANI CON CHOCOLATE BLANCO ARCOR 40X80G,miss,tokin_catalog,ARC-1013981,,,,,
gonzales,13987,MEDALLON  AGUILA DOS SABORES 20X12X14G,miss,tokin_catalog,ARC-1013987,,,,,
gonzales,14170,PASAS COFLER CHOC 30x100G,miss,tokin_catalog,ARC-1014170,,,,,
gonzales,14171,ALMENDRAS COFLER CHOCOLATE BLANCO 30x100G,miss,tokin_catalog,ARC-1014171,,,,,
gonzales,14172,ALMENDRAS COFLER CHOCOLATE LECHE 30x100G,miss,tokin_catalog,ARC-1014172,,,,,
gonzales,14173,MANI CROCANTE CON CHOCOLATE COFLER 30X100G,miss,tokin_catalog,ARC-1014173,,,,,
gonzales,14206,POSTRE BONOBON 6x12x95G,miss,tokin_catalog,ARC-1014206,,,,,
gonzales,14208,POSTRE BONOBON TENTACION 6x12x120G,miss,tokin_catalog,ARC-1014208,,,,,
gonzales,14223,NV BONOBON CAJA PINO 24x7x15G,miss,tokin_catalog,ARC-1014223,,,,,
gonzales,14238,ALMENDRA DOBLE TENTACION AGUILA 30x120G,miss,tokin_catalog,ARC-1014238,,,,,
gonzales,14240,POSTRE COFLER BLANCO CHOCOLINAS 6X6X110G,miss,tokin_catalog,ARC-1014240,,,,,
gonzales,14241,CEREAL CHOCO CRISP ARCOR 32x50G,miss,tokin_catalog,ARC-1014241,,,,,
gonzales,14242,PASAS DE UVA CON CHOCOLATE AGUILA MAX 30X120G,miss,tokin_catalog,ARC-1014242,,,,,
gonzales,14245,POSTRE COFLER BLOCK CHOCOMANI 6X6X110G,miss,tokin_catalog,ARC-1014245,,,,,
gonzales,14694,CUBANITOS BONOBON 30X78G,miss,tokin_catalog,ARC-1014694,,,,,
gonzales,14738,POSTRE CHOCOTORTA 6X12X110G,miss,tokin_catalog,ARC-1014738,,,,,
gonzales,14751,MINI TUBITO SANDIA 24X100G,miss,tokin_catalog,ARC-1014751,,,,,
gonzales,14754,PAN DULCE BAGLEY FRUTOS SECOS 6X700G,miss,tokin_catalog,ARC-1014754,,,,,
gonzales,14768,TURRON ALMENDRA CRANBERRIES ARCOR 35X100G,miss,tokin_catalog,ARC-1014768,,,,,
gonzales,14769,TURRON ALMENDTA CACAO ARCOR 35X100G,miss,tokin_catalog,ARC-1014769,,,,,
gonzales,14770,TURRON ALMENDRA ALICANTE ARCOR 35X100G,miss,tokin_catalog,ARC-1014770,,,,,
gonzales,14820,HUEVO ROCKLETS COHETE 6X530GR,miss,tokin_catalog,ARC-1014820,,,,,
gonzales,15073,ROCKLETS PASTA DE MANI 12X18X40GR,miss,tokin_catalog,ARC-1015073,,,,,
gonzales,15248,PAN DULCE BAGLEY ARANDANOS Y CHIPS 12X400G,miss,tokin_catalog,ARC-1015248,,,,,
gonzales,15249,PAN DULCE BAGLEY FRUTOS SECOS 12X400G,miss,tokin_catalog,ARC-1015249,,,,,
gonzales,15281,PAN DULCE COFLER RELLENO CHOCO 10X450G,miss,tokin_catalog,ARC-1015281,,,,,
gonzales,15282,PAN DULCE COFLER RELLENO DULCE DE LECHE 10X450G,miss,tokin_catalog,ARC-1015282,,,,,
gonzales,15284,BUDIN COFLER RELLENO DULCE DE LECHE 6X250G,miss,tokin_catalog,ARC-1015284,,,,,
gonzales,15289,PAN DULCE ARCOR CON FRUTAS LATA 6X400G,miss,tokin_catalog,ARC-1015289,,,,,
gonzales,15295,BUDIN AGUILA RELLENO CHOCOLATE 6X250G,miss,tokin_catalog,ARC-1015295,,,,,
gonzales,15296,BUDIN COFLER CHIPS 18x215G,miss,tokin_catalog,ARC-1015296,,,,,
gonzales,15297,BUDIN AGUILA CHIPS 18X215G,miss,tokin_catalog,ARC-1015297,,,,,
gonzales,15301,BUDIN ARCOR CON CHIPS 18X215G,miss,tokin_catalog,ARC-1015301,,,,,
gonzales,15307,TURRON COCO ARCOR 4X28X80G,miss,tokin_catalog,ARC-1015307,,,,,
gonzales,15308,PISTACHO GARRAPIÑADOS 30X80G,miss,tokin_catalog,ARC-1015308,,,,,
gonzales,15309,GARRAPIÑADA CARAMELO 40X80G,miss,tokin_catalog,ARC-1015309,,,,,
gonzales,15328,HUEVO COFLER COOKIES 12x162GR,miss,tokin_catalog,ARC-1015328,,,,,
gonzales,15331,HUEVO ARCOR MILK NENA 12X180GR,miss,tokin_catalog,ARC-1015331,,,,,
gonzales,15332,HUEVO ARCOR MILK NENE 12X180GR,miss,tokin_catalog,ARC-1015332,,,,,
gonzales,15333,FIGURA CHOCOLATE OSO BON O BON  6X12X65GR,miss,tokin_catalog,ARC-1015333,,,,,
gonzales,15334,HUEVITO BON O BON COCO 8X60X8GR,miss,tokin_catalog,ARC-1015334,,,,,
gonzales,15342,HUEVO ROCKLETS 12X110GR,miss,tokin_catalog,ARC-1015342,,,,,
gonzales,1958,GARRAPIÑADA MANI ARCOR 40X80G,miss,tokin_catalog,ARC-101958,,,,,
gonzales,2401,TURRON MANI CON MIEL ARCOR 3X18X120G,miss,tokin_catalog,ARC-102401,,,,,
gonzales,2402,TURRON MANI ARCOR 15X280G,miss,tokin_catalog,ARC-102402,,,,,
gonzales,2404,TURRON MANI ARCOR 4X28X80G,miss,tokin_catalog,ARC-102404,,,,,
gonzales,2831,TURRON MANI CON FRUTA ARCOR 3X18X120G,miss,tokin_catalog,ARC-102831,,,,,
gonzales,2835,TURRON MANI ARCOR 3X18X120G,miss,tokin_catalog,ARC-102835,,,,,
gonzales,3116,TURRON MANI CON FRUTA ARCOR 4X28X80G,miss,tokin_catalog,ARC-103116,,,,,
gonzales,3265,TURRON CROCANTE MANI ARCOR 28X80G,miss,tokin_catalog,ARC-103265,,,,,
gonzales,3926,TURRON MANI BAÑADO CHOCOLATE ARCOR 35X90G,miss,tokin_catalog,ARC-103926,,,,,
gonzales,4158,ROCKLETS NAVIDAD 30X120G,miss,tokin_catalog,ARC-104158,,,,,
gonzales,4181,MINI ROCKLETS NAVIDAD 30X120G,miss,tokin_catalog,ARC-104181,,,,,
gonzales,4230,ROCKLETS MANI CON CHOCOLATE 24X120G,miss,tokin_catalog,ARC-104230,,,,,
