nombre,telefono,telefono_normalizado,email,vat,direccion,zip,ref,lista_precios_odoo,odoo_id,match_status,client_id,client_phone
Maria Villeda,,,,,"312 N Federal Hwy, Hallandale Beach",33009,,Default (USD) (USD),13823,sin_telefono,,
AMILCO,,,,,,,,Default (USD) (USD),487,sin_telefono,,
ANDES TROPICAL LLC,(678) 488-2992,6784882992,,,"3856 OAKCLIFF INDUSTRIAL CT, ATLANTA",30340,,Default (USD) (USD),488,existente,148,16784882992
ANDES VALLEY L.L.C.,,,,L20000396258,"201 Crandon Blvd APT 161, Key Biscayne",33149-1517,,Default (USD) (USD),13908,sin_telefono,,
ANDIAS FROZEN,,,,,"1000 N BROADWALK, HOLLYWOOD",33019,,Default (USD) (USD),489,sin_telefono,,
ANGELES FOOD CORP,,,angelsfoodcorp@gmail.com,,"4245 EAST 4TH AVE, HIALEAH",33013,,Default (USD) (USD),490,sin_telefono,,
ANGELICA PAZ,,,,,,,,Default (USD) (USD),491,sin_telefono,,
ANTOINE MELHEM,,,TONYOATRADES@GMAIL.COM,,1682 E OAKLAND PARK BLVD,33334,,Default (USD) (USD),492,sin_telefono,,
"APOLLO EXPORT WAREHOUSE, INC",(305) 592-8790,3055928790,TOML@BCNEUROPESUPPLY.COM,,"6950 NW 77 Court, Miami",33166,,Default (USD) (USD),493,existente,24,13055928790
AR Espanola - Rosaluna Cafe,+1 646-757-0482,16467570482,info@rosalunacafe.com,,"200 S Biscayne Blvd, Miami",33130,,Default (USD) (USD),494,existente,113,116467570482
ARABICO LLC,(305) 645-1884,3056451884,arabicocf@gmail.com,,"1021 NE 110 Street, Biscayne Park",33161,,Default (USD) (USD),495,existente,149,13056451884
"ARCO LOGISTICS, LLC",,,gerencia@algcol.com,,,,,Default (USD) (USD),496,sin_telefono,,
AROMA CATERING INC,+1 305-330-5432,13053305432,aromacatering12@gmail.com,,"530 Sharazad Blvd, Miami",33054,,Aroma Café (USD),13835,existente,36,113053305432
ARTISANAL HOME FOOD  LLC,,,FPEDRERO@ME.COM,,"251 Crandon Blvd, #906, Miami",33149,,Default (USD) (USD),499,sin_telefono,,
ASAADA CORP.  - NAHUÉN - KEY BISCAYNE,(305) 361-0662,3053610662,keybiscayne@nahuen.com,,"⁠260 Crandon Blvd, Key Biscayne",33149,,Nahuen (USD),500,existente,37,13053610662
Jorge,+1 786-890-1720,17868901720,,,"⁠260 Crandon Blvd, Key Biscayne",33149,,Nahuen (USD),13911,nuevo,,
AURA BOWLS,(786) 909-0573 NATALIA,7869090573,,,"760 Jefferson Ave, Miami Beach",33139,,Default (USD) (USD),502,existente,59,17869090573
AYE CATERING LLC,(305) 456-7277,3054567277,ayecateringllc@gmail.com,,"7836 NW 178th St, Hialeah",33015,,Default (USD) (USD),503,existente,12,13054567277
Acai by the Sea,+1 781-443-2105,17814432105,,,"7601 E Treasure Drive
Suite CU14, North bay village",33141,,Default (USD) (USD),473,existente,40,117814432105
Acai exotic,(305) 918-1700,3059181700,,,"1835 E HALLANDALE BEACH BLVD, HALLANDALE BEACH",33009,,Default (USD) (USD),474,existente,150,13059181700
Ace General Hauling LLC,+1 7869096211,17869096211,acegeneralhaulingllc@gmail.com,,"3901 SW 109th Ave Apt A7, Miami",33165,,Default (USD) (USD),477,existente,151,117869096211
Adriana Cherry,(754) 366-9620,7543669620,Adrianaicherry@gmail.com,,"2420 dove creek drive, Little elm",75068,,Default (USD) (USD),478,existente,152,17543669620
Alchemy Juice co & Market,(561) 889-6294,5618896294,,,"527 Clematis St, West Palm Beach",33401,,Default (USD) (USD),482,existente,154,15618896294
Amanda Sanclemente,,,,,,,,Default (USD) (USD),13875,sin_telefono,,
"Amazonic Ventures, LLC dba Nativo Acai",(305) 446-4806,3054464806,info@nativoacai.com,,"PMB 1274, 1000 Brickell Ave, Suite 715, Miami",33131,,Default (USD) (USD),485,existente,155,13054464806
Aries Supermarket,(305) 558-9114,3055589114,romazifoodcorp@outlook.com,,"5945 W 25 CT, HIALEAH",33016,,Default (USD) (USD),497,existente,156,13055589114
Aunties Key to Life Juice Bar,(786) 732-0185,7867320185,,,"17350 S dixie Hwy, Palmetto Bay",33157,,Default (USD) (USD),501,existente,157,17867320185
B&A Gourmet Foods LLC - Art meat,,,accounting@artmeat.com,,"3740 W 104th st unit 12, Hialeah",33018,,Default (USD) (USD),498,sin_telefono,,
BA Food Imports LLC,,,admin@bafoodimports.com,,"435 east 77th st  Suite 4E, New York",10075,,Default (USD) (USD),13882,sin_telefono,,
BAHAMAS FISH,(305) 877-3888,3058773888,,,"13399 SW BIRD ROAD, Miami",,,Default (USD) (USD),504,existente,158,13058773888
BAKERY CORP,(305) 623-3838,3056233838,luis.lacal@bakerycorp.com,,"15625 NW 15 ave, Miami",33169,,Default (USD) (USD),505,existente,159,13056233838
BAY  SUPERMARKET,(305) 864-3433,3058643433,Baysupermarket@comcast.com,,"909 Normandy Dr., Miami Beach",33141,,Default (USD) (USD),506,existente,35,13058643433
BB 18 trading LLC,,,"RUBEN@FOODSALESFORCE.COM , MIGDELIA@FOODSALESFORCE.COM",,"2000 Island Blvd - Suite 905, Aventura",33160,,Default (USD) (USD),507,sin_telefono,,
BE FRESH MEAT & FISH SUPERMARKET,(786) 269-8523,7862698523,keyfoodsupermarket@yahoo.com,,"12010 N Miami Ave, Miami",33168,,Default (USD) (USD),508,existente,160,17862698523
Benfresh LLC,+1 786-403-5046,17864035046,benazzichristian@gmail.com,,"7337 NW 37 AVE, MIAMI",33147,,Default (USD) (USD),3,existente,50,117864035046
BENFRESH MARKET LLC,+1 786-403-5046,17864035046,benazzichristian@gmail.com,,"7337NW 37 AVE, Miami",33147,,Default (USD) (USD),509,existente,50,117864035046
"BENFRESH,LLC",(786) 403-5046,7864035046,benazzichristian@gmail.com,,"7337 NW 37 AVE
UNIT 3, MIAMI",33147,,Default (USD) (USD),12739,existente,50,117864035046
BLEND PLUS,(561) 385-8263,5613858263,,,"1925N Military Trail, West Palm Beach",33409,,Default (USD) (USD),512,existente,161,15613858263
BLENDERS JUICE BAR,(954) 812-5233,9548125233,,,"600-2 W Hallandale Beach Blvd, Hallandale Beach",33009,,Default (USD) (USD),513,existente,85,19548125233
BLUE LAVENDER CAFE,(305) 390-6282,3053906282,,,"1414 Collins Ave codigo puerta 1414 A, Miami Beach",33139,,Default (USD) (USD),515,existente,69,13053906282
BRAVO HOLLYWOOD WEST PARK,(954) 362-7099,9543627099,bravo.westpark@gmail.com,,"4000 SW 40 Ave., West Park",33023,,Default (USD) (USD),517,existente,86,19543627099
BRAVO KENDALL SUPERMARKET,(305) 252-0870,3052520870,,,"11247 SW 152 Street, Kendall",33157,,Default (USD) (USD),518,existente,162,13052520870
BRAVO OAKLAND - Fort Lauderdale,(954) 769-1985,9547691985,,,"3400 N Andrews Ave, Fort Lauderdale",33309,,Default (USD) (USD),519,existente,163,19547691985
BRAVO OAKLAND WEST,(954) 909-0368,9549090368,,,"6330 Oakland Park Blvd, Sunrise",33313,,Default (USD) (USD),520,existente,164,19549090368
BRAVO PEMBROKE #53,(954) 986-4039,9549864039,,,"6767 Pembroke Rd., Pembroke Pines",33023,,Default (USD) (USD),521,existente,132,19549864039
BRAVO SABAL,(305) 751-3373,3057513373,,,"5299 NE 2 AVE, Miami",33137,,Default (USD) (USD),522,existente,165,13057513373
BRAVO SUPERMARKET (Lords Plaza),,,,,"12630 SW 8th St, Miami",33184,,Default (USD) (USD),523,sin_telefono,,
BRAVO SUPERMARKET - Homestead,(786) 349-4986,7863494986,,,"32955 S Dixie Hwy, Florida City",33034,,Default (USD) (USD),524,existente,166,17863494986
BRAVO WEST palm,,,,,,,,Default (USD) (USD),525,sin_telefono,,
BRENO LEITE,(786) 678-4637,7866784637,Brenomoreiraleite@gmail.com,,"19900 E COUNTRY CLUB DR. PH04., Aventura",33180,,Default (USD) (USD),526,existente,44,17866784637
BROTHERS FARMERS MARKET II,(561) 814-2847,5618142847,,,"1937 N Military Trail, West Palm Beach",33409,,Default (USD) (USD),529,existente,167,15618142847
"BUDARE BISTRO MARKET, LLC",,,,,"1830 SW  3rd Ave., Miami",33129,,Default (USD) (USD),532,sin_telefono,,
BY THE POUND,,,,,,,,Default (USD) (USD),534,sin_telefono,,
Big Mike's Baking Company,(954) 952-3100,9549523100,bigmikesglutenfree@gmail.com,,"7891 W Sample Rd, Coral Springs",33065,,Default (USD) (USD),511,existente,168,19549523100
Bliss food international LLC,,,Blisslogistic847@gmail.com,,,,,Default (USD) (USD),514,sin_telefono,,
Boca Brazil Supermarket,(561) 372-0777,5613720777,,,"22819 State Road 7, Boca Raton",33428,,Default (USD) (USD),516,existente,169,15613720777
Brothers Farmers Market - Sunrise,(954) 747-3970,9547473970,,,"3431 N Hiatus Road, Sunrise",33351,,Default (USD) (USD),527,existente,114,19547473970
Brothers Farmers Market Davie,(954) 585-2225,9545852225,,,"6871 Sterling Road, Davie",33314,,Default (USD) (USD),528,existente,170,19545852225
Broward Meat & Fish #1,(954) 597-2552,9545972552,lcurbelo@browardmeatandfish.com,,"8040 W Mc Nab Rd., Fort Lauderdale",33068,,Default (USD) (USD),530,existente,171,19545972552
Broward Meat & Fish #3,(954) 437-8330,9544378330,,,"8030 Pines Blvd, Pembroke Pines",33024,,Default (USD) (USD),531,existente,172,19544378330
Bruno Borges,(410) 948-9123,4109489123,brunosborges@gmail.com,,"801 Fairway Drive, Miami Beach",33141,,Default (USD) (USD),479,existente,153,14109489123
Adriana Molina,,,,,"801 Fairway Drive, Miami Beach",33141,,Default (USD) (USD),13901,sin_telefono,,
Buns and Roses Catering dba Le Macaron,(954) 329-8125,9543298125,dan@bunsandrosescatering.com,,"142 NW 209 Way, Pembroke Pines",33029,,Default (USD) (USD),533,existente,173,19543298125
CACAO EXPRESS,,,,,"7165 SW 47th St. Suite 312, Miami",33155,,Default (USD) (USD),535,sin_telefono,,
Elda Benshimol,+1 786-413-6562,17864136562,,,"7165 SW 47th St. Suite 312, Miami",33155,,Default (USD) (USD),13866,existente,174,117864136562
CAFE BONJOUR,(305) 491-1088,3054911088,,,"865 Collins Ave Ste. B, Miami Beach",33139,,Default (USD) (USD),537,existente,42,13054911088
CAFE CANELA RESTAURANT,,,,,"15960 WEST STATE RD 84, WESTON",33326,,Default (USD) (USD),538,sin_telefono,,
"CAMERICAN INTERNATIONAL, INC",(440) 223-9161,4402239161,rparedes@camerican.com,,"1649 N Decatur Road, NE, Atlanta",33307,,Default (USD) (USD),541,existente,175,14402239161
CARROT EXPRESSCOMMISSARY LLC,,,admin@carrotexpress.com,,"105 E HALLANDALE BEACH BLVD, HALLANDALE BEACH",33009,,Default (USD) (USD),13839,sin_telefono,,
CASA DO PASTEL - ws food's corp,(954) 781-8778,9547818778,,,"430 E Sample Rd, Pompano Beach",33064,,Default (USD) (USD),542,existente,176,19547818778
CASA MAIZ RESTAURANT,,,,,"7396 W 4th Ave, Hialeah",33014,,Default (USD) (USD),543,sin_telefono,,
CELIS DELRAY BEACH,,,invoices@celisjuicebar.com,,"335 E linton Blvd B-12, Delray Beach",33483,,Default (USD) (USD),545,sin_telefono,,
CELIS PRODUCE,,,invoices@celisjuicebar.com,,"2814 S Dixie Hwy Suite D, West Palm Beach",33405,,Price List (USD),546,sin_telefono,,
CELIS WEST PALM BEACH,,,invoices@celisjuicebar.com,,"340 ROYAL POINCIANA WAY C4, PALM BEACH",33480,,Default (USD) (USD),547,sin_telefono,,
CELIS WPB - RAILROAD,,,invoices@celisjuicebar.com,,"895 N RAILROAD AVE (PASS 7482), WEST PALM BEACH",33401,,Default (USD) (USD),548,sin_telefono,,
CHEESE XPRESS,(954) 274-3317,9542743317,,,"9970 W OAKLAND PARK BLVD, SUNRISE",33351,,Default (USD) (USD),550,existente,177,19542743317
"CHEF ODELL, LLC",(305) 761-5756,3057615756,chefodell.llc@yahoo.com,,"12222 SW 132 CORT, MIAMI",33186,,Default (USD) (USD),551,existente,178,13057615756
CONSUMER,,,,,,,,Default (USD) (USD),553,sin_telefono,,
CULINARY AFFAIRS BY DOMINIC INC,(754) 366-8682,7543668682,1culinaryaffairs@gmail.com,,"2400 Griffin Road, Fort Lauderdale",33312,,Default (USD) (USD),555,existente,179,17543668682
CUSTOMER BORDER PROTECTION,,,,,,,,Default (USD) (USD),556,sin_telefono,,
Caesar's Acai Corp,(954) 487-8090,9544878090,,,"120 NE 23rd Street, Miami",33137,,Default (USD) (USD),536,existente,180,19544878090
Café Deli Grab n’ Go,(786) 503-5052,7865035052,Gbendana0829@icloud.com,,"1059 Collins #104, Miami Beach",33139,,Default (USD) (USD),539,existente,181,17865035052
California foods corp,(786) 728-6088,7867286088,,,"10530 NW 37th Terrace, Doral",33178,,Default (USD) (USD),540,existente,100,17867286088
Charanga Catering,(786) 795-9590,7867959590,,,"233 W 28th st, Hialeah",33010,,Default (USD) (USD),549,existente,19,17867959590
Cheney Brothers,(561) 845-4700,5618454700,carlosf@cheneybrothers.com,,"1 Cheney Way, Riviera Beach",33404,,Cheeny brothers (USD),12763,existente,33,15618454700
Compañia Industrial Frutihorticola S.A. - CIFSA,,,,,"Padre Cardiel 4702, Mar del Plata",,,Default (USD) (USD),552,sin_telefono,,
Cornycopia,(786) 587-9554,7865879554,,,"14601 SW 103rd Ct, Miami",33176,,Default (USD) (USD),554,existente,101,17865879554
D&S On Time Trucking LLC,,,dstrucking0511@gmail.com,,"6703 Bayfront Dr, Margate",33063,,Default (USD) (USD),13853,sin_telefono,,
D&S On Time Trucking LLC,+1 305-799-4277,13057994277,dstrucking0511@gmail.com,,"6703 Bayfront Dr, Margate",33063,,Default (USD) (USD),13852,existente,133,113057994277
DAIMIS CAFE,,,,,"23601 SW 177 KROME, MIAMI",33031,,Default (USD) (USD),557,sin_telefono,,
"DAIRY SHINE, LLC",(561) 908-3806,5619083806,alexa.dairyshine@gmail.com,,"1809 S POWERLINE ROAD
SUITE 108C, DEERFIELD BEACH",33442,,Default (USD) (USD),558,existente,182,15619083806
DAVID POSNACK,,,,,,,,Default (USD) (USD),559,sin_telefono,,
DAY3HUNDRED65 LLC,(954) 292-1377,9542921377,DAY3HUNDRED65@GMAIL.COM,,"139 SW 6 STREET, POMPANO BEACH",33060,,Default (USD) (USD),560,existente,183,19542921377
"DDL ROWING, LLC",,,DOLORES@BENFRESHFOOD.COM,,,,,Default (USD) (USD),561,sin_telefono,,
DEL SUR BAKERY,(786) 647-3329 (Eduardo),7866473329,,,"2566 NE MIAMI GARDENS DR, MIAMI",33180,,Default (USD) (USD),562,existente,184,17866473329
DETIOMOI,,,,,"2555 W 3rd ave, Hialeah",33010,,Default (USD) (USD),564,sin_telefono,,
DIANA FOOD GROUP,(954) 788-0411,9547880411,richard@dianafoodgroup.com,,"4020 NE 10TH WAY, POMPANO BEACH",33064,,Default (USD) (USD),565,existente,185,19547880411
DIAZ SUPERMARKET,,,,,"13501 SW 268th St, Homestead",33032,,Default (USD) (USD),566,sin_telefono,,
DIXIE RIBS,305 962 5412 JOHNNY,3059625412,dixieribs@gmail.com,,"2620 W 2 AVE, HIALEAH",33010,,Dixie (USD),568,existente,13,13059625412
"DOS CROQUETAS, LLC",(305) 505-0665,3055050665,vicky@doscroquetas.com,,"7287 NW 78th Terrace, Medley",33166,,Default (USD) (USD),570,existente,186,13055050665
Dennis Leventis,(786) 218-7053,7862187053,,,"8167 NW 201st ST, Miami Lakes",33015,,Default (USD) (USD),563,existente,187,17862187053
Denny,,,,,,,,Default (USD) (USD),13883,sin_telefono,,
Disfrutalos USA,,,Jpm@disfrutalosusa.com,,"3990 W 108th St, Hialeah",33018,,Default (USD) (USD),567,sin_telefono,,
Doral Nutrition (Miguel Carrillo),(786) 301-5187,7863015187,mcglobal@gmail.com,,"10555 NW 41st St
 Ste. 200 - Sub Suite 31, Doral",33178,,Default (USD) (USD),569,existente,188,17863015187
Dr. Juice,(954) 533-7727,9545337727,paiday@live.com,,"222 Comercial Blvd # 104, Lauderdale",33308,,Default (USD) (USD),571,existente,189,19545337727
EL MAGUEY DORADO,,,,,"196 W 25th St, Hialeah",33010,,Default (USD) (USD),578,sin_telefono,,
EL MIO INC,(305) 431-6828,3054316828,,,"12362 QUAIL ROOST DRIVE, Miami",33177,,Default (USD) (USD),579,existente,29,13054316828
EL RANCHITO,(786) 475-2800,7864752800,,,"12320 SW 56 Street, Kendall",33175,,Default (USD) (USD),581,existente,102,17864752800
EL REY ENTERPRISES INC,,,,,"280 W 28 STREET, HIALEAH",33010,,Default (USD) (USD),582,sin_telefono,,
ELISES BANOS,(305) 323-8309,3053238309,,,"1521 NW 93 STREET, MIAMI",33143,,Default (USD) (USD),583,existente,190,13053238309
ERIK'S FIT MEALS,(305) 540-9571,3055409571,,,"10851 SW 40th STREET, MIAMI",33165,,Default (USD) (USD),585,existente,87,13055409571
EXTRA SUPERMARKET,(305) 554-7436,3055547436,extrasupermarketmiami@gmail.com,,"12890 SW 8th street, Miami",33184,,Default (USD) (USD),587,existente,88,13055547436
Easy Parking Systems Inc,,,,,,,,Default (USD) (USD),572,sin_telefono,,
El BODEGON # 6,,,,,"6365 FOREST HILL Blvd, Green Acres",33414,,Default (USD) (USD),573,sin_telefono,,
El BODEGON #4,,,,,"4481 Lake  Worth Rd, Lake Worth",33461,,Default (USD) (USD),576,sin_telefono,,
El BODEGON #5,,,,,"1910 Lake Worth Rd, Lake Worth",33461,,Default (USD) (USD),577,sin_telefono,,
El Bodegon #1,(561) 927-5151,5619275151,,,"West Palm Plaza 4704 Forest Hill Blvd, West Palm Beach",33415,,Default (USD) (USD),574,existente,191,15619275151
El Bodegon #3,(954) 227-2753,9542272753,Comprasbodegon3@hotmail.com,,"8022 W Sample RD, Margate",33065,,Default (USD) (USD),575,existente,192,19542272753
El Patio Supermarket,,,,,,,,Default (USD) (USD),580,sin_telefono,,
Empanadas 305,(786) 332-4869,7863324869,empanada305@gmail.com,,"221 W 27th Street, Hialeah",33010,,Default (USD) (USD),584,existente,60,17863324869
Estación de Pan,+1 561-617-1574,15616171574,estacaodopaousa@gmail.com,,"23269 State Rd 7 #107, Boca Raton",33428,,Default (USD) (USD),13887,existente,134,115616171574
561 345 9964,,,,,"23269 State Rd 7 #107, Boca Raton",33428,,Default (USD) (USD),13888,sin_telefono,,
FESTIVAL  #5 - 7208 North Lauderdale,,,,,"7208 Southgate Blvd, North Lauderdale",33068,,Default (USD) (USD),588,sin_telefono,,
FESTIVAL POMPANO,,,,,"220 NE 17 CT, Pompano Beach",33060,,Default (USD) (USD),589,sin_telefono,,
FESTIVAL SUPERMARKET #4218,(786) 298-7893,7862987893,,,"7346 W Commercial Blvd, Lauderhill",33319,,Default (USD) (USD),591,existente,193,17862987893
FESTIVAL SUPERMARKET - Kendall,(305) 386-3304,3053863304,,,"14870 N Kendall Drive, Miami",33196,,Default (USD) (USD),592,existente,194,13053863304
FESTIVAL SUPERMARKET 3,(305) 551-3344,3055513344,,,"10927 SW 40 STREET, MIAMI",33165,,Default (USD) (USD),593,existente,195,13055513344
FOOD GIANT NW 10th ave (EX BRAVO TROPICAL MEAT & FISH),(305) 953-9503,3059539503,iribek2015@gmail.com,,"11800 NW 10 Ave., Miami",33168,,Default (USD) (USD),599,existente,115,13059539503
FOOD LAB FLORIDA; LLC GABLES DELIGHT,(786) 395-6994,7863956994,info@gablesdelight.com,,"2180 NW 24TH CT UNIT 2602, MIAMI",33142-7115,,Default (USD) (USD),600,existente,31,17863956994
FOOD STAR SUPERMARKET,(305) 559-1487,3055591487,,,"10751 W Flagler Street, Miami",33174,,Default (USD) (USD),601,existente,196,13055591487
FRANCISCO'S CAFE & SERVICES,(305) 223-5599,3052235599,contact@franciscomeals.com,,"2711 SW 137th ave suite 75, Miami",33175,,Marshall's & Francisco's (USD),603,existente,26,13052235599
FRANK'S FRESH FRUIT,(786) 273-1340,7862731340,,,"5291 SW 127 Ave, MIAMI",33175,,Default (USD) (USD),604,existente,79,17862731340
FRANK'S FRESH FRUIT #2,(786) 229-7059,7862297059,yurayura966@yahoo.com,,"6480 SW 8 STREET, WEST MIAMI",33144,,Default (USD) (USD),605,existente,135,17862297059
FRESCO Y MAS # 1717 - 7851 Palm river rd,(813) 620-1043,8136201043,,,"7851 Palm river rd, Tampa",33619,,Fresco y más (USD),606,existente,116,18136201043
FRESCO Y MAS # 201 HIALEAH SHOPPING CENTER,(305) 558-7618,3055587618,,,"6500 W 4th Ave, Hialeah",33012,,Fresco y más (USD),607,existente,136,13055587618
FRESCO Y MAS # 231 en Miami Gardens Shopping,(305) 819-0097,3058190097,,,"5850 N.W. 183Rd Street, Hialeah",33015,,Fresco y más (USD),608,existente,103,13058190097
FRESCO Y MAS # 235 en 3401 NW y 18th Ave,(305) 634-4492,3056344492,,,"3401 NW 18th Ave, MIAMI",33142,,Fresco y más (USD),609,existente,104,13056344492
FRESCO Y MAS # 237 en Inter Plaza,,,,,"12254 SW 8th Street, Miami",33184,,Fresco y más (USD),610,sin_telefono,,
FRESCO Y MAS # 239 Bird Square Plaza,,,,,"14555 SW 42nd St, MIAMI",33155,,Fresco y más (USD),611,sin_telefono,,
FRESCO Y MAS # 242 en Flamingo Plaza Shopping,,,,,"1201 E 10th Ave, Hialeah",33010,,Fresco y más (USD),612,sin_telefono,,
FRESCO Y MAS # 243 en Palm Spring Mile,(305) 556-6588,3055566588,,,"541 West 49th Street, Hialeah",33012,,Fresco y más (USD),613,existente,117,13055566588
FRESCO Y MAS # 2450 - 4056 N Armenia Ave,(813) 876-3280,8138763280,,,"4056 N Armenia ave suite 101, Tampa",33607,,Fresco y más (USD),614,existente,197,18138763280
FRESCO Y MAS # 252 - 1525 Coral Way,(305) 854-8479,3058548479,,,"1525  Coral Way, Coral Gables",33145,,Fresco y más (USD),615,existente,118,13058548479
FRESCO Y MAS # 270 en Lago Plaza,(305) 828-0812,3058280812,,,"2750  W 68th St. Ste 201, Hialeah",33016,,Fresco y más (USD),616,existente,105,13058280812
FRESCO Y MAS # 274 en Taft Street Center,(954) 985-0490,9549850490,,,"6775 Taft St, Hollywood",33024,,Fresco y más (USD),617,existente,106,19549850490
FRESCO Y MAS # 283 Coral Way Plaza,,,,,"8855  Coral Way, MIAMI",33165,,Fresco y más (USD),618,sin_telefono,,
FRESCO Y MAS # 286 en Trail Plaza,,,,,"948  SW 67th Ave, Miami",33144,,Fresco y más (USD),619,sin_telefono,,
FRESCO Y MAS # 287 Shoppes at 104th,,,,,"14655 SW 104th St, Miami",33186,,Fresco y más (USD),620,sin_telefono,,
FRESCO Y MAS # 292 en 1630 West 49th St,(305) 822-7811,3058227811,,,"1630 west 49 street, Hialeah",33012,,Fresco y más (USD),621,existente,89,13058227811
FRESCO Y MAS # 304 Lauderhill Mall,(954) 791-4516,9547914516,,,"1531 NW 40th ave, Lauderhill",33313,,Fresco y más (USD),622,existente,198,19547914516
FRESCO Y MAS # 353 Parkill Plaza,,,,,"9565  W Flagler St., MIAMI",33174,,Fresco y más (USD),623,sin_telefono,,
FRESCO Y MAS # 361 en Westlakes Plaza,,,,,"15050  SW 72nd St, Miami",33193,,Fresco y más (USD),624,sin_telefono,,
FRESCO Y MAS # 384 en Deerwood Town Center,,,,,"12107 SW 152nd St, Miami",33177,,Fresco y más (USD),625,sin_telefono,,
FRESCO Y MAS # 385 en Naranja Lakes,(305) 248-0660,3052480660,,,"27359 S Dixie Hwy, HOMESTEAD",33032,,Fresco y más (USD),626,existente,199,13052480660
FRESCO Y MAS # 387 Quail Heights Plaza,(305) 252-6837,3052526837,,,"18801 SW 117th Ave., MIAMI",33177,,Fresco y más (USD),627,existente,119,13052526837
FRESCO Y MAS # 388 18300 SW 137th Ave,(305) 234-3929,3052343929,,,"18300 SW 137th Ave, MIAMI",33177,,Fresco y más (USD),628,existente,107,13052343929
FRESCO Y MAS # 697 - 8424 Sheldon Rd,(813) 884-6819,8138846819,,,"8424 SHELDON RD, Tampa",33615,,Fresco y más (USD),629,existente,200,18138846819
FRESCO Y MAS #359 TJ Maxx Plaza,,,,,"7480 SW 117th Ave, Miami",33183,,Fresco y más (USD),630,sin_telefono,,
FRESCO Y MAS #366  en Central Shopping Center,,,,,"3701 NW 7th Street, Miami",33126,,Fresco y más (USD),631,sin_telefono,,
FRESH COCONUT & SMOOTHIES,(419) 810-6057,4198106057,JCHRIS2419@GMAIL.COM,,"1500 NE 16TH TERRACE, FORT LAUDERDALE",33304,,Default (USD) (USD),632,existente,201,14198106057
FRUTERIA LA HACIENDA #3,(954) 935-5959,9549355959,,,"2900 W SAMPLE Rd, Pompano Beach",33073,,Default (USD) (USD),634,existente,202,19549355959
FSM Foods International Inc.,(954) 970-9020,9549709020,lee.schefer@fsmfoods.com,,"750 S. Powerline Road, Bldg 5, Unit 1, Deerfield Beach",33442,,Default (USD) (USD),635,existente,203,19549709020
FUZZBEE'S,(305) 609-4323,3056094323,fuzzbeesflorida@gmail.com,,"3444 Main Hwy #2, Coconut Grove",33133,,Default (USD) (USD),636,existente,49,13056094323
