pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios,fecha_pedido,notas
P-00015,11538,POLACRIN PREM INT EXT NEGRO 1 LT.,6,9943.46,2,2026-03-01 14:50:40,Pedido: 6 unidades
P-00016,14583,SIMIL MADERA CEDRO VENIER X 1.5,1,53275.82,2,2026-03-31 03:27:49,Pedido: 1 unidades
P-00017,11484,Latex Techos Talento Mem en Pasta Blanco 20 KG.,4,83356.17,3,2026-05-20 04:03:44,Pedido: 4 unidades
P-00017,60254,SELLADOR METALES ZINGUERIA X 300 ML(SMZ 300 A),4,19240.78,3,2026-05-20 04:03:44,Pedido: 4 unidades
P-00017,101091,"ZEOCAR DISCO LANA 5"" T-240 (123)",10,16973.16,3,2026-05-20 04:03:44,Pedido: 10 unidades
P-00017,97027,MAQUINA DE ENCINTAR,4,7903.99,3,2026-05-20 04:03:44,Pedido: 4 unidades
P-00018,60190,SELLATINO EXTRA ANCHO (SLT EA),7,6220.16,3,2026-04-26 23:27:03,Pedido: 7 unidades
P-00019,11613,POLACRIN ESM SINT 3en1 BLANCO SATINADO X 4L,4,38665.79,3,2026-05-30 13:23:35,Pedido: 4 unidades
P-00019,1466,RUST OLEUM(342646) ROJO CAMPESTRE 887 Cm3,4,13319.61,3,2026-05-30 13:23:35,Pedido: 4 unidades
P-00019,767,RUST OLEUM(262173) 2X GRIS OSCURO BTE 340Cm3,1,17531.66,3,2026-05-30 13:23:35,Pedido: 1 unidades
P-00020,1426,RUST OLEUM(313956) BONUS NEGRO BTE 425 cm3,7,21191.73,1,2026-04-26 16:28:45,Pedido: 7 unidades
P-00020,1184,RUST OLEUM(272091) IMPRIMANTE ANTIOXIDO X 340 GR,9,19507.39,1,2026-04-26 16:28:45,Pedido: 9 unidades
P-00021,11884,SIKAMONOTOP 107 X 25 KG (174012),1,45927.62,1,2026-04-18 22:35:43,Pedido: 1 unidades
P-00021,3011,"LARGUERO 15/16"" 3.66MTS (3015001505)",10,5719.42,1,2026-04-18 22:35:43,Pedido: 10 unidades
P-00021,3037,PLACA NG13 MM C/ FIBRA VIDRIO Y CEMENTO 1200X2400,1,23615.38,1,2026-04-18 22:35:43,Pedido: 1 unidades
P-00021,1179,RUST OLEUM(262192)2XIMPRIMANTE ROJO MATEX340GR,7,19479.62,1,2026-04-18 22:35:43,Pedido: 7 unidades
P-00022,11533,POLACRIN PREM INT EXT VERDE FORESTA 4 LT.,9,34115.07,2,2026-05-24 22:37:42,Pedido: 9 unidades
P-00022,797,RUST OLEUM(249275) AUTO AMARILLO JOHN DEERE,6,32825.84,2,2026-05-24 22:37:42,Pedido: 6 unidades
P-00023,879,RUST OLEUM (262196) 2XBRILL. AZUL SPA X 340G,8,22401.56,2,2026-05-20 04:55:58,Pedido: 8 unidades
P-00023,700,RUST OLEUM(272057) EPOXI BLANCO X 340 GRS.,7,29553.41,2,2026-05-20 04:55:58,Pedido: 7 unidades
P-00023,11533,POLACRIN PREM INT EXT VERDE FORESTA 4 LT.,7,34115.07,2,2026-05-20 04:55:58,Pedido: 7 unidades
P-00023,3022,PERFILES - SOLERA 70 MM (Cod. 7002)0505070301,9,6433.66,2,2026-05-20 04:55:58,Pedido: 9 unidades
P-00024,11539,POLACRIN PREM INT EXT NEGRO 4 LT.,1,34115.07,2,2026-05-06 23:51:01,Pedido: 1 unidades
P-00024,11526,POLACRIN PREM INT EXT BERMELLON 4 LT.,7,34115.07,2,2026-05-06 23:51:01,Pedido: 7 unidades
P-00024,11901,"SIKATOP SEAL 107 FLEX MODULO X 25,5 KG",6,82168.32,2,2026-05-06 23:51:01,Pedido: 6 unidades
P-00025,40646,LAMINA DE MASILLAR 10 X 6 BLANDA TORNADO,4,2006.01,2,2026-03-02 10:20:56,Pedido: 4 unidades
P-00025,3020,PERFILES - SOLERA 35 MM (Cod. 7004)0505035301,3,4724.72,2,2026-03-02 10:20:56,Pedido: 3 unidades
P-00026,101149,RECUBLOCK CIMIENTOS 5KG,2,37889.74,1,2026-03-20 06:19:17,Pedido: 2 unidades
P-00027,14586,SIMIL MADERA ROBLE CLARO VENIER X 0.75,4,29422.04,1,2026-03-12 22:34:28,Pedido: 4 unidades
P-00027,11578,POLACRIN ESM SINT 3en1 BLANCO 4 LT.(43981004),7,42961.99,1,2026-03-12 22:34:28,Pedido: 7 unidades
P-00027,3037,PLACA NG13 MM C/ FIBRA VIDRIO Y CEMENTO 1200X2400,4,23615.38,1,2026-03-12 22:34:28,Pedido: 4 unidades
P-00028,11876,BINDAFIX Basico Impermeable Bolsa 25 KG,7,9645.06,4,2026-03-14 22:38:29,Pedido: 7 unidades
P-00028,60255,SUPRABOND DOBLADILLOS PEGA TELA 30 (DBL 30 B),6,7556.33,4,2026-03-14 22:38:29,Pedido: 6 unidades
P-00028,710,RUST OLEUM(272126)COMP.GALVANIZADO EN FRIO X454GS.,1,26609.62,4,2026-03-14 22:38:29,Pedido: 1 unidades
P-00028,11518,POLACRIN PREM INT EXT ROJO TEJA 4 LT.,10,25215.49,4,2026-03-14 22:38:29,Pedido: 10 unidades
P-00029,11594,POLACRIN ESM TRIPLE ACC NEGRO MATE 4 LT.(42403104),3,31301.26,4,2026-03-09 10:37:34,Pedido: 3 unidades
P-00030,101085,ZEOCAR Lustre a Maquina(2) x 1lt (78),10,22299.25,4,2026-05-19 14:56:22,Pedido: 10 unidades
P-00030,101092,"ZEOCAR DISCO .LANA 8"" P/ABROJO (120)",6,18892.75,4,2026-05-19 14:56:22,Pedido: 6 unidades
P-00030,11449,ENDUIDO INTERIOR x 10 LT. (81020006),4,23767.75,4,2026-05-19 14:56:22,Pedido: 4 unidades
P-00030,11554,CASABLANCA PRO INTERIOR X 4 LT.,9,16869.09,4,2026-05-19 14:56:22,Pedido: 9 unidades
P-00031,1255,AERO.(272073) MP METALICO PLATA x 312 G.(INT/EXT),1,20512.22,4,2026-03-21 13:00:36,Pedido: 1 unidades
P-00032,11533,POLACRIN PREM INT EXT VERDE FORESTA 4 LT.,5,34115.07,2,2026-05-07 19:12:50,Pedido: 5 unidades
P-00032,1411,RUST OLEUM(272071)SP SPECIALTY METAL. OROX312,8,27751.82,2,2026-05-07 19:12:50,Pedido: 8 unidades
P-00032,3013,"TRAVESAÑO 15/16"" 1.22MTS (3015002501)",10,2146.34,2,2026-05-07 19:12:50,Pedido: 10 unidades
P-00033,60219,SELLADOR SILICONAS BAÑOS Y COCINAS (GFX B 280 T),7,14463.71,2,2026-05-13 04:22:11,Pedido: 7 unidades
P-00033,11594,POLACRIN ESM TRIPLE ACC NEGRO MATE 4 LT.(42403104),9,42348.76,2,2026-05-13 04:22:11,Pedido: 9 unidades
P-00033,11878,SIKA 1 4 sachets x 5 lt.,10,41486.5,2,2026-05-13 04:22:11,Pedido: 10 unidades
P-00034,11744,SIKALATEX X 2 LT,7,32574.05,4,2026-03-11 14:09:43,Pedido: 7 unidades
P-00034,1195,RUST OLEUM (272131) FLUOR NARANJA BTE 340Cm3,7,22928.33,4,2026-03-11 14:09:43,Pedido: 7 unidades
P-00034,11453,Latex Ext Casablanca Frentes Poliur.Blanco 5 Kg,2,28031.74,4,2026-03-11 14:09:43,Pedido: 2 unidades
P-00035,1485,RUST OLEUM (335349) VERDE ESTANQUE 340G,3,15076.55,4,2026-04-19 08:46:41,Pedido: 3 unidades
P-00035,101029,MASILLA POLIESTER FINISH ZEOCAR X1KG,1,13614.23,4,2026-04-19 08:46:41,Pedido: 1 unidades
P-00035,60255,SUPRABOND DOBLADILLOS PEGA TELA 30 (DBL 30 B),4,7556.33,4,2026-04-19 08:46:41,Pedido: 4 unidades
P-00036,60251,ESPUMA POLIURET. SUPRAB. X 300 ml.(EPP PU 300 E),10,10259.81,4,2026-04-16 10:57:00,Pedido: 10 unidades
P-00036,1473,RUST OLEUM(351537) METAL PROT.TURQUE CLA.BR. 340,4,15989.34,4,2026-04-16 10:57:00,Pedido: 4 unidades
P-00036,3022,PERFILES - SOLERA 70 MM (Cod. 7002)0505070301,9,4755.32,4,2026-04-16 10:57:00,Pedido: 9 unidades
P-00036,11441,"Latex Ext Casablanca Frentes.Blanco 12,5 Kg",10,64904.09,4,2026-04-16 10:57:00,Pedido: 10 unidades
P-00037,11361,Latex Cielorrasos Casablanca Blanco 1 L (81002003),3,6191.78,4,2026-03-19 12:11:59,Pedido: 3 unidades
P-00037,11517,POLACRIN PREM INT EXT ROJO TEJA 1 LT.,6,7349.52,4,2026-03-19 12:11:59,Pedido: 6 unidades
P-00037,60287,SELLATINO DOBLE ESPESOR MARRON (SLT D M),2,42021.99,4,2026-03-19 12:11:59,Pedido: 2 unidades
P-00038,101074,MASILLA ZEOFLEX X 0.700 Kgs,5,18413.19,1,2026-05-08 06:32:25,Pedido: 5 unidades
P-00038,60181,ADHESIVO UNO 60 ML. EN CAJA (SBD U 60 CE),7,4444.63,1,2026-05-08 06:32:25,Pedido: 7 unidades
P-00039,101073,"MASILLA UNICA X 2,25 LT.",4,40088.67,1,2026-05-06 10:21:40,Pedido: 4 unidades
P-00040,11539,POLACRIN PREM INT EXT NEGRO 4 LT.,8,34115.07,2,2026-03-27 17:46:25,Pedido: 8 unidades
P-00041,11461,"Latex Ext Casablanca Frentes.Base C 4,7 Kg",7,30953.26,2,2026-04-06 02:43:13,Pedido: 7 unidades
P-00041,11338,CASABLANCA PRO INTERIOR X 20 LT.,3,87679.43,2,2026-04-06 02:43:13,Pedido: 3 unidades
P-00041,3501,RECUPLAST TECHOS TEJA x 20 KG. (84711037),4,207939.7,2,2026-04-06 02:43:13,Pedido: 4 unidades
P-00041,1259,"RUST(7792) Esm.Convert. Blanco Brill X 0,946",10,33139.8,2,2026-04-06 02:43:13,Pedido: 10 unidades
P-00042,3061,BASE MORDIENTE FLEX x 26 KG.,5,180431.8,2,2026-03-22 10:27:31,Pedido: 5 unidades
P-00042,14247,AT-06 GUARDA 60x2000 x 1 ml.,3,1451.92,2,2026-03-22 10:27:31,Pedido: 3 unidades
P-00043,101022,MASILLA POLIESTER FIBRADA ZEOCAR X 0.535 KG.,7,14218.15,2,2026-04-06 16:56:51,Pedido: 7 unidades
P-00044,1426,RUST OLEUM(313956) BONUS NEGRO BTE 425 cm3,5,24370.49,2,2026-05-21 15:14:03,Pedido: 5 unidades
P-00045,40644,LAMINA DE MASILLAR 10 X 14 BLANDA TORNADO,9,2591.72,2,2026-04-10 06:29:51,Pedido: 9 unidades
P-00045,797,RUST OLEUM(249275) AUTO AMARILLO JOHN DEERE,7,32825.84,2,2026-04-10 06:29:51,Pedido: 7 unidades
P-00046,101153,Aerosol PRO antideslizante transp x 440CM3 (50-3-10),6,8191.76,3,2026-05-22 02:20:22,Pedido: 6 unidades
P-00046,11543,POLACRIN LATEX CIELO RASO X 20 LT.,2,77205.95,3,2026-05-22 02:20:22,Pedido: 2 unidades
P-00046,60221,SELLADOR DE POLIURETANO CONSTRUCCION II(GPU C 310,2,24603.18,3,2026-05-22 02:20:22,Pedido: 2 unidades
P-00047,3021,"TORNILLO T1 AGUJA 8X9/16"" (CAJA 10.000)1210001506",8,25.07,3,2026-05-21 02:06:34,Pedido: 8 unidades
P-00048,11875,Latex Techos Sikalastic 560 Verde 20 K,10,188036.37,3,2026-04-13 12:20:00,Pedido: 10 unidades
P-00048,11568,POLACRIN MEMBRANA ALUMINIZADA 4 KG.(85021324),4,27743.52,3,2026-04-13 12:20:00,Pedido: 4 unidades
P-00048,11643,SACA HOJA PLANO C/ MANGO,4,6170.09,3,2026-04-13 12:20:00,Pedido: 4 unidades
P-00048,14242,AT-85 CORNIZA 85x85x2000 x 1 ml.(CJA38ML),1,1946.05,3,2026-04-13 12:20:00,Pedido: 1 unidades
P-00049,101085,ZEOCAR Lustre a Maquina(2) x 1lt (78),1,23610.97,3,2026-03-16 10:07:15,Pedido: 1 unidades
P-00049,1483,RUST OLEUM (335316) PIZARRON TRANSP. MATE 312G,3,14114.99,3,2026-03-16 10:07:15,Pedido: 3 unidades
P-00050,60221,SELLADOR DE POLIURETANO CONSTRUCCION II(GPU C 310,6,27336.87,1,2026-05-29 07:59:43,Pedido: 6 unidades
P-00050,1195,RUST OLEUM (272131) FLUOR NARANJA BTE 340Cm3,9,26974.5,1,2026-05-29 07:59:43,Pedido: 9 unidades
P-00050,1197,RUST OLEUM (272133) FLUOR AMARILLO 340 Cm3,10,26974.5,1,2026-05-29 07:59:43,Pedido: 10 unidades
P-00050,1316,RUST OLEUM (241526) COMFORT SPRAY GRIP,7,17627.24,1,2026-05-29 07:59:43,Pedido: 7 unidades
P-00051,3013,"TRAVESAÑO 15/16"" 1.22MTS (3015002501)",9,1866.38,1,2026-03-19 23:37:53,Pedido: 9 unidades
P-00051,11641,ALGUICIDA MANTENIMIENTO X 1 LTS,9,7692.26,1,2026-03-19 23:37:53,Pedido: 9 unidades
P-00051,11612,SELLATODO TRANSPARENTE X 4KG,6,78008.26,1,2026-03-19 23:37:53,Pedido: 6 unidades
P-00052,101006,TRAPO REMERA BLANCA (COMPETICION) X 1 KG,10,3044.25,3,2026-04-21 07:00:23,Pedido: 10 unidades
P-00053,3053,MASA NIVELADORA SIMPLE COMPONENTE X 20 KG,1,23321.09,3,2026-05-29 10:58:13,Pedido: 1 unidades
P-00054,1462,RUST OLEUM (335345) TIZA ROSA PALIDO 340G,1,15963.41,3,2026-05-23 19:33:02,Pedido: 1 unidades
P-00054,40642,LAMINA DE MASILLAR 10 X 18 BLANDA TORNADO,4,2458.98,3,2026-05-23 19:33:02,Pedido: 4 unidades
P-00055,40646,LAMINA DE MASILLAR 10 X 6 BLANDA TORNADO,2,1569.92,3,2026-05-04 04:27:12,Pedido: 2 unidades
P-00055,784,RUST OLEUM(262175)2XBRILL. G. INVIERNO X340,9,17531.66,3,2026-05-04 04:27:12,Pedido: 9 unidades
P-00055,1316,RUST OLEUM (241526) COMFORT SPRAY GRIP,7,15864.52,3,2026-05-04 04:27:12,Pedido: 7 unidades
P-00056,11537,POLACRIN PREM INT EXT NARANJA 1 LT.,9,9943.46,2,2026-03-18 06:29:22,Pedido: 9 unidades
P-00057,11591,CASABLANCA PRO TAPAGOTERAS 4 LT. (81011004),8,25041.43,2,2026-03-03 00:05:41,Pedido: 8 unidades
P-00057,14233,AT-36 CORNIZA 36x20x2000(cja152Ml) x 1 ml.,3,1035.58,2,2026-03-03 00:05:41,Pedido: 3 unidades
P-00058,1197,RUST OLEUM (272133) FLUOR AMARILLO 340 Cm3,1,31020.67,2,2026-03-06 00:34:04,Pedido: 1 unidades
P-00058,1411,RUST OLEUM(272071)SP SPECIALTY METAL. OROX312,1,27751.82,2,2026-03-06 00:34:04,Pedido: 1 unidades
P-00059,1489,RUST OLEUM(J2850812) BLANCO BRILLANTE X 283 GRS.,9,10912.86,2,2026-05-17 03:48:29,Pedido: 9 unidades
P-00060,14581,SIMIL MADERA NOGAL VENIER X 0.75,9,33835.35,2,2026-05-05 01:05:33,Pedido: 9 unidades
P-00061,867,RUST OLEUM(262190) 2X AMARILLO ORO BTE 340Cm3,3,22401.56,2,2026-05-11 03:37:17,Pedido: 3 unidades
P-00061,40668,BOBINA TRIUNFO IND. BEIGE 20 X 400 CM,8,14762.08,2,2026-05-11 03:37:17,Pedido: 8 unidades
P-00061,11564,POLACRIN ESM SINT 3en1 NEGRO 20LT.(43987017),3,174610.11,2,2026-05-11 03:37:17,Pedido: 3 unidades
P-00062,11447,ENDUIDO INTERIOR x 1 LT. (81020003),3,4752.97,1,2026-05-19 21:20:37,Pedido: 3 unidades
P-00062,11512,HIDRO EPOXI MONOCOMP PISOS Y PAREDES NEGRO X 1 LT.,8,27723.77,1,2026-05-19 21:20:37,Pedido: 8 unidades
P-00063,1184,RUST OLEUM(272091) IMPRIMANTE ANTIOXIDO X 340 GR,2,19507.39,1,2026-04-16 17:41:26,Pedido: 2 unidades
P-00064,823,RUST OLEUM(248921)BRILL. VINILO Y TELA ARENA,4,21110.14,1,2026-04-25 18:44:50,Pedido: 4 unidades
P-00064,1484,RUST OLEUM (335341) BLANCO LINO 340G,1,17737.12,1,2026-04-25 18:44:50,Pedido: 1 unidades
P-00065,1287,RUST OLEUM(358902) 2X MAGENTA SATINADO 340Cm3,3,17531.66,3,2026-05-11 15:00:50,Pedido: 3 unidades
P-00066,101147,RECUFLOOR HIDROLACA x 5 LT. (82923024),3,144267.43,3,2026-03-01 09:13:50,Pedido: 3 unidades
P-00066,14582,SIMIL MADERA CEDRO VENIER X 0.75,10,26479.84,3,2026-03-01 09:13:50,Pedido: 10 unidades
P-00066,821,RUST OLEUM(262191) 2X ROSA CLARO BTE 340Cm3,8,17531.66,3,2026-03-01 09:13:50,Pedido: 8 unidades
P-00067,11574,POLACRIN PREM INT EXT NEGRO 20 LT.,10,121490.92,3,2026-05-02 02:16:59,Pedido: 10 unidades
P-00068,11532,POLACRIN PREM INT EXT VERDE FORESTA 1 LT.,3,9943.46,2,2026-03-08 14:36:05,Pedido: 3 unidades
P-00068,1485,RUST OLEUM (335349) VERDE ESTANQUE 340G,9,20397.69,2,2026-03-08 14:36:05,Pedido: 9 unidades
P-00068,3026,PERFILES - OMEGA (Cod. 7005)0515125201,9,5104.79,2,2026-03-08 14:36:05,Pedido: 9 unidades
P-00068,14236,AT-46 CORNIZA 46x46x2000 x 1 ml.,7,1489.2,2,2026-03-08 14:36:05,Pedido: 7 unidades
P-00069,11482,Latex Int/Ext Artex Blanco 20 Lt.,9,59034.94,2,2026-05-09 21:30:48,Pedido: 9 unidades
P-00070,3000,"PLACA STD 9,5mmX1200X2400 REB (cod 3401)",6,16604.16,2,2026-03-18 09:42:44,Pedido: 6 unidades
P-00071,101071,PROTEC. TEXTU. AL AGUA NEGRO x 1 Lts,6,18284.74,2,2026-05-06 00:21:08,Pedido: 6 unidades
P-00071,11577,POLACRIN PREM INT EXT MARRON 1 LT.,4,9943.46,2,2026-05-06 00:21:08,Pedido: 4 unidades
P-00071,867,RUST OLEUM(262190) 2X AMARILLO ORO BTE 340Cm3,2,22401.56,2,2026-05-06 00:21:08,Pedido: 2 unidades
P-00072,14248,AT-07 GUARDA 70x2000 x 1 ml.,3,1682.71,2,2026-03-13 04:09:13,Pedido: 3 unidades
P-00072,11554,CASABLANCA PRO INTERIOR X 4 LT.,8,22822.89,2,2026-03-13 04:09:13,Pedido: 8 unidades
P-00073,60249,VENDA LIQUIDA X 500 GMS BLANCA (MBN VEN 1/2 B),10,22875.22,2,2026-03-10 00:57:34,Pedido: 10 unidades
P-00073,101090,"ZEOCAR DISCO G ESPUMA 5"" AMARILLO (132)",8,21687.93,2,2026-03-10 00:57:34,Pedido: 8 unidades
P-00073,1292,RUST OLEUM (284314) PEEL COAT ROJO MATE,4,35359.57,2,2026-03-10 00:57:34,Pedido: 4 unidades
P-00073,14582,SIMIL MADERA CEDRO VENIER X 0.75,6,33835.35,2,2026-03-10 00:57:34,Pedido: 6 unidades
P-00074,101016,RECU MICROCEM. SINTEPLAST BASE F X 20 KG,6,112617.59,2,2026-04-01 23:54:16,Pedido: 6 unidades
P-00074,1311,RUST OLEUM (7990830)STONE BLANCO X 340GR,9,30732.21,2,2026-04-01 23:54:16,Pedido: 9 unidades
P-00074,14271,A-60 CORNIZA 56X56X2000,6,1214.87,2,2026-04-01 23:54:16,Pedido: 6 unidades
P-00074,11452,"Latex Ext Casablanca Frentes.Blanco 1,25 Kg",5,10932.24,2,2026-04-01 23:54:16,Pedido: 5 unidades
P-00075,1195,RUST OLEUM (272131) FLUOR NARANJA BTE 340Cm3,4,22928.33,4,2026-04-21 06:54:45,Pedido: 4 unidades
P-00075,11590,CASABLANCA PRO TAPAGOTERAS 1 LT. (81011003),3,6298.12,4,2026-04-21 06:54:45,Pedido: 3 unidades
P-00075,3053,MASA NIVELADORA SIMPLE COMPONENTE X 20 KG,9,22025.47,4,2026-04-21 06:54:45,Pedido: 9 unidades
P-00076,11526,POLACRIN PREM INT EXT BERMELLON 4 LT.,6,25215.49,4,2026-03-27 18:28:16,Pedido: 6 unidades
P-00076,11401,Latex Techos y Frentes Casablanca Membrana PRO x 20 LT.,6,77655.16,4,2026-03-27 18:28:16,Pedido: 6 unidades
P-00077,101148,MICROCEMENTO EN PASTA LISTO PARA USAR X 25KG (86921127),5,117661.38,4,2026-03-08 06:11:57,Pedido: 5 unidades
P-00077,1309,RUST OLEUM(322648)ULT.IMPRI.ANT.AGu GRIS MAT 946,3,11504.65,4,2026-03-08 06:11:57,Pedido: 3 unidades
P-00077,823,RUST OLEUM(248921)BRILL. VINILO Y TELA ARENA,9,17943.62,4,2026-03-08 06:11:57,Pedido: 9 unidades
P-00078,11589,SELLATODO TRANSPARENTE 1 KG (80112003),10,20720.95,4,2026-05-18 03:45:38,Pedido: 10 unidades
P-00079,60252,ESPUMA POLIURET.SUPRAB.X 750 ML. (EPP PU 750 E),4,16683.12,3,2026-03-01 04:13:08,Pedido: 4 unidades
P-00079,101094,MASILLA PLAST POLIESTER ZEOCAR X 2.50 KG,9,22241.09,3,2026-03-01 04:13:08,Pedido: 9 unidades
P-00079,11451,ENDUIDO INTERIOR x 20 LT. (81020007),8,38342.29,3,2026-03-01 04:13:08,Pedido: 8 unidades
P-00079,101153,Aerosol PRO antideslizante transp x 440CM3 (50-3-10),1,8191.76,3,2026-03-01 04:13:08,Pedido: 1 unidades
P-00080,14248,AT-07 GUARDA 70x2000 x 1 ml.,9,1316.91,3,2026-04-22 23:12:39,Pedido: 9 unidades
P-00081,3016,PERFILES - MONTANTE 35 MM (Cod. 7003)0501034301,2,4242.67,3,2026-03-24 22:05:49,Pedido: 2 unidades
P-00081,60215,ZOCALO AUTOADHESIVO S/MADERA X 92 CM.,8,7553.92,3,2026-03-24 22:05:49,Pedido: 8 unidades
P-00081,11554,CASABLANCA PRO INTERIOR X 4 LT.,6,17861.39,3,2026-03-24 22:05:49,Pedido: 6 unidades
P-00082,101087,"ZEOCAR PLATO SOPORTE 5"" M-14 (114)",5,19458.52,3,2026-03-06 11:19:03,Pedido: 5 unidades
P-00082,11561,POLACRIN ESM SINT3 en 1 BLANCO 1 LT.(43981003),3,10033.98,3,2026-03-06 11:19:03,Pedido: 3 unidades
P-00082,11452,"Latex Ext Casablanca Frentes.Blanco 1,25 Kg",2,8555.67,3,2026-03-06 11:19:03,Pedido: 2 unidades
P-00082,40645,ESPATULA DE GOMA MEDIANA TORNADO,3,644.38,3,2026-03-06 11:19:03,Pedido: 3 unidades
P-00083,60158,ADHESIVO FLASH 2g. (ARN FL 2 T),5,1944.2,2,2026-04-11 12:31:03,Pedido: 5 unidades
P-00083,60221,SELLADOR DE POLIURETANO CONSTRUCCION II(GPU C 310,1,31437.4,2,2026-04-11 12:31:03,Pedido: 1 unidades
P-00083,101070,"MASILLA POLIESTER FINISH ZEOCAR X 2,50kg",5,37656.85,2,2026-04-11 12:31:03,Pedido: 5 unidades
P-00084,11449,ENDUIDO INTERIOR x 10 LT. (81020006),2,32156.37,2,2026-05-12 02:51:26,Pedido: 2 unidades
P-00084,11950,SIKADUR 31 A/B X 6KG (465134),1,355963.09,2,2026-05-12 02:51:26,Pedido: 1 unidades
P-00084,11547,HIDRO EPOXI MONOCOMP PISOS Y PAREDES BLANCO X 1 LT.,6,31882.34,2,2026-05-12 02:51:26,Pedido: 6 unidades
P-00084,101026,PASTA PULIR ZEOCAR FINA AL AGUA X480CC,1,10523.29,2,2026-05-12 02:51:26,Pedido: 1 unidades
P-00085,1488,RUST OLEUM (335346) AERO GRIS ENVEJECIDO 340G,7,20397.69,2,2026-03-28 13:09:30,Pedido: 7 unidades
