product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
AFCE0108,Chorizo x 4un Magret EV x 400gr,13940.78,1,4,unidad,unidad,Al Fuego,,,,Chorizo x 4un Magret EV x 400gr|AFCE0108,0.93,0.0,"Chorizo x 4un Magret EV x 400gr. Producto Al Fuego envasado al vacio, ideal para parrilla.",https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Al Fuego
AFCE0111,Morcilla bombom magret EV x 400 gr,10377.11,3,1,unidad,unidad,Otros,,,,Morcilla bombom magret EV x 400 gr|AFCE0111,0.9,0.0,"Morcilla bombom magret EV x 400 gr. Producto Al Fuego envasado al vacio, ideal para parrilla.",https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Otros
AFCV0002,Imperial Stout Lata 473 cc,2900.0,12,1,unidad,unidad,Cervezas,,,,Imperial Stout Lata 473 cc|AFCV0002,0.23,0.0,Imperial Stout Lata 473 cc. Producto de Cervezas en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Cervezas
AFDE0033,Sal Marina Entrefina con Especias x 350gr,3760.0,9,1,unidad,unidad,Delicatessen,,,,Sal Marina Entrefina con Especias x 350gr|AFDE0033,0.87,0.0,Sal Marina Entrefina con Especias x 350gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0034,Sal Marina Entrefina x 500gr,2600.0,6,1,unidad,unidad,Delicatessen,,,,Sal Marina Entrefina x 500gr|AFDE0034,0.87,0.0,Sal Marina Entrefina x 500gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0035,Sal Marina Fina x 500gr,2548.78,9,1,unidad,unidad,Delicatessen,,,,Sal Marina Fina x 500gr|AFDE0035,0.87,0.0,Sal Marina Fina x 500gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0040,Ajíes Dulces en Vinagre x 300gr,6500.0,2,1,unidad,unidad,Delicatessen,,,,Ajíes Dulces en Vinagre x 300gr|AFDE0040,0.37,0.0,Ajíes Dulces en Vinagre x 300gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0041,Berenjenas en Escabeche x 310gr,7000.0,3,1,unidad,unidad,Delicatessen,,,,Berenjenas en Escabeche x 310gr|AFDE0041,0.35,0.0,Berenjenas en Escabeche x 310gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0042,Pepinos Agridulces x 310gr,7419.6,4,1,unidad,unidad,Delicatessen,,,,Pepinos Agridulces x 310gr|AFDE0042,0.15,0.0,Pepinos Agridulces x 310gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0044,Porotos Condimentados En Aceite x 310gr,7297.6,4,1,unidad,unidad,Delicatessen,,,,Porotos Condimentados En Aceite x 310gr|AFDE0044,0.14,0.0,Porotos Condimentados En Aceite x 310gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0055,Cubanitos Caprice x 115gr,6900.0,1,1,unidad,unidad,Delicatessen,,,,Cubanitos Caprice x 115gr|AFDE0055,0.29,0.0,Cubanitos Caprice x 115gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0063,Heinz Sweet Relish x 375gr,14300.0,3,1,unidad,unidad,Delicatessen,,,,Heinz Sweet Relish x 375gr|AFDE0063,0.24,0.0,Heinz Sweet Relish x 375gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0082,Lindt Chocolate Classic Con Leche x 100gr,17200.0,6,1,unidad,unidad,Delicatessen,,,,Lindt Chocolate Classic Con Leche x 100gr|AFDE0082,0.21,0.0,Lindt Chocolate Classic Con Leche x 100gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0083,Lindt Chocolate Excellence 70% x 100gr,17700.0,6,1,unidad,unidad,Delicatessen,,,,Lindt Chocolate Excellence 70% x 100gr|AFDE0083,0.2,0.0,Lindt Chocolate Excellence 70% x 100gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0087,Molinillo Mix Pimientas x 50gr,7865.6,13,1,unidad,unidad,Delicatessen,,,,Molinillo Mix Pimientas x 50gr|AFDE0087,0.18,0.0,Molinillo Mix Pimientas x 50gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0088,Molinillo Pimienta Negra x 55gr,7100.0,15,1,unidad,unidad,Delicatessen,,,,Molinillo Pimienta Negra x 55gr|AFDE0088,0.18,0.0,Molinillo Pimienta Negra x 55gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0091,Molinillo Sal Marina Gruesa x 110gr,5206.39,15,1,unidad,unidad,Delicatessen,,,,Molinillo Sal Marina Gruesa x 110gr|AFDE0091,0.18,0.0,Molinillo Sal Marina Gruesa x 110gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0110,Dientes de Ajo Negro Garlic x 60gr,8000.0,3,1,unidad,unidad,Delicatessen,,,,Dientes de Ajo Negro Garlic x 60gr|AFDE0110,0.27,0.0,Dientes de Ajo Negro Garlic x 60gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0115,M&M Mani con Chocolate x 150gr,12700.0,8,1,unidad,unidad,Delicatessen,,,,M&M Mani con Chocolate x 150gr|AFDE0115,0.2,0.0,M&M Mani con Chocolate x 150gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0150,Pringles Original x 37gr,6300.0,9,1,unidad,unidad,Delicatessen,,,,Pringles Original x 37gr|AFDE0150,0.89,0.0,Pringles Original x 37gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0152,Hummus Zanahorias Asadas x 170gr,5500.0,4,1,unidad,unidad,Delicatessen,,,,Hummus Zanahorias Asadas x 170gr|AFDE0152,0.91,0.0,Hummus Zanahorias Asadas x 170gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0153,Hummus Higos Turcos x 170gr,5500.0,5,1,unidad,unidad,Delicatessen,,,,Hummus Higos Turcos x 170gr|AFDE0153,0.91,0.0,Hummus Higos Turcos x 170gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0155,Hummus Baba Ganush x 170gr,5500.0,3,1,unidad,unidad,Delicatessen,,,,Hummus Baba Ganush x 170gr|AFDE0155,0.91,0.0,Hummus Baba Ganush x 170gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0170,Aceite de oliva Arauco x 250ml,22300.0,5,1,unidad,unidad,Delicatessen,,,,Aceite de oliva Arauco x 250ml|AFDE0170,0.95,0.0,Aceite de oliva Arauco x 250ml. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0171,Aceite de oliva arauco x 500ml,42000.0,2,1,unidad,unidad,Delicatessen,,,,Aceite de oliva arauco x 500ml|AFDE0171,0.95,0.0,Aceite de oliva arauco x 500ml. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0173,Aceite de oliva Genovesa x 500ml,28900.0,8,1,unidad,unidad,Delicatessen,,,,Aceite de oliva Genovesa x 500ml|AFDE0173,0.95,0.0,Aceite de oliva Genovesa x 500ml. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0174,M&M confite chocolate x 150gr,12700.0,2,1,unidad,unidad,Delicatessen,,,,M&M confite chocolate x 150gr|AFDE0174,0.2,0.0,M&M confite chocolate x 150gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0201,chimichurri el viajero 310gr,9700.0,3,1,unidad,unidad,Delicatessen,,,,chimichurri el viajero 310gr|AFDE0201,0.3,0.0,chimichurri el viajero 310gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0210,Pringles Original 109gr,5600.0,9,1,unidad,unidad,Delicatessen,,,,Pringles Original 109gr|AFDE0210,0.89,0.0,Pringles Original 109gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0211,Pringles Cebolla 109gr,6300.0,15,1,unidad,unidad,Delicatessen,,,,Pringles Cebolla 109gr|AFDE0211,0.89,0.0,Pringles Cebolla 109gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0212,Pringles Queso 109gr,6300.0,15,1,unidad,unidad,Delicatessen,,,,Pringles Queso 109gr|AFDE0212,0.89,0.0,Pringles Queso 109gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDE0233,Pringles Chedar & Bacon 105gr,6300.0,15,1,unidad,unidad,Delicatessen,,,,Pringles Chedar & Bacon 105gr|AFDE0233,0.89,0.0,Pringles Chedar & Bacon 105gr. Producto de Delicatessen en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Delicatessen
AFDS0017,Vodka Absolut x 750 cc.,15000.0,12,1,unidad,unidad,Destilados,,,,Vodka Absolut x 750 cc.|AFDS0017,0.1,0.0,Vodka Absolut x 750 cc.. Producto de Destilados en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Destilados
AFEL0050,Hamburguesa Green Gold clasica de 80grs x 2,3000.0,36,1,unidad,unidad,Elaborados,,,,Hamburguesa Green Gold clasica de 80grs x 2|AFEL0050,0.24,0.0,Hamburguesa Green Gold clasica de 80grs x 2. Producto de Elaborados en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Elaborados
AFEL0051,Hamburguesa Green Gold casera de 120grs x 4,10000.0,2,1,unidad,unidad,Elaborados,,,,Hamburguesa Green Gold casera de 120grs x 4|AFEL0051,0.25,0.0,Hamburguesa Green Gold casera de 120grs x 4. Producto de Elaborados en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Elaborados
AFLA0070,Brie Formagge x 100gr,9400.0,49,1,unidad,unidad,Lacteos,,,,Brie Formagge x 100gr|AFLA0070,0.34,0.0,Brie Formagge x 100gr. Producto de Lacteos en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Lacteos
AFLA0074,Provoleta Parrillera Formagge x 450gr,12000.0,12,1,unidad,unidad,Lacteos,,,,Provoleta Parrillera Formagge x 450gr|AFLA0074,0.89,0.0,Provoleta Parrillera Formagge x 450gr. Producto de Lacteos en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Lacteos
AFLA0075,Provoleta Napolitana Formagge x 220gr,7200.0,7,1,unidad,unidad,Lacteos,,,,Provoleta Napolitana Formagge x 220gr|AFLA0075,0.89,0.0,Provoleta Napolitana Formagge x 220gr. Producto de Lacteos en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Lacteos
AFLA0076,Provoleta Mediterranea Formagge x 220gr,7200.0,2,1,unidad,unidad,Lacteos,,,,Provoleta Mediterranea Formagge x 220gr|AFLA0076,0.89,0.0,Provoleta Mediterranea Formagge x 220gr. Producto de Lacteos en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Lacteos
AFLA0077,Provoleta Tres Pimientas Formagge x 220gr,7200.0,2,1,unidad,unidad,Lacteos,,,,Provoleta Tres Pimientas Formagge x 220gr|AFLA0077,0.88,0.0,Provoleta Tres Pimientas Formagge x 220gr. Producto de Lacteos en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Lacteos
AFLA0078,Provolone Patagonico Formagge x 220gr,8000.0,10,1,unidad,unidad,Lacteos,,,,Provolone Patagonico Formagge x 220gr|AFLA0078,0.88,0.0,Provolone Patagonico Formagge x 220gr. Producto de Lacteos en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Lacteos
AFLA0080,Corazon de Gouda Formagge x 210gr,9690.0,63,1,unidad,unidad,Lacteos,,,,Corazon de Gouda Formagge x 210gr|AFLA0080,0.3,0.0,Corazon de Gouda Formagge x 210gr. Producto de Lacteos en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Lacteos
AFTE0002,Picaña,32990.0,23,1,unidad,unidad,Vacuno,,,,Picaña|AFTE0002,0.15,0.0,Picaña. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0003,Colita de Cuadril,22990.0,5,1,unidad,unidad,Vacuno,,,,Colita de Cuadril|AFTE0003,0.3,0.0,Colita de Cuadril. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0005,Bife de Chorizo,43990.0,17,1,unidad,unidad,Vacuno,,,,Bife de Chorizo|AFTE0005,0.34,0.0,Bife de Chorizo. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0006,Ojo de Bife,44990.0,8,1,unidad,unidad,Vacuno,,,,Ojo de Bife|AFTE0006,0.17,0.0,Ojo de Bife. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0007,Molleja,40990.0,7,1,unidad,unidad,Achuras,,,,Molleja|AFTE0007,0.17,0.0,Molleja. Achura premium de carniceria Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Achuras
AFTE0007 (C),Molleja (C),40990.0,3,1,unidad,unidad,Achuras,,,,Molleja (C)|AFTE0007 (C),0.17,0.0,Molleja (C). Achura premium de carniceria Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Achuras
AFTE0010,Vacio,23990.0,22,1,unidad,unidad,Vacuno,,,,Vacio|AFTE0010,0.1,0.0,"Vacio. Producto Al Fuego envasado al vacio, ideal para parrilla.",https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0011,Matambre,14990.0,8,1,unidad,unidad,Vacuno,,,,Matambre|AFTE0011,0.19,0.0,Matambre. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0012,Entraña,39990.0,4,1,unidad,unidad,Vacuno,,,,Entraña|AFTE0012,0.27,0.0,Entraña. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0020,Chinchulin,10990.0,8,1,unidad,unidad,Achuras,,,,Chinchulin|AFTE0020,0.93,0.0,Chinchulin. Achura premium de carniceria Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Achuras
AFTE0020 (C),Chinchulin (C),10990.0,8,1,unidad,unidad,Achuras,,,,Chinchulin (C)|AFTE0020 (C),0.93,0.0,Chinchulin (C). Achura premium de carniceria Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Achuras
AFTE0023,Tomahawk,35990.0,6,1,unidad,unidad,Vacuno,,,,Tomahawk|AFTE0023,0.11,0.0,Tomahawk. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0029,Arañita Vacuna,18990.0,8,1,unidad,unidad,Vacuno,,,,Arañita Vacuna|AFTE0029,0.36,0.0,Arañita Vacuna. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0045,Nalga Porcionada,22990.0,13,1,unidad,unidad,Vacuno,,,,Nalga Porcionada|AFTE0045,0.17,0.0,Nalga Porcionada. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0052,Tapa de Asado,19990.0,10,1,unidad,unidad,Vacuno,,,,Tapa de Asado|AFTE0052,0.11,0.0,Tapa de Asado. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0067,Media Luna De Vacio,39990.0,15,1,unidad,unidad,Vacuno,,,,Media Luna De Vacio|AFTE0067,0.19,0.0,"Media Luna De Vacio. Producto Al Fuego envasado al vacio, ideal para parrilla.",https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0068,Tapa De Vacio,37990.0,6,1,unidad,unidad,Vacuno,,,,Tapa De Vacio|AFTE0068,0.11,0.0,"Tapa De Vacio. Producto Al Fuego envasado al vacio, ideal para parrilla.",https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0069,Mustang Steak,44990.0,10,1,unidad,unidad,Vacuno,,,,Mustang Steak|AFTE0069,0.17,0.0,Mustang Steak. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0085,Asado Banderita(6 costillas),33990.0,7,1,unidad,unidad,Vacuno,,,,Asado Banderita(6 costillas)|AFTE0085,0.94,0.0,Asado Banderita(6 costillas). Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0086,Lomo Estancia CP,37990.0,10,1,unidad,unidad,Vacuno,,,,Lomo Estancia CP|AFTE0086,0.2,0.0,Lomo Estancia CP. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0090(C),Centro de asado marcado al medio (6 costillas)(C),32990.0,8,1,unidad,unidad,Vacuno,,,,Centro de asado marcado al medio (6 costillas)(C)|AFTE0090(C),0.32,0.0,Centro de asado marcado al medio (6 costillas)(C). Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0091,Asado tira ancha (6 costillas),33990.0,10,1,unidad,unidad,Vacuno,,,,Asado tira ancha (6 costillas)|AFTE0091,0.94,0.0,Asado tira ancha (6 costillas). Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0091(C),Asado tira ancha (6 costillas)(C),32990.0,5,1,unidad,unidad,Vacuno,,,,Asado tira ancha (6 costillas)(C)|AFTE0091(C),0.94,0.0,Asado tira ancha (6 costillas)(C). Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0092,Asado en tiras (6 costillas),33990.0,2,1,unidad,unidad,Vacuno,,,,Asado en tiras (6 costillas)|AFTE0092,0.94,0.0,Asado en tiras (6 costillas). Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0092(C),Asado en tiras (6 costillas)(C),32990.0,2,1,unidad,unidad,Vacuno,,,,Asado en tiras (6 costillas)(C)|AFTE0092(C),0.94,0.0,Asado en tiras (6 costillas)(C). Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0099,Denver Steak,16990.0,14,1,unidad,unidad,Vacuno,,,,Denver Steak|AFTE0099,0.28,0.0,Denver Steak. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0100,Hookipa beef,20990.0,12,1,unidad,unidad,Vacuno,,,,Hookipa beef|AFTE0100,0.24,0.0,Hookipa beef. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
AFTE0999,Entraña estancia CP,34990.0,13,1,unidad,unidad,Vacuno,,,,Entraña estancia CP|AFTE0999,0.26,0.0,Entraña estancia CP. Producto de Vacuno en catalogo Al Fuego.,https://images.unsplash.com/photo-1544025162-d76694265947?w=400,true,true,Vacuno
