product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
2016,"AGUA MARINARO 6X2,25",6100.00,349,6,caja,bulto,Bebidas,Aguas,Marinaro,Agua,"agua marinaro 6x2,25|aguas|bebidas|2016|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|agua",0.95,0.84,"Agua mineral, marca Marinaro, caja x6 botellas de 2,25 L.",,true,true,Precios / Mostrador -LGSM
3013,"MARINARO COLA 6 X 2,25",6900.00,349,6,caja,bulto,Bebidas,Gaseosas,Marinaro,Cola,"marinaro cola 6 x 2,25|gaseosas|bebidas|3013|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|cola",0.95,0.84,"Gaseosa cola, marca Marinaro, caja x6 botellas de 2,25 L.",,true,true,Precios / Mostrador -LGSM
3015,"MARINARO GRANADINA 6X2,25",6900.00,349,6,caja,bulto,Bebidas,Gaseosas,Marinaro,Granadina,"marinaro granadina 6x2,25|gaseosas|bebidas|3015|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|granadina",0.95,0.84,"Gaseosa granadina, marca Marinaro, caja x6 botellas de 2,25 L.",,true,true,Precios / Mostrador -LGSM
3018,"MARINARO LIMA LIMON 6 X 2,25",6900.00,349,6,caja,bulto,Bebidas,Gaseosas,Marinaro,Lima Limon,"marinaro lima limon 6 x 2,25|gaseosas|bebidas|3018|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|lima limón",0.95,0.84,"Gaseosa lima limón, marca Marinaro, caja x6 botellas de 2,25 L.",,true,true,Precios / Mostrador -LGSM
3020,"MARINARO LIMONADA 6 X 2,25",6900.00,349,6,caja,bulto,Bebidas,Gaseosas,Marinaro,Limonada,"marinaro limonada 6 x 2,25|gaseosas|bebidas|3020|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|limonada",0.95,0.84,"Gaseosa limonada, marca Marinaro, caja x6 botellas de 2,25 L.",,true,true,Precios / Mostrador -LGSM
3023,"MARINARO MANZANA  6 X 2,25",6900.00,349,6,caja,bulto,Bebidas,Gaseosas,Marinaro,Manzana,"marinaro manzana  6 x 2,25|gaseosas|bebidas|3023|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|manzana",0.95,0.84,"Gaseosa manzana, marca Marinaro, caja x6 botellas de 2,25 L.",,true,true,Precios / Mostrador -LGSM
3026,"MARINARO NARANJA 6 X 2,25",6900.00,349,6,caja,bulto,Bebidas,Gaseosas,Marinaro,Naranja,"marinaro naranja 6 x 2,25|gaseosas|bebidas|3026|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|naranja",0.95,0.84,"Gaseosa naranja, marca Marinaro, caja x6 botellas de 2,25 L.",,true,true,Precios / Mostrador -LGSM
3030,"MARINARO POMELO 6 X 2,25",6900.00,349,6,caja,bulto,Bebidas,Gaseosas,Marinaro,Pomelo,"marinaro pomelo 6 x 2,25|gaseosas|bebidas|3030|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|pomelo",0.95,0.84,"Gaseosa pomelo, marca Marinaro, caja x6 botellas de 2,25 L.",,true,true,Precios / Mostrador -LGSM
4501,"SODA MARINARO 6 X 2,25",6100.00,349,6,caja,bulto,Bebidas,Aguas,Marinaro,Soda,"soda marinaro 6 x 2,25|aguas|bebidas|4501|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|soda",0.95,0.84,"Soda, marca Marinaro, caja x6 botellas de 2,25 L presentación en pack.",,true,true,Precios / Mostrador -LGSM
2015,"AGUA MARINARO 6X1,5",5640.00,349,6,caja,bulto,Bebidas,Aguas,Marinaro,Agua,"agua marinaro 6x1,5|aguas|bebidas|2015|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|agua",0.95,0.84,"Agua mineral, marca Marinaro, caja x6 botellas de 1,5 L.",,true,true,Precios / Mostrador -LGSM
3049,"MARINARO COLA 6X1,5",6700.00,349,6,caja,bulto,Bebidas,Gaseosas,Marinaro,Cola,"marinaro cola 6x1,5|gaseosas|bebidas|3049|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|cola",0.95,0.84,"Gaseosa cola, marca Marinaro, caja x6 botellas de 1,5 L.",,true,true,Precios / Mostrador -LGSM
3047,"MARINARO GRANADINA 6X1,5",6700.00,349,6,caja,bulto,Bebidas,Gaseosas,Marinaro,Granadina,"marinaro granadina 6x1,5|gaseosas|bebidas|3047|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|granadina",0.95,0.84,"Gaseosa granadina, marca Marinaro, caja x6 botellas de 1,5 L.",,true,true,Precios / Mostrador -LGSM
3052,"MARINARO LIMONADA 6X1,5",6700.00,349,6,caja,bulto,Bebidas,Gaseosas,Marinaro,Limonada,"marinaro limonada 6x1,5|gaseosas|bebidas|3052|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|limonada",0.95,0.84,"Gaseosa limonada, marca Marinaro, caja x6 botellas de 1,5 L.",,true,true,Precios / Mostrador -LGSM
3051,"MARINARO MANZANA 6X1,5",6700.00,349,6,caja,bulto,Bebidas,Gaseosas,Marinaro,Manzana,"marinaro manzana 6x1,5|gaseosas|bebidas|3051|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|manzana",0.95,0.84,"Gaseosa manzana, marca Marinaro, caja x6 botellas de 1,5 L.",,true,true,Precios / Mostrador -LGSM
3076,"MARINARO NARANJA 6X1,5",6700.00,346,6,caja,bulto,Bebidas,Gaseosas,Marinaro,Naranja,"marinaro naranja 6x1,5|gaseosas|bebidas|3076|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|naranja",0.94,0.83,"Gaseosa naranja, marca Marinaro, caja x6 botellas de 1,5 L.",,true,true,Precios / Mostrador -LGSM
4503,"SODA MARINARO 6 X 1,5",5640.00,346,6,caja,bulto,Bebidas,Aguas,Marinaro,Soda,"soda marinaro 6 x 1,5|aguas|bebidas|4503|caja|bulto|caja x6|bulto x6|marinaro|caja marinaro|bulto marinaro|soda",0.94,0.83,"Soda, marca Marinaro, caja x6 botellas de 1,5 L presentación en pack.",,true,true,Precios / Mostrador -LGSM
3070,MARINARO ICE COLA 4X3,5500.00,346,4,caja,bulto,Bebidas,Ice,Marinaro,Cola,marinaro ice cola 4x3|ice|bebidas|3070|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|cola,0.94,0.83,"Gaseosa ice cola, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
3075,MARINARO ICE GRANADINA 4X3,5500.00,344,4,caja,bulto,Bebidas,Ice,Marinaro,Granadina,marinaro ice granadina 4x3|ice|bebidas|3075|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|granadina,0.9299999999999999,0.82,"Gaseosa ice granadina, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
3054,MARINARO ICE LIMA LIMON 4X3,5500.00,344,4,caja,bulto,Bebidas,Ice,Marinaro,Lima Limon,marinaro ice lima limon 4x3|ice|bebidas|3054|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|lima limón,0.9299999999999999,0.82,"Gaseosa ice lima limón, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
3071,MARINARO ICE LIMONADA 4X3,5500.00,344,4,caja,bulto,Bebidas,Ice,Marinaro,Limonada,marinaro ice limonada 4x3|ice|bebidas|3071|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|limonada,0.9299999999999999,0.82,"Gaseosa ice limonada, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
3072,MARINARO ICE MANZANA 4X3,5500.00,342,4,caja,bulto,Bebidas,Ice,Marinaro,Manzana,marinaro ice manzana 4x3|ice|bebidas|3072|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|manzana,0.9199999999999999,0.81,"Gaseosa ice manzana, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
3073,MARINARO ICE NARANJA 4X3,5500.00,342,4,caja,bulto,Bebidas,Ice,Marinaro,Naranja,marinaro ice naranja 4x3|ice|bebidas|3073|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|naranja,0.9199999999999999,0.81,"Gaseosa ice naranja, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
3074,MARINARO ICE POMELO ROSADO 4X3,5500.00,342,4,caja,bulto,Bebidas,Ice,Marinaro,Pomelo,marinaro ice pomelo rosado 4x3|ice|bebidas|3074|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|pomelo,0.9199999999999999,0.81,"Gaseosa ice pomelo, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
3014,MARINARO COLA 4X3 PREMIUM,7300.00,340,4,caja,bulto,Bebidas,Gaseosas,Marinaro,Cola,marinaro cola 4x3 premium|gaseosas|bebidas|3014|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|cola,0.9099999999999999,0.8,"Gaseosa cola, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
3017,MARINARO GRANADINA 4X3,7300.00,340,4,caja,bulto,Bebidas,Gaseosas,Marinaro,Granadina,marinaro granadina 4x3|gaseosas|bebidas|3017|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|granadina,0.9099999999999999,0.8,"Gaseosa granadina, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
3029,MARINARO GRANADINA 8X500 VIDRIO,16600.00,338,8,caja,bulto,Bebidas,Gaseosas,Marinaro,Granadina,marinaro granadina 8x500 vidrio|gaseosas|bebidas|3029|caja|bulto|caja x8|bulto x8|marinaro|caja marinaro|bulto marinaro|granadina,0.8999999999999999,0.79,"Gaseosa granadina, marca Marinaro, caja x8 botellas de vidrio de 500 ml.",,true,true,Precios / Mostrador -LGSM
3022,MARINARO LIMONADA 4X3 PREMIUM,7300.00,338,4,caja,bulto,Bebidas,Gaseosas,Marinaro,Limonada,marinaro limonada 4x3 premium|gaseosas|bebidas|3022|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|limonada,0.8999999999999999,0.79,"Gaseosa limonada, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
3033,MARINARO LIMONADA 8X500 VIDRIO,16600.00,338,8,caja,bulto,Bebidas,Gaseosas,Marinaro,Limonada,marinaro limonada 8x500 vidrio|gaseosas|bebidas|3033|caja|bulto|caja x8|bulto x8|marinaro|caja marinaro|bulto marinaro|limonada,0.8999999999999999,0.79,"Gaseosa limonada, marca Marinaro, caja x8 botellas de vidrio de 500 ml.",,true,true,Precios / Mostrador -LGSM
3025,MARINARO MANZANA 4X3 PREMIUM,7300.00,335,4,caja,bulto,Bebidas,Gaseosas,Marinaro,Manzana,marinaro manzana 4x3 premium|gaseosas|bebidas|3025|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|manzana,0.89,0.78,"Gaseosa manzana, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
3028,MARINARO NARANJA 4X3 PREMIUM,7300.00,335,4,caja,bulto,Bebidas,Gaseosas,Marinaro,Naranja,marinaro naranja 4x3 premium|gaseosas|bebidas|3028|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|naranja,0.89,0.78,"Gaseosa naranja, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
3032,MARINARO POMELO 4X3 PREMIUM,7300.00,335,4,caja,bulto,Bebidas,Gaseosas,Marinaro,Pomelo,marinaro pomelo 4x3 premium|gaseosas|bebidas|3032|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|pomelo,0.89,0.78,"Gaseosa pomelo, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
3055,MARINARO UVA 4X3 PREMIUM,7300.00,333,4,caja,bulto,Bebidas,Gaseosas,Marinaro,Uva,marinaro uva 4x3 premium|gaseosas|bebidas|3055|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|uva,0.88,0.77,"Gaseosa uva, marca Marinaro, caja x4 botellas de 3 L.",,true,true,Precios / Mostrador -LGSM
4504,SODA MARINARO SIFON 4 X 2,5120.00,333,4,caja,bulto,Bebidas,Aguas,Marinaro,Soda,soda marinaro sifon 4 x 2|aguas|bebidas|4504|caja|bulto|caja x4|bulto x4|marinaro|caja marinaro|bulto marinaro|soda,0.88,0.77,"Soda, marca Marinaro, caja x4 sifones de 2 L presentación en pack.",,true,true,Precios / Mostrador -LGSM
2518,"SIERRA DE LOS PADRES 6X1,5 MANZANA",7400.00,316,6,caja,bulto,Bebidas,Aguas,Sierra de los Padres,,"sierra de los padres 6x1,5 manzana|aguas|bebidas|2518|caja|bulto|caja x6|bulto x6|sierra de los padres|caja sierra de los padres|bulto sierra de los padres|manzana",0.8,0.7,"Agua mineral manzana, marca Sierra de los Padres, caja x6 botellas de 1,5 L.",,true,true,Precios / Mostrador -LGSM
2519,"SIERRA DE LOS PADRES 6X1,5 NARANJA",7400.00,313,6,caja,bulto,Bebidas,Aguas,Sierra de los Padres,,"sierra de los padres 6x1,5 naranja|aguas|bebidas|2519|caja|bulto|caja x6|bulto x6|sierra de los padres|caja sierra de los padres|bulto sierra de los padres|naranja",0.79,0.7,"Agua mineral naranja, marca Sierra de los Padres, caja x6 botellas de 1,5 L.",,true,true,Precios / Mostrador -LGSM
2520,"SIERRA DE LOS PADRES 6X1,5 POMELO",6900.00,313,6,caja,bulto,Bebidas,Aguas,Sierra de los Padres,,"sierra de los padres 6x1,5 pomelo|aguas|bebidas|2520|caja|bulto|caja x6|bulto x6|sierra de los padres|caja sierra de los padres|bulto sierra de los padres|pomelo",0.79,0.7,"Agua mineral pomelo, marca Sierra de los Padres, caja x6 botellas de 1,5 L.",,true,true,Precios / Mostrador -LGSM
2521,"SIERRA DE LOS PADRES 6X1,5 POMELO ROSADO",7400.00,313,6,caja,bulto,Bebidas,Aguas,Sierra de los Padres,,"sierra de los padres 6x1,5 pomelo rosado|aguas|bebidas|2521|caja|bulto|caja x6|bulto x6|sierra de los padres|caja sierra de los padres|bulto sierra de los padres|pomelo",0.79,0.7,"Agua mineral pomelo, marca Sierra de los Padres, caja x6 botellas de 1,5 L.",,true,true,Precios / Mostrador -LGSM
577,HELIOS PUNA CABERNET 6X750,43500.00,311,6,caja,bulto,Bebidas,Vinos,Puna,,helios puna cabernet 6x750|vinos|bebidas|577|caja|bulto|caja x6|bulto x6|puna|caja puna|bulto puna|cabernet,0.78,0.69,"Vino cabernet, marca Puna, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
144,PUNA HELIOS BLEND 6X750,49500.00,311,6,caja,bulto,Bebidas,Vinos,Puna,,puna helios blend 6x750|vinos|bebidas|144|caja|bulto|caja x6|bulto x6|puna|caja puna|bulto puna|helios,0.78,0.69,"Vino, marca Puna, caja x6 botellas de 750 ml presentación en pack.",,true,true,Precios / Mostrador -LGSM
782,PUNA HELIOS MALBEC 6X750,43500.00,309,6,caja,bulto,Bebidas,Vinos,Puna,,puna helios malbec 6x750|vinos|bebidas|782|caja|bulto|caja x6|bulto x6|puna|caja puna|bulto puna|malbec,0.77,0.68,"Vino malbec, marca Puna, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
777,PUNA MALBEC 6X750,56800.00,309,6,caja,bulto,Bebidas,Vinos,Puna,,puna malbec 6x750|vinos|bebidas|777|caja|bulto|caja x6|bulto x6|puna|caja puna|bulto puna|malbec,0.77,0.68,"Vino malbec, marca Puna, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
776,PUNA MALBEC RESERVA 6X750,71700.00,309,6,caja,bulto,Bebidas,Vinos,Puna,,puna malbec reserva 6x750|vinos|bebidas|776|caja|bulto|caja x6|bulto x6|puna|caja puna|bulto puna|malbec,0.77,0.68,"Vino malbec, marca Puna, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
571,PUNA RESERVA MALBEC 6X750,71700.00,307,6,caja,bulto,Bebidas,Vinos,Puna,,puna reserva malbec 6x750|vinos|bebidas|571|caja|bulto|caja x6|bulto x6|puna|caja puna|bulto puna|malbec,0.76,0.67,"Vino malbec, marca Puna, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
711,SANTA JULIA TARDIO TORRONTES 12X500,115900.00,307,12,caja,bulto,Bebidas,Vinos,SANTA JULIA,,santa julia tardio torrontes 12x500|vinos|bebidas|711|caja|bulto|caja x12|bulto x12|santa julia|caja santa julia|bulto santa julia|torrontés,0.76,0.67,"Vino torrontés, marca Santa Julia, caja x12 botellas de 500 ml.",,true,true,Precios / Mostrador -LGSM
64,CAFAYATE CABERNET 6X750,28750.00,307,6,caja,bulto,Bebidas,Vinos,CAFAYATE,,cafayate cabernet 6x750|vinos|bebidas|64|caja|bulto|caja x6|bulto x6|cafayate|caja cafayate|bulto cafayate|cabernet,0.76,0.67,"Vino cabernet, marca Cafayate, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
69,CAFAYATE MALBEC 6X750,28750.00,305,6,caja,bulto,Bebidas,Vinos,CAFAYATE,,cafayate malbec 6x750|vinos|bebidas|69|caja|bulto|caja x6|bulto x6|cafayate|caja cafayate|bulto cafayate|malbec,0.75,0.66,"Vino malbec, marca Cafayate, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
74,CAFAYATE RESERVE CABERNET 6X750,46300.00,305,6,caja,bulto,Bebidas,Vinos,CAFAYATE,,cafayate reserve cabernet 6x750|vinos|bebidas|74|caja|bulto|caja x6|bulto x6|cafayate|caja cafayate|bulto cafayate|cabernet,0.75,0.66,"Vino cabernet, marca Cafayate, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
75,CAFAYATE RESERVE MALBEC 6X750,46300.00,305,6,caja,bulto,Bebidas,Vinos,CAFAYATE,,cafayate reserve malbec 6x750|vinos|bebidas|75|caja|bulto|caja x6|bulto x6|cafayate|caja cafayate|bulto cafayate|malbec,0.75,0.66,"Vino malbec, marca Cafayate, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
76,CAFAYATE RESERVE TORRONTES 6X750,46300.00,302,6,caja,bulto,Bebidas,Vinos,CAFAYATE,,cafayate reserve torrontes 6x750|vinos|bebidas|76|caja|bulto|caja x6|bulto x6|cafayate|caja cafayate|bulto cafayate|torrontés,0.74,0.65,"Vino torrontés, marca Cafayate, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
78,CAFAYATE SYRAH 6X750,28750.00,302,6,caja,bulto,Bebidas,Vinos,CAFAYATE,,cafayate syrah 6x750|vinos|bebidas|78|caja|bulto|caja x6|bulto x6|cafayate|caja cafayate|bulto cafayate|syrah,0.74,0.65,"Vino syrah, marca Cafayate, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
79,CAFAYATE TORRONTES 6X750,28750.00,302,6,caja,bulto,Bebidas,Vinos,CAFAYATE,,cafayate torrontes 6x750|vinos|bebidas|79|caja|bulto|caja x6|bulto x6|cafayate|caja cafayate|bulto cafayate|torrontés,0.74,0.65,"Vino torrontés, marca Cafayate, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
3000,"COCA COLA 6X1,5",21000.00,300,6,caja,bulto,Bebidas,Gaseosas,COCA COLA,,"coca cola 6x1,5|gaseosas|bebidas|3000|caja|bulto|caja x6|bulto x6|coca cola|caja coca cola|bulto coca cola|cola",0.73,0.64,"Gaseosa cola, marca Coca-Cola, caja x6 botellas de 1,5 L.",,true,true,Precios / Mostrador -LGSM
3046,"COCA COLA 6X1,5 S/AZUCAR",21000.00,300,6,caja,bulto,Bebidas,Gaseosas,COCA COLA,,"coca cola 6x1,5 s/azucar|gaseosas|bebidas|3046|caja|bulto|caja x6|bulto x6|coca cola|caja coca cola|bulto coca cola|cola",0.73,0.64,"Gaseosa cola, marca Coca-Cola, caja x6 botellas de 1,5 L.",,true,true,Precios / Mostrador -LGSM
3008,"FANTA 6X1,5",21000.00,298,6,caja,bulto,Bebidas,Gaseosas,FANTA,,"fanta 6x1,5|gaseosas|bebidas|3008|caja|bulto|caja x6|bulto x6|fanta|caja fanta|bulto fanta|6x1",0.72,0.63,"Gaseosa, marca Fanta, caja x6 botellas de 1,5 L presentación en pack.",,true,true,Precios / Mostrador -LGSM
3041,"SPRITE 6X1,5",21000.00,298,6,caja,bulto,Bebidas,Gaseosas,SPRITE,,"sprite 6x1,5|gaseosas|bebidas|3041|caja|bulto|caja x6|bulto x6|sprite|caja sprite|bulto sprite|6x1",0.72,0.63,"Gaseosa, marca Sprite, caja x6 botellas de 1,5 L presentación en pack.",,true,true,Precios / Mostrador -LGSM
3003,COCA COLA 12X375,16100.00,298,12,caja,bulto,Bebidas,Gaseosas,COCA COLA,,coca cola 12x375|gaseosas|bebidas|3003|caja|bulto|caja x12|bulto x12|coca cola|caja coca cola|bulto coca cola|cola,0.72,0.63,"Gaseosa cola, marca Coca-Cola, caja x12 botellas de 375 ml.",,true,true,Precios / Mostrador -LGSM
3005,COCA COLA 12X600,19300.00,296,12,caja,bulto,Bebidas,Gaseosas,COCA COLA,,coca cola 12x600|gaseosas|bebidas|3005|caja|bulto|caja x12|bulto x12|coca cola|caja coca cola|bulto coca cola|cola,0.71,0.62,"Gaseosa cola, marca Coca-Cola, caja x12 botellas de 600 ml.",,true,true,Precios / Mostrador -LGSM
5022,QUILMES 24X473 LATA,47600.00,296,24,caja,bulto,Bebidas,Cervezas,QUILMES,,quilmes 24x473 lata|cervezas|bebidas|5022|caja|bulto|caja x24|bulto x24|quilmes|caja quilmes|bulto quilmes|24x473,0.71,0.62,"Cerveza rubia, marca Quilmes, caja x24 latas de 473 ml.",,true,true,Precios / Mostrador -LGSM
5021,QUILMES CERO 24X473 LATA,44000.00,296,24,caja,bulto,Bebidas,Cervezas,QUILMES,,quilmes cero 24x473 lata|cervezas|bebidas|5021|caja|bulto|caja x24|bulto x24|quilmes|caja quilmes|bulto quilmes|cero,0.71,0.62,"Cerveza rubia, marca Quilmes, caja x24 latas de 473 ml.",,true,true,Precios / Mostrador -LGSM
5011,QUILMES STOUT 24X473 LATA,58000.00,294,24,caja,bulto,Bebidas,Cervezas,QUILMES,,quilmes stout 24x473 lata|cervezas|bebidas|5011|caja|bulto|caja x24|bulto x24|quilmes|caja quilmes|bulto quilmes|stout,0.7,0.62,"Cerveza stout, marca Quilmes, caja x24 latas de 473 ml.",,true,true,Precios / Mostrador -LGSM
5001,BRAHMA 24X473 LATA,40100.00,294,24,caja,bulto,Bebidas,Cervezas,BRAHMA,,brahma 24x473 lata|cervezas|bebidas|5001|caja|bulto|caja x24|bulto x24|brahma|caja brahma|bulto brahma|24x473,0.7,0.62,"Cerveza rubia, marca Brahma, caja x24 latas de 473 ml.",,true,true,Precios / Mostrador -LGSM
