product_code,nombre,unidad_medida,unidad_medida_desc,division,rubro,segmento,lineas_venta_2024_2026
9109615,Flyer Maestro Calsa 2 Margarinas,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109616,Flyer Maestro Calsa 2 110 Pts,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109621,FLYER CONSUMIDORES LINEA MTK,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109622,FLYER CONSUMIDORES LINEA PREMIUM,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109701,Flyer Maestro Calsa 2 Margarinas Distri,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109711,DIPTICO INFORMACION BROMATO (ENERO 2012),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109712,Cuadernillo Pascuas 2012,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109730,CAMISA M/L LOGO CALSA (XXL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109740,Flyer Pormo Margarinas Premium - Abril,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109741,DVD PORTÁTIL (MDQ),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109755,PIROTINES,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109756,CAMPERA RUBIK ESTRATEGAS M,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109757,CAMPERA RUBIK ESTRATEGAS L,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109758,CAMPERA RUBIK ESTRATEGAS XL,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109772,Cuadernillo Invierno 2012,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109802,CAMPERA CONEXION (M),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109803,CAMPERA CONEXION (L),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109804,CAMPERA CONEXION (XL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109820,DUQUESA - BANNER COLGANTE NVO PACK,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109822,DUQUESA - FLYER NVO PACK,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109823,DUQUESA - RECETARIO NVO PACK,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109831,ATMA - RECETARIO HP 4031 (FEB 2013),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109832,ATMA - RECETARIO HP 4041 (FEB 2013),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109840,Libro Calsa 90 años,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109850,"CALSA - IMAN CUBITOS (7,5 X 4,5 CM)",None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109851,CALSA - PLATO PARA PIZZA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109852,CALSA - TABLA MADERA P/PIZZA C/CORTANTE,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109853,CALSA - PANERA TERMICA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109854,REPASADOR CALSA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109855,PIZZARRA GLOBO DIALOGO IMANTADA CALSA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109870,CUADERNILLO PRIMAVERA Y DIA MADRE 2012,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109871,FACTURAS Y MEDIALUNAS - RECETARIO,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109872,FACTURAS Y MEDIALUNAS - SOBRE,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109888,FACTURAS Y MEDIALUNAS - BANNER,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109889,FACTURAS Y MEDIALUNAS - MATE,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109960,Almanaque CALSA 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109970,EPC - CUADERNILLO FIN DE AÑO 2012,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109995,Banner Calsa Linea 0 Trans_Panaderías,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110030,Cortaplumas 8 funciones,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110031,Mate con bombilla,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110032,Vaso de acero,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110056,cuaderno CX 2013 - ejecución,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110057,EPC - CUADERNILLO PASCUAS 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110058,DELANTAL CAMELL PROMO MUNDIAL,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110060,ATMA - RECETARIO HP 4050 (FEB 2013),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110080,CHOMBA BLANCA promo mundial (L),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110081,CHOMBA BLANCA promo mundial (M),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110082,CHOMBA BLANCA promo mundial (XL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110120,FLYER COMBO MTK Y VIRGEN 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110130,CC TRIPTICO FV - PQ JUN13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110131,CC DESPLEGABLE PANAS B/C - PQ JUN13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110132,CC TRIPTICO PANAS A JUNTOS - PQ JUN13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110133,CC FICHA RECETAS PANAS A JUNTOS - PQ JUN,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110134,CC FLYER CONSUMIDOR FINAL - PQ JUN13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110135,CC PINCHE DE PRECIO - PQ JUN13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110136,CC STICKER VIDRIERA/MOSTRADOR - PQ JUN13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110137,CC BOLSITA DE PAPEL - PQ JUN13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110138,CC EXHIBIDOR - PQ JUN13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110139,CHOMBA BLANCA UNIFORME (M),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110140,CHOMBA BLANCA UNIFORME (L),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110141,CHOMBA BLANCA UNIFORME (XL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110142,CHOMBA BLANCA UNIFORME (XXL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110143,CAMISA M/L UNIFORME (M),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110144,CAMISA M/L UNIFORME (L),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110146,CAMISA M/L UNIFORME (XL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110147,CAMISA M/L UNIFORME (XXL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110148,Chaleco UNIFORME (M),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110149,Chaleco UNIFORME (L),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110150,Chaleco UNIFORME (XL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110151,Chaleco UNIFORME (XXL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110152,CAMPERA UNIFORMES (M),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110154,CAMPERA UNIFORMES (L),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110156,CAMPERA UNIFORMES (XL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110158,CAMPERA UNIFORMES (XXL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110159,CAMPERA UNIFORMES MUJER (S),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110160,CAMPERA UNIFORMES MUJER (M),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110161,CAMPERA UNIFORMES MUJER (L),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110207,CALSA - OBSEQUIO 90 AÑOS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110220,CC FORMULARIO FV - PQ JUN 13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110221,CALSA - SOBRE 90 AÑOS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110223,DELANTAL R. JAIME 70 AÑOS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110224,Flyer 70 Años Dist. R.Jaime,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110225,Sticker 70 años Dist. R. Jaime,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110230,CALSA - FOLLETO 90 AÑOS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110240,CHOMBA BLANCA CALSA (XXXL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110243,POLAR UNIFORME (M),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110245,POLAR UNIFORME (L),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110246,POLAR UNIFORME (XL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110248,POLAR UNIFORME (XXL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110249,Pantalon Uniforme (M),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110250,Pantalon Uniforme (L),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110251,Pantalon Uniforme (XL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110252,Pantalon Uniforme (XXL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110304,DISPENSER CALSA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110310,DELANTAL ARGENTINA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,1
9110311,DELANTAL ARGENTINA 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110319,EPC - CUADERNILLO INVIERNO 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110330,VALVULAS PARA DISPENSER CALSA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110367,BASE PARA DISPENSER CALSA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110717,CC BOLSITA DE PAPEL - ROLLS OCT 13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110718,CC EXHIBIDOR - ROLLS OCT 13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110719,CC DIPTICO FV - ROLLS OCT 13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110722,CC RECETAS PAN JUNTOS - ROLLS OCT 13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110723,CC DESPLEGABLE PANAS B/C - ROLLS OCT 13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110725,CC TRIPTICO PANAS JUNTOS - ROLLS OCT 13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110785,EPC - CUADERNILLO PRIMAVERA 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9110970,Almanaque CALSA 2014,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111096,ATMA - RECETARIO HP 4060 (NOV 2013),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111140,Valija Chica,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111141,Valija Chica,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111142,Mochila Premium,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111143,Recetarios p/ cuadra 90 años,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111231,DIPTICO PANADEROS MTK 0% TRANS - DIC 13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111232,DIPTICO FV MTK 0% TRANS - DIC 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111234,CENEFA 0% TRANS - DIC 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111235,CENEFITA 0% TRANS - DIC 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111237,SALIENTE 0% TRANS - DIC 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111259,CARTEL ABIERTO/CERRADO 0% TRANS - DIC 13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111270,TURNERO 0% TRANS - DIC 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111271,BANNERS MTK 0% TRANS - DIC 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111327,ATMA - RECETARIO HP 4060 (NOV 2013),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111342,VESTIDO ROJO - UNIFORME PROMOTORA MUJER,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111343,TORERITA BLANCA - UNIFORME PROMOTORA MUJ,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111360,CINTURÓN BLANCO - UNIFORME PROMOTORA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111386,CINTAS PORTACREDENCIALES ROJAS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111410,CC DESPLEGABLE PANAS B/C - ROLLS OCT 13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111411,H. EXPLICATIVAS PANADEROS 0TRANS-DIC 13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111412,BOLSAS AMERICANAS KRAFT 0TRANS - DIC13,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111413,SOBRES CHAMBRIL 0 TRANS - DIC 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111450,BANNER CHICO MTK 0% TRANS - DIC 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111514,LOGO PARA DISPENSER CALSA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9111638,CARPETAS C/RECETAS - EXPO PROFS. 2013,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112080,Radiograbadores Juntos,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112081,VIRGEN PRIMIA - VASO MEDIDOR,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112566,Cuadro Juntos con Marco,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112567,Cuadro Juntos con Lienzo,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112569,Pines de precios x30,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112572,PLOTEO DIA DE LOS ENAMORADOS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112577,PLOTEO DIA DEL NIÑO,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112578,PLOTEO DIA DE LA MADRE,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112579,PLOTEO NAVIDAD,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112580,PLOTEO PASCUAS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112581,PLOTEO DIA DEL AMIGO,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112582,CAJITA FELIZ X100,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112583,Pizarra con pie,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112584,Pizarra para colgar,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9112630,BOLSITAS PARA BAGUETTE,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113093,CC EXHIBIDOR RUEDA - MUFFINS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113094,CC EXHIBIDOR TRIBUNA - MUFFIN,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113096,CC CAJITA PIROTINES X 250u,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113165,VIRGEN LIQUIDA BROCHURE PANADEROS JUL14,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113191,VRGEN LIQUIDA - JARRA MEDIDORA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113201,VIRGEN LIQUIDA DELANTAL,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113202,VIRGEN LIQUIDA BIRRETE,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113213,DELANTALES - PACKAGING PREMIUM AGO 14,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113215,VIRGEN LIQUIDA BROCHURE FZA. VTAS JUL14,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113216,VIRGEN LIQUIDA MANUAL/REVISTA JUL14,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113221,KIT MOCK-UPS (VIRGEN) - PT AGO14,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113234,VIRGEN LIQUIDA IMANES EQUIVALENCIAS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113236,VIRGEN LIQUIDA ORINGS VALVULA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113238,FLYER PREMIUM NUEVO PACKAGING SEPT14,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113247,VIRGEN LIQUIDA LLAVE COMBINADA 10MM,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113740,KIT MOCK-UPS (DUQUESA) - PT SEP14,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113832,TORERITAS INSTITUCIONALES - UNIFORME,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113913,CATÁLOGO PTOS. GRASOS 0 TRANS (NOV 14),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113917,CARPETAS CURSOS CORE EPC DUEÑOS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9113918,CURSOS CORE CARPETA PANADEROS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114066,Almanaque CALSA 2015,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114067,Manual de Punto de Venta,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114090,VIRGEN LIQUIDA STICKER: CARA HACIA ABAJO,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114091,VIRGEN LIQUIDA STICKER:CARA HACIA ARRIBA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114126,Campera rompeviento talle S,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114127,Campera rompeviento talle M,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114128,Campera rompeviento talle L,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114129,Campera rompeviento talle XL,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114131,UNIFORME EXPO 14 - MONO NEGRO + TORERITA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114144,CUBREMASAS FORMULA 1,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114151,Campera rompeviento talle XXL,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114218,JARRA MEDIDORA - MTK 0% TRANS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114219,BOWL - MTK 0% TRANS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114220,KIT MATE - MTK 0% TRANS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114229,LP - BANNER PANES RÚSTICOS (FEB 2015),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114234,DELANTALES - MTK 0% TRANS,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114240,LP - MOCK-UP PANES RÚSTICOS (FEB 2015),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114241,LP - DIPTICO PANES SALUDABLES (FEB 2015),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114242,PINCEL - MTK 0% TRANS (FEB 2015),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114291,LP-DIPTICO+RECET. PANES RUSTICOS (FEB15),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114298,SILLA DE DIRECTOR,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114310,BOLSO EMPACABLE - MONTAGNE,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114322,CHOMBA BLANCA UNIFORME (S),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114323,CHOMBA BLANCA UNIFORME (XXXL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114324,CAMISA M/L UNIFORME (S),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114325,CAMISA M/L UNIFORME (XXXL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114371,Botella BIO Sport - Olimpiadas,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114431,Set de Mate Premium*,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114662,Carpetas EPC 2015,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114884,LP - DÍPTICOS BROWNIES (JUL 2015),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114895,Termo CALSA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114897,DIPTICO AMASANDO CON CALSA (JUL 2015),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114898,LP - BANNER BROWNIES (JUL 2015),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114900,LP - CARTULINA+LÁMINAS BROWNIES (JUL.15),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114923,FLYER POST EVENTO MAESTROS DEL PAN 2015,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114965,Almanaque CALSA 2016,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114966,MATE CON BOMBILLA SELECTA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114967,FLYER CONSERVACIÓN MARG. 0%TRANS AGO15,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114968,BANNER CONSERVACIÓN MARG. 0%TRANS AGO15,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9114975,CHOMBA SELECTA (XL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
