codigo_producto,nombre,descripcion
SIN-CRE-01967,Pan Baguette Jamon y Queso (sandwich) x15 Sin TACC,"Baguettín congelado, Pan Baguette Jamon y Queso (sandwich) x15 Sin TACC, marca CRESFOOD."
SIN-CRE-01966,Pan Baguette x 2u CAJA x30u Sin TACC,"Baguettín congelado, Pan Baguette x 2u CAJA x30u Sin TACC, marca CRESFOOD, x2 unidades."
SIN-CRE-20002,Pizza de Muzzarela 4p 400g SIN TACC,"Pizza congelada, Pizza de Muzzarela 4p 400g SIN TACC, marca CRESFOOD, 400g."
FRU-DRL-01957,Arandanos Congelados x 1kg,"Fruta congelada, Arandanos Congelados x 1kg, marca DRL Congelados, 1kg."
REB-DRL-01944,Bocadito de Muzzarela x 5kg,"Producto congelado, Bocadito de Muzzarela x 5kg, marca DRL Congelados, 5kg."
REB-DRL-01943,Filet de Merluza Rom x 6kg,"Producto congelado, Filet de Merluza Rom x 6kg, marca DRL Congelados, 6kg."
FRU-DRL-01912,Frutilla Congelada x 1kg,"Fruta congelada, Frutilla Congelada x 1kg, marca DRL Congelados, 1kg."
FRU-DRL-01911,Mango Congelado en cubos x 1kg,"Fruta congelada, Mango Congelado en cubos x 1kg, marca DRL Congelados, 1kg."
REB-DRL-01945,Medallon de Merluza Espinaca y Queso x 5kg,"Medallón congelado, Medallon de Merluza Espinaca y Queso x 5kg, marca DRL Congelados, 5kg."
REB-DRL-01946,Medallon de Merluza x5kg,"Medallón congelado, Medallon de Merluza x5kg, marca DRL Congelados, 5kg."
REB-DRL-01947,Medallon de Pollo Jamon y Queso x 5 kg,"Medallón congelado, Medallon de Pollo Jamon y Queso x 5 kg, marca DRL Congelados, 5 kg, venta por kg."
REB-DRL-01948,Medallon de Pollo x 5kg,"Medallón congelado, Medallon de Pollo x 5kg, marca DRL Congelados, 5kg."
REB-DRL-01951,Milanesas de Pollo x 5kg,"Rebozado congelado, Milanesas de Pollo x 5kg, marca DRL Congelados, 5kg."
FRU-DRL-01918,Mix de Frutos Rojos Congelados x 1kg,"Fruta congelada, Mix de Frutos Rojos Congelados x 1kg, marca DRL Congelados, 1kg."
FRU-DRL-01913,Mix de Frutos Rojos Congelados x400g,"Fruta congelada, Mix de Frutos Rojos Congelados x400g, marca DRL Congelados, 400g."
REB-DRL-01949,Patita de Pollo de Jamon y Queso x 5kg,"Producto congelado, Patita de Pollo de Jamon y Queso x 5kg, marca DRL Congelados, 5kg."
REB-DRL-01950,Patita de Pollo x 5kg,"Producto congelado, Patita de Pollo x 5kg, marca DRL Congelados, 5kg."
IMP-FRO-01938,Arandanos bañados en chocolare blanco x110grs,"Producto congelado, Arandanos bañados en chocolare blanco x110grs, marca FROST CARGO, 110g."
IMP-FRO-01933,Frambuesas bañadas en chocolate x110grs,"Producto congelado, Frambuesas bañadas en chocolate x110grs, marca FROST CARGO, 110g."
IMP-FRO-01939,Frutillas en mitades bañadas en chocolate x110grs,"Producto congelado, Frutillas en mitades bañadas en chocolate x110grs, marca FROST CARGO, 110g."
BAL-GAT-01910,Balde helado x 10 litros CHOCOLATE DUBAI,"Balde de helado, Balde helado x 10 litros CHOCOLATE DUBAI, marca GATELIN."
BAL-BAL-01253,Balde Helado x10 litros Artesanal Premium Maracuya a la Crema,"Balde de helado, Balde Helado x10 litros Artesanal Premium Maracuya a la Crema, marca GATELIN."
BAL-BAL-01785,Balde Helado x10 litros Artesanal Premium Alfajor Havana,"Postre helado, Balde Helado x10 litros Artesanal Premium Alfajor Havana, marca GATELIN."
BAL-BAL-01246,Balde Helado x10 litros Artesanal Premium Almen. chocolate almendrado,"Balde de helado, Balde Helado x10 litros Artesanal Premium Almen. chocolate almendrado, marca GATELIN."
BAL-BAL-01234,Balde Helado x10 litros Artesanal Premium Anana a la crema,"Balde de helado, Balde Helado x10 litros Artesanal Premium Anana a la crema, marca GATELIN."
BAL-BAL-01235,Balde Helado x10 litros Artesanal Premium Banana Split,"Balde de helado, Balde Helado x10 litros Artesanal Premium Banana Split, marca GATELIN."
BAL-BAL-01245,Balde Helado x10 litros Artesanal Premium Bombon Rocher,"Postre helado, Balde Helado x10 litros Artesanal Premium Bombon Rocher, marca GATELIN."
BAL-BAL-01251,Balde Helado x10 litros Artesanal Premium Brownie Super Orense,"Balde de helado, Balde Helado x10 litros Artesanal Premium Brownie Super Orense, marca GATELIN."
BAL-BAL-01237,Balde Helado x10 litros Artesanal Premium Cereza Con trozos,"Balde de helado, Balde Helado x10 litros Artesanal Premium Cereza Con trozos, marca GATELIN."
BAL-BAL-01547,Balde Helado x10 litros Artesanal Premium Chantilly con duraznos,"Balde de helado, Balde Helado x10 litros Artesanal Premium Chantilly con duraznos, marca GATELIN."
BAL-BAL-01220,Balde Helado x10 litros Artesanal Premium Chocolate,"Balde de helado, Balde Helado x10 litros Artesanal Premium Chocolate, marca GATELIN."
BAL-BAL-01238,Balde Helado x10 litros Artesanal Premium Chocolate Suizo,"Balde de helado, Balde Helado x10 litros Artesanal Premium Chocolate Suizo, marca GATELIN."
BAL-BAL-01247,Balde Helado x10 litros Artesanal Premium Chocotorta,"Torta helada, Balde Helado x10 litros Artesanal Premium Chocotorta, marca GATELIN."
BAL-BAL-01775,Balde Helado x10 litros Artesanal Premium Coco con DDL,"Balde de helado, Balde Helado x10 litros Artesanal Premium Coco con DDL, marca GATELIN."
BAL-BAL-01218,Balde Helado x10 litros Artesanal Premium crema americana,"Balde de helado, Balde Helado x10 litros Artesanal Premium crema americana, marca GATELIN."
BAL-BAL-01227,Balde Helado x10 litros Artesanal Premium Crema Cookies,"Balde de helado, Balde Helado x10 litros Artesanal Premium Crema Cookies, marca GATELIN."
BAL-BAL-01221,Balde Helado x10 litros Artesanal Premium Crema del Cielo,"Balde de helado, Balde Helado x10 litros Artesanal Premium Crema del Cielo, marca GATELIN."
BAL-BAL-01229,Balde Helado x10 litros Artesanal Premium Crema Flan,"Balde de helado, Balde Helado x10 litros Artesanal Premium Crema Flan, marca GATELIN."
BAL-BAL-01750,Balde Helado x10 litros Artesanal Premium Crema Imperial,"Balde de helado, Balde Helado x10 litros Artesanal Premium Crema Imperial, marca GATELIN."
BAL-BAL-01248,Balde Helado x10 litros Artesanal Premium Crema Rusa,"Balde de helado, Balde Helado x10 litros Artesanal Premium Crema Rusa, marca GATELIN."
BAL-BAL-01429,Balde Helado x10 litros Artesanal Premium DLB NUEZ,"Balde de helado, Balde Helado x10 litros Artesanal Premium DLB NUEZ, marca GATELIN."
BAL-BAL-01222,Balde Helado x10 litros Artesanal Premium Dulce de Leche,"Balde de helado, Balde Helado x10 litros Artesanal Premium Dulce de Leche, marca GATELIN."
BAL-BAL-01249,Balde Helado x10 litros Artesanal Premium Dulce de Leche Bombon,"Postre helado, Balde Helado x10 litros Artesanal Premium Dulce de Leche Bombon, marca GATELIN."
BAL-BAL-01749,Balde Helado x10 litros Artesanal Premium Dulce de Leche Delicia,"Balde de helado, Balde Helado x10 litros Artesanal Premium Dulce de Leche Delicia, marca GATELIN."
BAL-BAL-01228,Balde Helado x10 litros Artesanal Premium Dulce de leche Granizado,"Balde de helado, Balde Helado x10 litros Artesanal Premium Dulce de leche Granizado, marca GATELIN."
BAL-BAL-01783,Balde Helado x10 litros Artesanal Premium Frambuesa al Agua,"Balde de helado, Balde Helado x10 litros Artesanal Premium Frambuesa al Agua, marca GATELIN."
BAL-BAL-01710,Balde Helado x10 litros Artesanal Premium Franui,"Balde de helado, Balde Helado x10 litros Artesanal Premium Franui, marca GATELIN."
BAL-BAL-01223,Balde Helado x10 litros Artesanal Premium Frutilla al Agua,"Balde de helado, Balde Helado x10 litros Artesanal Premium Frutilla al Agua, marca GATELIN."
BAL-BAL-01230,Balde Helado x10 litros Artesanal Premium FRUTILLA CREMA,"Balde de helado, Balde Helado x10 litros Artesanal Premium FRUTILLA CREMA, marca GATELIN."
BAL-BAL-01231,Balde Helado x10 litros Artesanal Premium FRUTILLA NEVADA,"Balde de helado, Balde Helado x10 litros Artesanal Premium FRUTILLA NEVADA, marca GATELIN."
BAL-BAL-01239,Balde Helado x10 litros Artesanal Premium Frutos del Bosque,"Balde de helado, Balde Helado x10 litros Artesanal Premium Frutos del Bosque, marca GATELIN."
BAL-BAL-01232,Balde Helado x10 litros Artesanal Premium GRANIZADO,"Balde de helado, Balde Helado x10 litros Artesanal Premium GRANIZADO, marca GATELIN."
BAL-BAL-01240,Balde Helado x10 litros Artesanal Premium KINDER,"Balde de helado, Balde Helado x10 litros Artesanal Premium KINDER, marca GATELIN."
BAL-BAL-01241,Balde Helado x10 litros Artesanal Premium Kinotos,"Balde de helado, Balde Helado x10 litros Artesanal Premium Kinotos, marca GATELIN."
BAL-BAL-01216,Balde Helado x10 Litros Artesanal Premium Limon al agua,"Balde de helado, Balde Helado x10 Litros Artesanal Premium Limon al agua, marca GATELIN."
BAL-BAL-01418,Balde Helado x10 litros Artesanal Premium LIMON PRIMAVERA,"Balde de helado, Balde Helado x10 litros Artesanal Premium LIMON PRIMAVERA, marca GATELIN."
BAL-BAL-01250,Balde Helado x10 litros Artesanal Premium Mantecol,"Balde de helado, Balde Helado x10 litros Artesanal Premium Mantecol, marca GATELIN."
BAL-BAL-01242,Balde Helado x10 litros Artesanal Premium Mascarpone Con Frutos Rojos,"Balde de helado, Balde Helado x10 litros Artesanal Premium Mascarpone Con Frutos Rojos, marca GATELIN."
BAL-BAL-01233,Balde Helado x10 litros Artesanal Premium Menta Granizada,"Balde de helado, Balde Helado x10 litros Artesanal Premium Menta Granizada, marca GATELIN."
BAL-BAL-01628,Balde Helado x10 litros artesanal Premium Naranja,"Balde de helado, Balde Helado x10 litros artesanal Premium Naranja, marca GATELIN."
BAL-GAT-01896,Balde Helado x10 litros Artesanal Premium Pistacho,"Balde de helado, Balde Helado x10 litros Artesanal Premium Pistacho, marca GATELIN."
BAL-BAL-01243,Balde Helado x10 litros Artesanal Premium Tramontana,"Balde de helado, Balde Helado x10 litros Artesanal Premium Tramontana, marca GATELIN."
BAL-BAL-01244,Balde Helado x10 litros Artesanal Premium Uvas al Rhum,"Balde de helado, Balde Helado x10 litros Artesanal Premium Uvas al Rhum, marca GATELIN."
BAL-BAL-01225,Balde Helado x10 litros Artesanal Premium Vainilla,"Balde de helado, Balde Helado x10 litros Artesanal Premium Vainilla, marca GATELIN."
BAL-BAL-01217,Balde Helado x10 Litros Manzana Verde al agua Artesanal,"Balde de helado, Balde Helado x10 Litros Manzana Verde al agua Artesanal, marca GATELIN."
IMP-IMP-01660,Balde Helado x3lts Limon ORENSE,"Balde de helado, Balde Helado x3lts Limon ORENSE, marca GATELIN, 3lts."
GAT-BAL-01792,Torta Gatelin,"Torta helada Torta Gatelin, marca GATELIN, categoría Tortas Heladas, presentación de catálogo."
INS-INS-01565,Capelina Grande x80u.,"Insumo de heladería, Capelina Grande x80u, marca Insumos Heladeria, x80 unidades."
INS-INS-01358,Capuchon Vaso Batido,"Helado en vaso Capuchon Vaso Batido, marca Insumos Heladeria, categoría Insumos Descartables, presentación de catálogo."
INS-INS-01838,Cartel,"Insumo de heladería Cartel, marca Insumos Heladeria, categoría Insumos Descartables, presentación de catálogo."
INS-INS-01684,Chips de Chocolate Negro x1Kg,"Insumo de heladería, Chips de Chocolate Negro x1Kg, marca Insumos Heladeria, 1Kg."
INS-INS-01586,COMBO Envase telgopor 1/2 KG x 100 unidades,"Combo, COMBO Envase telgopor 1/2 KG x 100 unidades, marca Insumos Heladeria, 2 KG, x100 unidades."
INS-INS-01585,COMBO Envase telgopor 1/4 KG X 100 unidades,"Combo, COMBO Envase telgopor 1/4 KG X 100 unidades, marca Insumos Heladeria, 4 KG, x100 unidades."
INS-INS-01584,COMBO Envase telgopor KG x 100 unidades,"Combo, COMBO Envase telgopor KG x 100 unidades, marca Insumos Heladeria, x100 unidades."
INS-INS-01690,COMBO Vaso Batido,"Combo COMBO Vaso Batido, marca Insumos Heladeria, categoría Insumos Descartables, presentación de catálogo."
INS-INS-01598,Cono 70 Pasta Simple x180u.,"Cono para helado, Cono 70 Pasta Simple x180u, marca Insumos Heladeria, x180 unidades."
INS-INS-01599,Cono Doble Pasta x90u.,"Cono para helado, Cono Doble Pasta x90u, marca Insumos Heladeria, x90 unidades."
INS-INS-01383,Cuchara Bochera Inoxidable,"Insumo de heladería Cuchara Bochera Inoxidable, marca Insumos Heladeria, categoría Insumos Heladerias, presentación de catálogo."
INS-INS-01733,Cucharita Europea Multicolor x1Kg,"Insumo de heladería, Cucharita Europea Multicolor x1Kg, marca Insumos Heladeria, 1Kg."
INS-INS-01336,Cucharitas clasicas bolsa x1Kg,"Insumo de heladería, Cucharitas clasicas bolsa x1Kg, marca Insumos Heladeria, 1Kg."
INS-INS-01382,Cucharitas sueltas x200grs,"Insumo de heladería, Cucharitas sueltas x200grs, marca Insumos Heladeria, 200g."
INS-INS-01569,Cucharitas Sundae x1000u.,"Insumo de heladería Cucharitas Sundae x1000u, marca Insumos Heladeria, categoría Insumos Descartables, presentación de catálogo."
INS-INS-01597,Cucuruchon Artesanal x240u.,"Cono para helado, Cucuruchon Artesanal x240u, marca Insumos Heladeria, x240 unidades."
BAL-BAL-01748,Envase Balde Helado Gatelin,"Balde de helado, Envase Balde Helado Gatelin, marca Insumos Heladeria."
INS-INS-01348,Envase Telgopor 1/2 KG x20 unidades,"Envase descartable, Envase Telgopor 1/2 KG x20 unidades, marca Insumos Heladeria, 2 KG, x20 unidades."
INS-INS-01786,Envase Telgopor 1/4 KG x20 unidades,"Envase descartable, Envase Telgopor 1/4 KG x20 unidades, marca Insumos Heladeria, 4 KG, x20 unidades."
INS-INS-01349,Envase Telgopor 1/4 KG x50 unidades,"Envase descartable, Envase Telgopor 1/4 KG x50 unidades, marca Insumos Heladeria, 4 KG, x50 unidades."
INS-INS-01347,Envase Telgopor KG x20 unidades,"Envase descartable, Envase Telgopor KG x20 unidades, marca Insumos Heladeria, x20 unidades."
INS-INS-01766,Mani Crocante con Sabor Almendra 1Kg,"Insumo de heladería, Mani Crocante con Sabor Almendra 1Kg, marca Insumos Heladeria, 1Kg."
INS-INS-01901,Mani Crocante x Kg,"Insumo de heladería, Mani Crocante x Kg, marca Insumos Heladeria, venta por kg."
INS-INS-01762,MicroCereal con Cobertura de Chocolate y Dulce de Leche x1Kg,"Insumo de heladería, MicroCereal con Cobertura de Chocolate y Dulce de Leche x1Kg, marca Insumos Heladeria, 1Kg."
INS-INS-01763,MicroGalletita con Cobertura de Chocolate y Dulce de Leche x1Kg,"Insumo de heladería, MicroGalletita con Cobertura de Chocolate y Dulce de Leche x1Kg, marca Insumos Heladeria, 1Kg."
INS-INS-01596,Mini cucurucho artesanal x340u.,"Cono para helado, Mini cucurucho artesanal x340u, marca Insumos Heladeria, x340 unidades."
INS-INS-01900,Mini Rocklets x 200g,"Insumo de heladería, Mini Rocklets x 200g, marca Insumos Heladeria, 200g."
INS-INS-01899,Obleas GRANDES para decorar x 5u,"Insumo de heladería, Obleas GRANDES para decorar x 5u, marca Insumos Heladeria, x5 unidades."
INS-INS-01898,Obleas para decorar x 500g,"Insumo de heladería, Obleas para decorar x 500g, marca Insumos Heladeria, 500g."
INS-INS-01601,PACK 30u. Cono 70 Pasta Simple,"Cono para helado, PACK 30u. Cono 70 Pasta Simple, marca Insumos Heladeria, x30 unidades."
INS-INS-01600,PACK 30u. Cono Doble Pasta,"Cono para helado, PACK 30u. Cono Doble Pasta, marca Insumos Heladeria, x30 unidades."
INS-INS-01568,Pack servilletas individual,"Insumo de heladería Pack servilletas individual, marca Insumos Heladeria, categoría Insumos Descartables, presentación de catálogo."
INS-INS-01602,PACK X20 CUCURUCHOS GRANDES,"Cono para helado, PACK X20 CUCURUCHOS GRANDES, marca Insumos Heladeria, x20 unidades."
INS-INS-01603,PACK X20 MINI CUCURUCHONES,"Cono para helado, PACK X20 MINI CUCURUCHONES, marca Insumos Heladeria, x20 unidades."
INS-INS-01356,Paleta de Aluminio xUnidad,"Insumo de heladería, Paleta de Aluminio xUnidad, marca Insumos Heladeria."
INS-INS-01337,Salsa Caramelo x900 GRS Jamer,"Salsa para heladería, Salsa Caramelo x900 GRS Jamer, marca Insumos Heladeria, 900 g."
INS-INS-01338,Salsa Chocolate x900 GRS Jamer,"Salsa para heladería, Salsa Chocolate x900 GRS Jamer, marca Insumos Heladeria, 900 g."
INS-INS-01339,Salsa Dulce de Leche x900 GRS Jamer,"Salsa para heladería, Salsa Dulce de Leche x900 GRS Jamer, marca Insumos Heladeria, 900 g."
INS-INS-01340,Salsa Frutilla x900 GRS Jamer,"Salsa para heladería, Salsa Frutilla x900 GRS Jamer, marca Insumos Heladeria, 900 g."
INS-INS-01341,Salsa Frutos del Bosque x900 GRS Jamer,"Salsa para heladería, Salsa Frutos del Bosque x900 GRS Jamer, marca Insumos Heladeria, 900 g."
INS-INS-01622,Vaso pasta 125 x 174 unid.,"Helado en vaso, Vaso pasta 125 x 174 unid, marca Insumos Heladeria, x174 unidades."
INS-INS-01621,Vaso pasta 90 Exagonal x 261u.,"Helado en vaso, Vaso pasta 90 Exagonal x 261u, marca Insumos Heladeria, x261 unidades."
PAN-LCH-01962,Churros Precocidos Rellenos Dulce de Leche Congelados x 5 doc,"Pastelería congelada, Churros Precocidos Rellenos Dulce de Leche Congelados x 5 doc, marca LA CHURRERIA, x60 unidades."
BAL-LOM-01906,10 BALDES FLIAR 5 cereza/gran/ddl y 5 choc/vain/frutilla,"Balde de helado, 10 BALDES FLIAR 5 cereza/gran/ddl y 5 choc/vain/frutilla, marca LOMORO."
IMP-IMP-03502,Alfajor Irlandés x 6 sin Tacc,"Postre helado, Alfajor Irlandés x 6 sin Tacc, marca LOMORO."
IMP-IMP-01765,Alfajor Premium Blanco x6u.,"Postre helado, Alfajor Premium Blanco x6u, marca LOMORO, x6 unidades."
IMP-LOM-01888,Alfajor premium HIT minitorta de 80g x8u,"Torta helada, Alfajor premium HIT minitorta de 80g x8u, marca LOMORO, 80g, x8 unidades."
IMP-IMP-01759,Alfajor Premium Irlandes x6u.,"Postre helado, Alfajor Premium Irlandes x6u, marca LOMORO, x6 unidades."
IMP-IMP-01758,Alfajor Premium Negro x6u.,"Postre helado, Alfajor Premium Negro x6u, marca LOMORO, x6 unidades."
GAS-BAL-01508,BALDE 10L -FRIPPER AGUA ANANA (ARTESANAL),"Balde de helado, BALDE 10L -FRIPPER AGUA ANANA (ARTESANAL), marca LOMORO, 10L."
GAS-BAL-01509,BALDE 10L -FRIPPER AGUA DURAZNO (ARTESANAL),"Balde de helado, BALDE 10L -FRIPPER AGUA DURAZNO (ARTESANAL), marca LOMORO, 10L."
BAL-LOM-01909,BALDE 10L -FRIPPER AMERICANA (ARTESANAL),"Balde de helado, BALDE 10L -FRIPPER AMERICANA (ARTESANAL), marca LOMORO, 10L."
BAL-LOM-01923,BALDE 10L -FRIPPER AMERICANA A LA REINA (ESPECIAL PREMIUM),"Balde de helado, BALDE 10L -FRIPPER AMERICANA A LA REINA (ESPECIAL PREMIUM), marca LOMORO, 10L."
BAL-LOM-01904,BALDE 10L -FRIPPER BANANITA DOLCE (ESPECIAL PREMIUM),"Balde de helado, BALDE 10L -FRIPPER BANANITA DOLCE (ESPECIAL PREMIUM), marca LOMORO, 10L."
GAS-BAL-01534,BALDE 10L -FRIPPER CHOCOLATE BLANCO (ESPECIAL ARTESANAL),"Balde de helado, BALDE 10L -FRIPPER CHOCOLATE BLANCO (ESPECIAL ARTESANAL), marca LOMORO, 10L."
BAL-LOM-01902,BALDE 10L -FRIPPER COCO (ARTESANAL),"Balde de helado, BALDE 10L -FRIPPER COCO (ARTESANAL), marca LOMORO, 10L."
BAL-LOM-01903,BALDE 10L -FRIPPER DULCE DE LECHE (ARTESANAL),"Balde de helado, BALDE 10L -FRIPPER DULCE DE LECHE (ARTESANAL), marca LOMORO, 10L."
BAL-LOM-01952,BALDE 10L -FRIPPER FRUTILLA A LA CREMA (SEMBRADO PREMIUM),"Balde de helado, BALDE 10L -FRIPPER FRUTILLA A LA CREMA (SEMBRADO PREMIUM), marca LOMORO, 10L."
BAL-LOM-01919,BALDE 10L -FRIPPER MARACUYA (PREMIUM),"Balde de helado, BALDE 10L -FRIPPER MARACUYA (PREMIUM), marca LOMORO, 10L."
GAS-BAL-01538,BALDE 10L -FRIPPER PISTACHO (BASE ARTESANAL),"Balde de helado, BALDE 10L -FRIPPER PISTACHO (BASE ARTESANAL), marca LOMORO, 10L."
GAS-BAL-01540,BALDE 10L -FRIPPER SELVA NEGRA (ESPECIAL ARTESANAL),"Balde de helado, BALDE 10L -FRIPPER SELVA NEGRA (ESPECIAL ARTESANAL), marca LOMORO, 10L."
GAS-BAL-01527,BALDE 10L -FRIPPER SUPER LOMORITO (BASE ARTESANAL),"Balde de helado, BALDE 10L -FRIPPER SUPER LOMORITO (BASE ARTESANAL), marca LOMORO, 10L."
BAL-LOM-01924,BALDE 10L -FRIPPER TIRAMISU (SEMBRADO PREMIUM),"Balde de helado, BALDE 10L -FRIPPER TIRAMISU (SEMBRADO PREMIUM), marca LOMORO, 10L."
IMP-IMP-01312,Balde Helado x3lts Familiar Lomoro (Cereza/DL/Granizado),"Balde de helado, Balde Helado x3lts Familiar Lomoro (Cereza/DL/Granizado), marca LOMORO, 3lts."
IMP-IMP-01313,Balde Helado x3lts Familiar Lomoro (CH/VAI/FR),"Balde de helado, Balde Helado x3lts Familiar Lomoro (CH/VAI/FR), marca LOMORO, 3lts."
IMP-IMP-01411,Balde Helado x3lts Familiar Lomoro (SPLIT/DL/AMERICANA),"Balde de helado, Balde Helado x3lts Familiar Lomoro (SPLIT/DL/AMERICANA), marca LOMORO, 3lts."
IMP-IMP-01712,Balde Irresistible Banana Split x 750cc,"Balde de helado, Balde Irresistible Banana Split x 750cc, marca LOMORO, 750cc."
IMP-LOM-20003,Balde Irresistible Cereza x 750cc,"Balde de helado, Balde Irresistible Cereza x 750cc, marca LOMORO, 750cc."
IMP-LOM-01890,Balde Irresistible Cookies and Cream x 750 cc,"Balde de helado, Balde Irresistible Cookies and Cream x 750 cc, marca LOMORO, 750 cc."
IMP-LOM-20004,Balde Irresistible Dulce de Leche x 750 cc,"Balde de helado, Balde Irresistible Dulce de Leche x 750 cc, marca LOMORO, 750 cc."
IMP-LOM-20005,Balde Irresistible Frutilla x 750 cc,"Balde de helado, Balde Irresistible Frutilla x 750 cc, marca LOMORO, 750 cc."
