Ranking,Código Producto (SKU),Nombre,Unidades Vendidas,Pedidos (Frecuencia),Total Facturado (USD)
33,736952201911,4 vegetables Peas & Carrot & Sweetcorn & Green Beans 22 lb,156.0,13,3418.8
34,736952195999,Blueberries frozen 5lb Benfresh Box 30 lb (6x5lb),142.0,130,8520.0
35,89090203,Sweet Potato Diced 22.04 lb,141.0,17,3946.59
36,736952201553,Mix Berries frozen 3 lb BENFRESH-Box 24 lb (8x3lb),139.0,119,9201.0
37,89090200,Onion Red Diced 20 lb,134.0,12,3004.28
38,8437020396066,Raspberries frozen FRANUI in white & milk chocolate 60 oz,133.0,72,7628.76
39,89090199,RICE WHITE XTRA LONG,125.0,35,3250.0
40,736952201973,Strawberry frozen 3lb BENFRESH-Box 24 lb (8x3lb),118.0,105,6964.4
41,736952201782,Mamey Chunk frozen 3lb BENFRESH-Box 24 lb (8x3lb),116.0,83,6930.4
42,89090059,Cranberry 20 lb,107.0,26,4285.68
43,736952201690,Mix Tropical frozen 3lb BENFRESH-Box 24 lb (8x3lb),100.0,97,6135.4
44,89090073,Blueberries frozen 22.04lb,100.0,19,4084.03
45,89090092,ONION STRIPS 22.04 lb,98.0,19,2402.22
46,89090202,CAULIFLOWER 22.04 lb (1 x 22.04 lb),94.0,14,2799.14
47,89090127,Sweet Potato Diced 20lb,92.0,9,2336.8
48,89090031,CAULIFLOWER frozen IQF 20 lb,91.0,15,2422.4
49,89090207,Mamey Chunks 24 lb (4x6lb),90.0,13,4889.4
50,8437020396073,Raspberries frozen FRANUI in white & dark chocolate 60 oz,79.0,51,4537.08
51,89010027,Passion Fruit with seeds Maracuya 22 lb,79.0,19,4919.26
52,89010026,Pineapple Chunk frozen 5 lb (6x5lb),78.0,68,4235.4
53,89090214,CAPRI BLEND (green beans - carrot sliced  - zucchini sliced ) 22.04lb,76.0,5,1866.56
54,834641,BEAN BLACK DRY 50 lb,70.0,36,2373.0
55,736952196033,Papaya Chunk frozen IQF - Box 21 lb (7x3lb),68.0,21,1910.4
56,89090053,Pineapple chunk frozen 21lb (7 x 3 lb),66.0,46,2509.32
57,736952201959,Mango Chunks Frozen 3lb BENFRESH-Box 24 lb (8x3lb),65.0,62,3928.4
58,89090107,Passion Fruit with seeds. Maracuya 11lb,64.0,15,1774.36
59,89090206,GREEN PEAS frozen 30 lb (12x2.5lb),50.0,9,1591.23
60,81006311002,Mini rice cakes coated in dark chocolate,48.0,5,864.0
61,89010031,Mamey Chunks frozen 5lb,44.0,13,1998.0
62,736952201560,Banana frozen 3lb -Box 21 lb (7x3lb),40.0,26,1386.0
63,736952196088,Blueberries frozen 3lb BENFRESH-Box 24 lb (8x3lb),40.0,38,2457.0
64,89090208,Guayaba quarters 24 lb (4x6lb),38.0,7,1786.35
65,736952201744,"Mix Berries frozen 0,75lb BENFRESH",36.0,37,1492.15
66,89090087,POTATO WEDGES 22.04 lb,34.0,3,1247.58
67,736952201546,Pineapple Chunks frozen 3lb BENFRESH-Box 24 lb (8x3lb),31.0,30,1882.6
68,736952196064,"Blueberries frozen 0,75lb BENFRESH",29.0,29,1202.75
69,736952196071,"Strawberry frozen 0,75lb BENFRESH",27.0,27,1080.1
70,736952201713,"Mango Chunk Frozen 0,75lb BENFRESH",27.0,27,1118.95
71,736952201706,"Mix Tropical frozen 0,75lb BENFRESH",21.0,21,868.85
72,818411000423,Sambazon - DRAGON FRUIT SORBET 3GAL,20.0,18,1999.0
73,89090124,Pepper 3 Color Diced 10 x 10 - 20lb,20.0,3,452.0
74,736952196026,Blackberry frozen -Box 10 lb (2x5lb),18.0,18,686.7
75,89090038,Spinach Frozen IQF - Box 24lb (1x24lb),17.0,9,560.15
76,89090210,Passion Fruit pulp NO Seeds Maracuya 22 lb,17.0,9,1043.23
77,89090121,Passion Fruit pulp NO Seeds Maracuya 11lb,16.0,15,533.6
78,89090089,Celery frozen 20 lb,15.0,5,312.81
79,74987455859,Mix Berries frozen 10 lb (2x5lb),14.0,9,397.6
80,89090063,Soup Mix 22 lb,13.0,12,312.52
81,89090209,Guayaba Pulp 39.67 lb (18 kg),13.0,4,907.92
82,89090110,Zucchini Courgette Slices 4/5 22.04 lb,12.0,3,277.92
83,89090065,Raspberries frozen 22.04 lb,12.0,8,1243.8
84,89090052,YUCA CHUNK CASSAVA FROZEN 20 lb,12.0,2,343.92
85,736952201720,"Pineapple Chunk frozen 0,75lb BENFRESH",10.0,10,413.8
86,89090109,Zucchini Courgette 10x10 - 22.04 lb,10.0,2,220.4
87,89090029,Carrot sliced 20 LB,10.0,1,202.0
88,10855006006016,ACAI TROPICAL organic packs 3.5 oz (NO SUGAR),8.0,5,440.96
89,736952196019,Raspberries frozen 5 lb - Box 10 lb (2x5lb),7.0,7,329.7
90,89090104,Coconut Sorbet SP,6.0,6,480.0
91,89090101,Blue diamond Sorbet SP,6.0,6,481.7
92,89090215,ITALIAN BLEND (Zucchini-Broccoli-Cauliflower-Carrot),6.0,1,147.36
93,89090103,Mango Sorbet SP,5.0,6,400.0
94,8411547213112,Natural water mineral Solan de Cabras 0.75l,5.0,5,144.0
95,89010012,PITAYA sobre,3.0,4,220.41
96,89090213,Pitaya Bags 10 KG (2 X 11lb),3.0,3,298.5
97,736952201522,Broccoli Floret frozen3 lb BENFRESH,3.0,2,73.2
98,89090077,Baby Carrot 22.04lb,3.0,1,90.57
99,89090102,Passion fruit Sorbet SP,3.0,3,241.89
100,736952201942,Spinach leaf 3lb BENFRESH,3.0,2,97.98
