Código Producto (SKU),Nombre,Stock,URL Actual
89090017,FRENCH GREEN BEANS L 20 lb,0,NULL
736952201768,French whole GREEN BEANS 22 lb,0,NULL
89090086,"Frozen Green Asparagus whole 22,04 lb",0,NULL
89090054,Green apples 40 lb,0,NULL
89090057,Guacamole Western 12 lb,0,NULL
89090209,Guayaba Pulp 39.67 lb (18 kg),203,NULL
89090208,Guayaba quarters 24 lb (4x6lb),150,NULL
89090212,"Key West Blend (Carrots, Green Beans, Red Pepper) 22.04lb",0,NULL
89090040,Mango Tropical Sorbet 3 gal,0,NULL
81006311002,Mini rice cakes coated in dark chocolate,14,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/81006311002.jpg
89010030,MIX TROPICAL 30 lb (6 x 5 lb),0,NULL
8411547213112,Natural water mineral Solan de Cabras 0.75l,0,NULL
736952201669,Onion Diced,0,NULL
74987455845,"ONION DICED 10X10 22,5LB",2,NULL
89090021,Onion Diced 3lb,0,NULL
74987455846,ONION SLICE 4/5 MM,474,NULL
89090098,ONION STRIPS 20 lb,0,NULL
853687004096,ORGANIC PITAYA DRAGON FRUIT Sorbet 3Gal,0,NULL
89010005,Packing goods Box,0,NULL
89090120,Passion fruit pulp 5 lb,0,NULL
858000004746,PASSION FRUIT TROPICAL Sorbet 3 gal,0,NULL
736952201928,Pepper 3 Color 10x10,0,NULL
736952201935,Pepper 3 Color Slice,0,NULL
736952201799,Pepper 3 Color Slice 1lb,0,NULL
74987455864,Pepper Yellow sliced,50,NULL
89090082,Pineapple chunk frozen 20 lb,0,NULL
89090094,Pineapple chunk frozen 22 lb,0,NULL
736952201805,Pineapple chunk frozen 22.04 lb C,1193,NULL
89010025,Pineapple Chunks frozen 30 lb-Box 30 lb (1x30lb),0,NULL
89090065,Raspberries frozen 22.04 lb,42,NULL
736952196019,Raspberries frozen 5 lb - Box 10 lb (2x5lb),4,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/736952196019.jpg
89090088,Red & Green Pepper Strips Mix 25 lb,0,NULL
89090115,RICE PARBOILED LONG GRAIN,16,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/89090115.jpg
89090199,RICE WHITE XTRA LONG,46,NULL
89090133,Soup Mix 20 lb,0,NULL
89090128,Spinach chopped 30 lb,0,NULL
89090126,Spinach Chopped Box 36lb (12x3lb),0,NULL
736952201843,Spinach leaf,1,NULL
736952201683,"Spinach Leaf frozen 0,75lb BENFRESH",0,NULL
736952201867,"Spinach Pellet - Bag 22,50 lb",492,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/736952201867.webp
74987455862,Strawberry Frozen 30lb,0,NULL
89010008,Strawberry sliced IQF 30 lb,0,NULL
89090090,Sweet Potato Wedges 15 lb,3,NULL
736952201898,Sweetcorn frozen 22lb,0,NULL
89090076,Sweetcorn Kernel Brix 68 frozen 30 lb,0,NULL
89010028,TOMATE DE ARBOL,180,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/89010028.jpg
89090201,Tomato Diced 24 lb (8 x 3 lb),400,NULL
89090112,Tomatoes diced - 22 lb,76,NULL
89090109,Zucchini Courgette 10x10 - 22.04 lb,110,NULL
89090110,Zucchini Courgette Slices 4/5 22.04 lb,69,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/89090110.jpg
89090114,Zucchini Sliced 24lb,2,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/89090114.jpg
