pedido_id,cliente_id,canal,n_lineas,n_matched,match_ratio,match_na,skus_matched,skus_unmatched,excerpt_humano
116,45372,chat,5,5,1.0,,4070266|4070236|2029|2041|3012903,,"Gracias por tu mensaje. En este momento no podemos responder, pero lo haremos lo antes posible.   Gracias por tu mensaje. En este momento no podemos responder, pero lo haremos lo antes posible.   Buen día Ampi!!! Ahora te paso pedido.   Buen día Ampi!!! Ahora te paso pedido.   Premezcla pureza sin tacc  Pan rallado  Alfajor rasta   Premezcla pureza sin tacc  Pan rallado  Alfajor rasta   Tomate triturado   Tomate triturado   Pedido: 8 Premezcla pureza sin tacc x 520g  8 pan rallado Mc x 500g.   1"
118,41977,chat,8,8,1.0,,3014507|3014507|6518|4040145|3014507|6518|4040145|40053,,Voy a quitarte el traductor antes.   Voy a quitarte el traductor antes.   Edulcorante   Edulcorante   6 Edulcorante si-diet   6 Edulcorante si-diet   Focos   Focos   3014507   3014507   Lámpara Led  9w cod 6518   Lámpara Led  9w cod 6518   Madalenas   Madalenas   8   8   Magdalenas  cod 4040145   Magdalenas  cod 4040145   1 caja   1 caja   Maquinistas de afeitar   Maquinistas de afeitar   Maquinita cod 40053   Maquinita cod 40053   10 unidades   10 unidades   Gracias   Gracias   Si   Si   Gracia
120,43246,tienda,13,,,catalogo_ui,,,"Hola buen día   Hola buen día   Aceite   Aceite   Si que otra cosa tienen para ver   Si que otra cosa tienen para ver   Hola, quiero hacer el siguiente pedido:  • 3 x Galletitas Mini Criollitos Materos Pamela 180g (B/15) (Código: 13000001) • 3 x Galletitas Pamela Rellenas Vainilla x 97g (B/36) (Código: 10900022) • 3 x Galletitas Mini Pamela Limón 4 x 45g (B/8) (Código: 10900020) • 1 x Harina Leudante Pureza Ultra Refinada Vitamina D 1kg (B/10) (Código: 4050276) • 3 x Harina con Levadura Pureza p"
122,41276,chat,2,1,0.5,,1006151,50950,"Hola, buenas tardes. No sé si tenés tiempo de hacer un pedido porque no pasaste hoy por aquí y necesito, si tenés paragüitas, decime si tengo un pedido, por favor.   Hola, buenas tardes. No sé si tenés tiempo de hacer un pedido porque no pasaste hoy por aquí y necesito, si tenés paragüitas, decime si tengo un pedido, por favor.   Tenés rockley de un kilo qué marca y qué precio gracias   Tenés rockley de un kilo qué marca y qué precio gracias   Bueno agrégame los gomitas fantasía misky de.$ 7450"
123,37406,chat,3,2,0.6667,,4040248|4040280,4010002,"Hola , buen dia , estuve cerrado por vacaciones ...   Hola , buen dia , estuve cerrado por vacaciones ...   puede ser 1 caja de Aceite y tenes budin?   puede ser 1 caja de Aceite y tenes budin?   si , 10 Budines Dulce Mama Marmolado 170 g y 10 Budines 9 de oro chocolate 170 g ...   si , 10 Budines Dulce Mama Marmolado 170 g y 10 Budines 9 de oro chocolate 170 g ...   confirmo ...   confirmo ..."
124,46784,chat,3,0,0.0,,,4010002|4010002|4010002,"aceite   aceite   no   no   muchas gracias solo el aceite nomas x ahora   muchas gracias solo el aceite nomas x ahora   este quiero   este quiero   el q me ofreciste   el q me ofreciste   N 1   N 1   una caja quiero   una caja quiero   acá dice $35217,6   acá dice $35217,6   con el descuento   con el descuento   ok   ok   no solo eso nomas si   no solo eso nomas si   No, solo quiero una caja, la que me mandaste al principio, la promoción esa, quiero solo una caja, no quiero más, no quiero dos ca"
126,36079,chat,8,8,1.0,,2037|0023|2037|0023|700147|761145|700147|761145,,"Hola, voy a querer  5 panes integrales veneziana chico  4 blancos venezolana 5 alfajores tricolor 5 rasta negros y 5 blancos   Hola, voy a querer  5 panes integrales veneziana chico  4 blancos venezolana 5 alfajores tricolor 5 rasta negros y 5 blancos   No   No   Pan lactal perdon   Pan lactal perdon   Lactal Integral y pan lactal blanco   Lactal Integral y pan lactal blanco   No sé pancho y no de hamburguesa   No sé pancho y no de hamburguesa   5 integral solo y 4 blancos   5 integral solo y 4"
128,31560,chat,1,0,0.0,,,4010002,"Hola 👋🏻   Hola 👋🏻   Me mandas 2 3 cajas ...   Me mandas 2 3 cajas ...   No   No   3 cajas   3 cajas   No por ahora eso ...   No por ahora eso ...   Y me decís que días estarías pasando ?   Y me decís que días estarías pasando ?   El precio del aceite me dice ahí  35.217   El precio del aceite me dice ahí  35.217   La imagen muestra la pantalla de una aplicación de calculadora en un dispositivo móvil. En la parte superior, se visualiza la hora ""14:02"" y los iconos de señal de red, batería (al 83%"
129,31258,tienda,5,,,catalogo_ui,,,"Hola el aceite si pero pasame el catalogo para poner comprar otra cosa   Hola el aceite si pero pasame el catalogo para poner comprar otra cosa   1caja,tienen agua mineral de 2   1caja,tienen agua mineral de 2   Hola, quiero hacer el siguiente pedido:  • 8 x Jugo Baggio Pronto Durazno 1000cc (B/8) (Código: 3012720) • 1 x Agua Mineral Rumipal Botella 9 x 500cc (Código: 110205) • 2 x Soda Rumipal Sifón 6 x 2L (Código: 110203) • 12 x Puré de Tomate De La Huerta 530cc Slim (B/12) (Código: 3012777) •"
130,31600,tienda,25,,,catalogo_ui,,,"Buenas tardes. Quisiera saber que días pasan por la zona.   Buenas tardes. Quisiera saber que días pasan por la zona.   Osea si se hace el jueves llega el lunes?   Osea si se hace el jueves llega el lunes?   Me podrías enviar un links para ver todos los productos en la tienda   Me podrías enviar un links para ver todos los productos en la tienda   Hola, quiero hacer el siguiente pedido:  • 12 x Puré de Tomate De La Huerta 530cc Slim (B/12) (Código: 3012777) • 4 x Galletitas Mediatarde 315g (B/14"
131,36269,tienda,5,,,catalogo_ui,,,Buen día Recibí su pedido hace dos días Aprovecho para pedir que no me facturen en consumidor final sino en A   Buen día Recibí su pedido hace dos días Aprovecho para pedir que no me facturen en consumidor final sino en A   Hace falta que pase mi cuit?   Hace falta que pase mi cuit?   20-43135048-4   20-43135048-4   AGREGAR   AGREGAR   5 pizza veneziana x 2 4 harina pureza integral   5 pizza veneziana x 2 4 harina pureza integral   No salía 35.217 la caja de cañuelas?   No salía 35.217 la caja d
133,36291,chat,2,0,0.0,,,4010002|4010002,"ACEITE   ACEITE   Hola. Arriba dice precio Final Bonificado $35.217.6   Hola. Arriba dice precio Final Bonificado $35.217.6   La imagen muestra una captura de pantalla de una conversación en una aplicación de mensajería llamada ""Campi Ampi"". El mensaje informa sobre un descuento exclusivo del 8% válido por 24 horas para reposición de stock. Se detalla que el beneficio es aplicable en compras por caja cerrada, donde se ahorra $3.062,4 por caja.  El precio final bonificado es de $35.217,6, resalta"
135,36541,chat,1,0,0.0,,,4010002,"Aceite   Aceite   Porque el total es 3062,4 más?   Porque el total es 3062,4 más?   Confirmar   Confirmar"
137,34570,tienda,3,,,catalogo_ui,,,"hola buen dia tenes dulce de membrillo Noel  cajon x 5k y batata Noel cajon x 5k ??   hola buen dia tenes dulce de membrillo Noel  cajon x 5k y batata Noel cajon x 5k ??   pasame listado de productos   pasame listado de productos   Hola, quiero hacer el siguiente pedido:  • 10 x Galletitas Surtido Lía x 400g (B/21) (Código: 1014902) • 1 x Dulce de Membrillo Noel 5 Kg (Código: 1000008) • 1 x Jugo en Polvo Noel Multifruta 18 x 16g (B/12) (Código: 1014257)  Gracias.   Hola, quiero hacer el siguient"
138,37837,chat,1,0,0.0,,,4010002,Aceitr Aceite   Aceitr Aceite   1 caja   1 caja   Eso nomas   Eso nomas
139,44372,chat,1,0,0.0,,,4010002,"Hola,,puede ser 2 cajas   Hola,,puede ser 2 cajas   Eso solo Gracias   Eso solo Gracias"
140,34406,tienda,4,,,catalogo_ui,,,"Hola qué tal, buen día. Tengo una preguntita. Cremas Sancor, mantecas de 100 y de 200 Sancor, dulce de leche de 400 Sancor también. ¿Hay algo?   Hola qué tal, buen día. Tengo una preguntita. Cremas Sancor, mantecas de 100 y de 200 Sancor, dulce de leche de 400 Sancor también. ¿Hay algo?   6 dulce de leche x400 10 mantecas x100 10 mantecas x200 3 mendicrim descrem.   6 dulce de leche x400 10 mantecas x100 10 mantecas x200 3 mendicrim descrem.   Y después, bueno, si tenés un PDF con la lista de pr"
141,31325,chat,6,6,1.0,,410003|410002|410003|410002|410001|410001,,Hola. Necesito mayonesa cañuelas de 500 g De 250 y de 125.   Hola. Necesito mayonesa cañuelas de 500 g De 250 y de 125.   8 unidades de cada una.   8 unidades de cada una.   Completar con mayonesa cañuelas de 125 hasta lllegar al mínimo   Completar con mayonesa cañuelas de 125 hasta lllegar al mínimo   No haceme el pedido de 30 mil.   No haceme el pedido de 30 mil.   Si. Cuando llega?   Si. Cuando llega?   El pedido era de 30 mil   El pedido era de 30 mil   Si   Si   Dos quesos en hebras 4 queso
143,36079,chat,6,6,1.0,,761145|700147|761145|700143|761145|700143,,"Buen día , voy a querer  8 pan lactal veneziana integral chico 8 lactal blanco veneziana chico   Buen día , voy a querer  8 pan lactal veneziana integral chico 8 lactal blanco veneziana chico   Pan integral   Pan integral   Hola, ahí me estás poniendo dos panes de tartar blanco. Yo quiero ocho blancos de tartar chico y ocho integrales de la venezolana chico.   Hola, ahí me estás poniendo dos panes de tartar blanco. Yo quiero ocho blancos de tartar chico y ocho integrales de la venezolana chico."
144,32197,tienda,13,,,catalogo_ui,,,"Hola buen día . Algún catálogo para ver o la página?   Hola buen día . Algún catálogo para ver o la página?   Hola, quiero hacer el siguiente pedido:  • 6 x Galletitas Mediatarde 315g (B/14) (Código: 1014358) • 2 x Galletitas Mini Pamela Chips Chocolate 4 x 45g (B/8) (Código: 10900021) • 2 x Galletitas Mini Pamela Coco 4 x 45g (B/8) (Código: 10900019) • 6 x Galletitas Mini Criollitos Materos Pamela 180g (B/15) (Código: 13000001) • 3 x Premezcla Bizcochuelo Chocolate Mamá Cocina Vitamina D 540g ("
145,36263,chat,7,4,0.5714,,4070134|4050133|4050132|3012777,4050124|4010146|4040108,"hola  pedido , avena box   hola  pedido , avena box   si , 3 und de cda variedad,   si , 3 und de cda variedad,   pure baggio de530  a cuanto esta   pure baggio de530  a cuanto esta   pure de tomate baggio de 530gr   pure de tomate baggio de 530gr   si 2 pax   si 2 pax   si   si   Si vocación simple vainilla   Si vocación simple vainilla   Una caja   Una caja   si confirmo   si confirmo"
148,36387,chat,6,6,1.0,,4040003|4010002|4040003|4010002|1013918|1013916,,Hola!   Hola!   Necesito 9 de oro agridulce 9  Aceite cañuelas de 900 4 unidades   Necesito 9 de oro agridulce 9  Aceite cañuelas de 900 4 unidades   Vainillas Mauri 8   Vainillas Mauri 8   Bizcochos agridulce de 200gr   Bizcochos agridulce de 200gr   Si el aceite   Si el aceite   Si 8 unidades   Si 8 unidades   Polvoritas de chocolate 81gr 4  Polvoritas de vainilla 81gr 3   Polvoritas de chocolate 81gr 4  Polvoritas de vainilla 81gr 3   No quiero aqualoe   No quiero aqualoe   Si   Si   Confirmo
149,34583,chat,5,5,1.0,,1014257|1014256|1014254|1014255|1014258,,Perdonxla ignorancia q es aqualoe? Alguna crema para el cuerpo?😊   Perdonxla ignorancia q es aqualoe? Alguna crema para el cuerpo?😊   Tienen jugo noel?   Tienen jugo noel?   2 cj de cada sabor   2 cj de cada sabor   Aqualoe muy lindo pero esta el gatorade a mitad de precio dificil para vender   Aqualoe muy lindo pero esta el gatorade a mitad de precio dificil para vender   🤖confirmado🤗   🤖confirmado🤗   Solo los jugos xahora   Solo los jugos xahora
150,44823,chat,3,2,0.6667,,2037|75,73,"Buenas,no entiendo el mensaje, si pido hoy cuando entregan?   Buenas,no entiendo el mensaje, si pido hoy cuando entregan?   1Dol chester dorado 1 Red Point 2 caja alfajor Rasta negro   1Dol chester dorado 1 Red Point 2 caja alfajor Rasta negro   Falta el Red point comun   Falta el Red point comun   Confirmo gracias   Confirmo gracias"
151,43044,chat,9,7,0.7778,,2029|4010002|2029|4010002|2037|4010002|2037,7005920|4040294,Hola cómo andas una caja rasta negro y una caja aceite cañuelas   Hola cómo andas una caja rasta negro y una caja aceite cañuelas   Sisi ese es el pedido nada más gracias   Sisi ese es el pedido nada más gracias
152,41385,tienda,13,,,catalogo_ui,,,"Catalogo   Catalogo   Hola, quiero hacer el siguiente pedido:  • 1 x Bombón Dos Corazones 20 x 26g Felfort (Código: 50750) • 1 x Bombón Marroc 20 x 14g Felfort (B/24) (Código: 50612) • 5 x Harina con Levadura Pureza para Pizza 1Kg (B/10) (Código: 4050090) • 5 x Harina Cañuelas 000 Ultra Refinada Vitamina D 1kg (B/10) (Código: 4050258) • 6 x Puré de Tomate De La Huerta 530cc Slim (B/12) (Código: 3012777) • 10 x Bizcochos 9 de Oro Clásicos 200g (B/24) (Código: 4040293) • 10 x Bizcochos 9 de Oro Ag"
157,31889,tienda,12,,,catalogo_ui,,,"Me podrías pasar lista de precios de todos los productos?; gracias   Me podrías pasar lista de precios de todos los productos?; gracias   Hola, quiero hacer el siguiente pedido:  • 2 x Puré de Tomate De La Huerta 530cc Slim (B/12) (Código: 3012777) • 1 x Gelatina Sabor Frutilla Noel 8 x 25g (B/6) (Código: 1014556) • 1 x Galletitas Mediatarde 315g (B/14) (Código: 1014358) • 10 x Mate Cocido Playadito Saquitos 25 (D/10) (Código: 40305) • 1 x Azúcar Dulcy 10 x 1kg (Código: 13099) • 1 x Harina Leuda"
159,32212,chat,18,18,1.0,,44060004|44060002|4060034|4060032|4050276|4040269|4040267|1014612|1014362|1014188|1013619|1004043|1001571|700409|700406|410001|4050258|3014507,,"Hola, quiero hacer el siguiente pedido:  • 3 x Crema de Leche Las Tres Niñas Clásica para Cocinar 200cc (B/18) (Código: 44060004) • 3 x Crema de Leche Las Tres Niñas Original para Batir 200cc (B/18) (Código: 44060002) • 12 x Fideos San Agustín Pamperito x 500g (B/12) (Código: 4060034) • 12 x Fideos San Agustín Cabello de Ángel x 500g (B/12) (Código: 4060032) • 10 x Harina Leudante Pureza Ultra Refinada Vitamina D 1kg (B/10) (Código: 4050276) • 6 x Galletitas 9 de Oro Cookies con Chips 120g (B/16"
162,34565,chat,10,10,1.0,,4450010|4450010|800006|4450010|800006|4050276|4450010|800006|4050276|4050096,,"Hola 1 pac harina comun   Hola 1 pac harina comun   Tostadas de arroz??? Cuál te es   Tostadas de arroz??? Cuál te es   10 de arroz saladas  ala clasicas   10 de arroz saladas  ala clasicas   5 unidades de la libera   5 unidades de la libera   1 pak harina leudante   1 pak harina leudante   Quería un pan, buen día, un pan gallina levante la pureza también me puede agregar y ya me fijo que otra cosa.   Quería un pan, buen día, un pan gallina levante la pureza también me puede agregar y ya me fijo"
163,31932,chat,4,4,1.0,,5071086|5071087|5072269|5072676,,"Hola, ¿cómo andas? Quería preguntar si hay manteca Sancor de 100 y 200 y crema Sancor de 200.   Hola, ¿cómo andas? Quería preguntar si hay manteca Sancor de 100 y 200 y crema Sancor de 200.   10 y 10   10 y 10   Agregame 2 tholem de salame clásico y del otro   Agregame 2 tholem de salame clásico y del otro   Si   Si   Nada mas   Nada mas"
164,34636,tienda,16,,,catalogo_ui,,,"Hola buen día   Hola buen día   Me manda catálogo y Pre precios   Me manda catálogo y Pre precios   Hola, quiero hacer el siguiente pedido:  • 3 x Crema de Leche Las Tres Niñas Clásica para Cocinar 200cc (B/18) (Código: 44060004) • 3 x Crema de Leche Las Tres Niñas Original para Batir 200cc (B/18) (Código: 44060002) • 3 x Galletitas Pamela Rellenas Chocolate x 97g (B/36) (Código: 10900023) • 3 x Galletitas Pamela Rellenas Vainilla x 97g (B/36) (Código: 10900022) • 4 x Lentejas Inca x 350g (B/24)"
165,36165,tienda,21,,,catalogo_ui,,,"Buen día! Naty está de vacas?   Buen día! Naty está de vacas?   Catalogo   Catalogo   Dale gracias   Dale gracias   Hola, quiero hacer el siguiente pedido:  • 12 x Premezcla Buñuelos Espinaca Mamá Cocina 400g (B/12) (Código: 40700027) • 12 x Premezcla Cookies con Chips Mamá Cocina 300g (B/12) (Código: 40700172) • 6 x Edulcorante Cañuelas Clásico 200ml (B/6) (Código: 4090001) • 6 x Premezcla Brownies Vitamina D Mamá Cocina 425g (B/12) (Código: 4070204) • 6 x Premezcla Chipá Mamá Cocina Plus 250g"
168,38012,chat,2,2,1.0,,2029|0023,,"Buen dia, hay alfajor rasta?   Buen dia, hay alfajor rasta?   3 cajas rasta negro B18 2 cajas rasta blanco B 18   3 cajas rasta negro B18 2 cajas rasta blanco B 18   Eso es todo   Eso es todo   Ok gracias   Ok gracias"
169,41694,chat,5,5,1.0,,4040005|62158|61274|10900010|4040005,,"Hola, buen día, 10 nueves de oro agridulce, 4 lavandinas, ya sea gigante o ayudin, y 4 desodorante de piso de lavanda o de limón, mejor de limón, y si no hay limón, lavanda. Las galletitas Pamela las venden ustedes? Si venden las galletitas Pamela puede ser una 6 Pamela de manteca. Gracias.   Hola, buen día, 10 nueves de oro agridulce, 4 lavandinas, ya sea gigante o ayudin, y 4 desodorante de piso de lavanda o de limón, mejor de limón, y si no hay limón, lavanda. Las galletitas Pamela las venden"
170,31600,chat,25,25,1.0,,5073186|4070208|4060030|4060028|4060024|4050276|4040004|4040003|3014505|3012777|3012500|1014902|1014613|1014358|1013446|1013092|1008879|1008876|761750|700181|700163|700159|1003108|1013030|3014507,,"Hola, quiero hacer el siguiente pedido:  • 3 x Dulce de Leche Clásico x 400g Sancor (B/24) (Código: 5073186) • 2 x Premezcla Bizcochuelo Vainilla Mamá Cocina Vitamina D 540g (B/12) (Código: 4070208) • 3 x Fideos San Agustín Codito x 500g (B/12) (Código: 4060030) • 3 x Fideos San Agustín Mostachol x 500g (B/12) (Código: 4060028) • 4 x Fideos San Agustín Ñoquis x 500g (B/12) (Código: 4060024) • 4 x Harina Leudante Pureza Ultra Refinada Vitamina D 1kg (B/10) (Código: 4050276) • 5 x Bizcochos 9 de O"
171,31749,tienda,7,,,catalogo_ui,,,"Buen día, ¿cómo estás? Pásame el catálogo por acá, para que vea. Gracias.   Buen día, ¿cómo estás? Pásame el catálogo por acá, para que vea. Gracias.   Tenés yerba canarias   Tenés yerba canarias   La yerba de 500 agrégame 6 de esas  Prepizza veneziana x 2  agrégame 6   La yerba de 500 agrégame 6 de esas  Prepizza veneziana x 2  agrégame 6   Harina pureza pizza  1 pack   Harina pureza pizza  1 pack   Arroz mandisovi de medio 2 pack Largo fino   Arroz mandisovi de medio 2 pack Largo fino   Cuando"
172,43561,tienda,10,,,catalogo_ui,,,"Catalogo   Catalogo   Hola, tengo el pedido por acá, puede ser en audio más fácil. Necesito polvoritos, 10 de frutilla, 10 de vainilla y poneme 5 de chocolate, poneme las 9 de oro, poneme 10 de cada una, 10 de las bizcocho, 10 azucaradas y 10 dulces. Yo uso la de, para que te diga, de 200 gramos. Y si tienes las Pamela necesitaría 5, 5 de manteca, 5 de vainilla, no se que otra más viene.   Hola, tengo el pedido por acá, puede ser en audio más fácil. Necesito polvoritos, 10 de frutilla, 10 de vai"
173,43561,tienda,9,,,catalogo_ui,,,"Catalogo   Catalogo   Hola, tengo el pedido por acá, puede ser en audio más fácil. Necesito polvoritos, 10 de frutilla, 10 de vainilla y poneme 5 de chocolate, poneme las 9 de oro, poneme 10 de cada una, 10 de las bizcocho, 10 azucaradas y 10 dulces. Yo uso la de, para que te diga, de 200 gramos. Y si tienes las Pamela necesitaría 5, 5 de manteca, 5 de vainilla, no se que otra más viene.   Hola, tengo el pedido por acá, puede ser en audio más fácil. Necesito polvoritos, 10 de frutilla, 10 de vai"
175,45813,chat,17,17,1.0,,4040139|4040005|4040003|4040002|1013916|4040139|4040005|4040003|4040002|1013916|4040127|4040139|4040005|4040003|4040002|1013916|4040127,,Hola tenés Magdalenas?   Hola tenés Magdalenas?   9 de oro agridulce y común ? Polvoritas Pepas   9 de oro agridulce y común ? Polvoritas Pepas   ponenme las magdalenas rellenas esas con dulce de leche la de dulce mamá y ponenme 10 paquetes de esa las nueve de oro los bizcochitos los agridulces el paquete el de 420 ponenme 10 y ponenme de los de 200 gramos ponenme 6 no 10 paquetes también 10 paquetes de los de 200 y 10 paquetes de los 420 de los agridulces y de los comunes de los clásicos son lo
180,31889,tienda,9,,,catalogo_ui,,,"Hola buen día!! Me podrías pasar el link del catálogo de todos los productos   Hola buen día!! Me podrías pasar el link del catálogo de todos los productos   Hola, quiero hacer el siguiente pedido:  • 4 x Queso Crema Mendicrim Sancor 290g (B/12) (Código: 5074004) • 4 x Fideos San Agustín Pamperito x 500g (B/12) (Código: 4060034) • 4 x Fideos San Agustín Ave María x 500g (B/12) (Código: 4060033) • 4 x Madalenas Dulce Mamá con Dulce de Leche 200g (B/10) (Código: 4040307) • 12 x Puré de Tomate De L"
181,62079,tienda,5,,,catalogo_ui,,,Cerro pan de azúcar 727 embalse   Cerro pan de azúcar 727 embalse   Hacen la zona de embalse?   Hacen la zona de embalse?   [location]   [location]   [location]   [location]   Cerro pan de azúcar 727 Aguada de Reyes embalse   Cerro pan de azúcar 727 Aguada de Reyes embalse   Cerveza en botella plástica   Cerveza en botella plástica   O catálogo   O catálogo   Cerveza de litro no encontré en el catálogo la Golden   Cerveza de litro no encontré en el catálogo la Golden   Ya hice el pedido desde el
182,41623,tienda,33,,,catalogo_ui,,,"hola buenas tardes   hola buenas tardes   tendras una lista de precios?   tendras una lista de precios?   Hola, quiero hacer el siguiente pedido:  • 4 x Jabón Líquido Ala 800ml (B/12) (Código: 68818369) • 6 x Lavandina Ayudín 1000ml Clásica (B/15) (Código: 2761044) • 2 x Lavandina en Gel Ayudín 700ml Original (B/15) (Código: 2760233) • 2 x Detergente Gigante Limón 500ml (B/24) (Código: 62387) • 5 x Suavizante Gigante Económico 800cc (B/12) (Código: 62128) • 2 x Barra Quitamanchas Gigante 75g 12"
