codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_locales
1167,CONO 0 X 1700 UNIDADES APROX,"Envase CONO 0 X 1700 UNIDADES APROX, marca ALTA ROTACION.",Cucurucho / envase para helado: CONO 0 X 1700 UNIDADES APROX. Marca ALTA ROTACION CONO. Categoría: CONOS Y VASOS DE PASTA / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2087,CONO AMERICANO SOFT X 195 UNIDADES,"Envase CONO AMERICANO SOFT X 195 UNIDADES, marca ALTA ROTACION, x195 unidades.",Cucurucho / envase para helado: CONO AMERICANO SOFT X 195 UNIDADES. Marca ALTA ROTACION CONO. Categoría: CONOS Y OBLEAS DULCES / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2181,CONO DE PASTA Nº 50 X 273 U,"Envase CONO DE PASTA Nº 50 X 273 U, marca ALTA ROTACION, x273 unidades.",Cucurucho / envase para helado: CONO DE PASTA Nº 50 X 273 U. Marca ALTA ROTACION CONO. Categoría: CONOS Y VASOS DE PASTA / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2182,CONO DE PASTA Nº 70 X 180 U AT,"Envase CONO DE PASTA Nº 70 X 180 U AT, marca ALTA ROTACION, x180 unidades.",Cucurucho / envase para helado: CONO DE PASTA Nº 70 X 180 U AT. Marca ALTA ROTACION CONO. Categoría: CONOS Y VASOS DE PASTA / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1157,CONO DE PASTA Nº 70 X 270 U EREVAN,"Envase CONO DE PASTA Nº 70 X 270 U EREVAN, x270 unidades.",Cucurucho / envase para helado: CONO DE PASTA Nº 70 X 270 U EREVAN. Categoría: CONOS Y VASOS DE PASTA / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2183,CONO DOBLE DE PASTA X 90 U,"Envase CONO DOBLE DE PASTA X 90 U, marca ALTA ROTACION, x90 unidades.",Cucurucho / envase para helado: CONO DOBLE DE PASTA X 90 U. Marca ALTA ROTACION CONO. Categoría: CONOS Y VASOS DE PASTA / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1142,CONTENEDOR 1/4 KG SIN TAPA X 1000 UNIDADES,"Envase CONTENEDOR 1/4 KG SIN TAPA X 1000 UNIDADES, marca NOVOPOR, 4 KG, x1000 unidades.",Cucurucho / envase para helado: CONTENEDOR 1/4 KG SIN TAPA X 1000 UNIDADES. Marca NOVOPOR. Categoría: TERMICOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2673,CUCURUCHON BIOCUPS X 160 UNIDADES,"Envase CUCURUCHON BIOCUPS X 160 UNIDADES, marca ALTA ROTACION, x160 unidades.",Cucurucho / envase para helado: CUCURUCHON BIOCUPS X 160 UNIDADES. Marca ALTA ROTACION CUCURUCHON. Categoría: CONOS Y OBLEAS DULCES / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2767,CUCURUCHON GLUTEN FREE X 100 U,"Envase CUCURUCHON GLUTEN FREE X 100 U, marca OBLOX, x100 unidades.",Cucurucho / envase para helado: CUCURUCHON GLUTEN FREE X 100 U. Marca OBLOX. Categoría: CONOS Y OBLEAS DULCES / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1166,CUCURUCHON GRANDE EREVAN X 200 U,"Envase CUCURUCHON GRANDE EREVAN X 200 U, x200 unidades.",Cucurucho / envase para helado: CUCURUCHON GRANDE EREVAN X 200 U. Categoría: CONOS Y OBLEAS DULCES / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2676,MINI CUCURUCHON BIOCUPS X 240 UNI,"Envase MINI CUCURUCHON BIOCUPS X 240 UNI, marca ALTA ROTACION, x240 unidades.",Cucurucho / envase para helado: MINI CUCURUCHON BIOCUPS X 240 UNI. Marca ALTA ROTACION MINI. Categoría: CONOS Y OBLEAS DULCES / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2207,OBLEAS PARA DECORAR X 2KG,"Envase OBLEAS PARA DECORAR X 2KG, marca ALTA ROTACION, 2KG.",Cucurucho / envase para helado: OBLEAS PARA DECORAR X 2KG. Marca ALTA ROTACION OBLEAS. Categoría: CONOS Y OBLEAS DULCES / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2368,PORTA CONO PLASTICO X 1000 UNIDADES,"Envase PORTA CONO PLASTICO X 1000 UNIDADES, marca PLASTIVAS, x1000 unidades.",Cucurucho / envase para helado: PORTA CONO PLASTICO X 1000 UNIDADES. Marca PLASTIVAS. Categoría: CRISTAL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2604,POTE POLIPAPEL 390 CC 1/4 KG CAJA X 580 U BLANCO,"Envase POTE POLIPAPEL 390 CC 1/4 KG CAJA X 580 U BLANCO, marca POLICUPS, 4 KG, x580 unidades.",Cucurucho / envase para helado: POTE POLIPAPEL 390 CC 1/4 KG CAJA X 580 U BLANCO. Marca POLICUPS. Categoría: POLIPAPEL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2662,POTE POLIPAPEL 390 CC 1/4 KG X 4 TIRAS 116 U BLANCO,"Envase POTE POLIPAPEL 390 CC 1/4 KG X 4 TIRAS 116 U BLANCO, marca POLICUPS, 4 KG.",Cucurucho / envase para helado: POTE POLIPAPEL 390 CC 1/4 KG X 4 TIRAS 116 U BLANCO. Marca POLICUPS. Categoría: POLIPAPEL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2588,POTE POLIPAPEL DE 240 CC X 300 U BLANCO,"Envase POTE POLIPAPEL DE 240 CC X 300 U BLANCO, marca POLICUPS, x300 unidades.",Cucurucho / envase para helado: POTE POLIPAPEL DE 240 CC X 300 U BLANCO. Marca POLICUPS. Categoría: POLIPAPEL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2759,POTE POLIPAPEL DE 240 CC X 300 U DISEñO GENERICO,"Envase POTE POLIPAPEL DE 240 CC X 300 U DISEñO GENERICO, marca POLICUPS, x300 unidades.",Cucurucho / envase para helado: POTE POLIPAPEL DE 240 CC X 300 U DISEñO GENERICO. Marca POLICUPS. Categoría: POLIPAPEL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2651,TAPA CRISTAL P/POTE 390 CC CAJA X 580,"Envase TAPA CRISTAL P/POTE 390 CC CAJA X 580, marca POLICUPS.",Cucurucho / envase para helado: TAPA CRISTAL P/POTE 390 CC CAJA X 580. Marca POLICUPS. Categoría: POLIPAPEL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1673,TAPA PARA BALDES DE 10 LTS X UNIDAD,"Envase TAPA PARA BALDES DE 10 LTS X UNIDAD, marca PLASTICOS ARENALES, 10 L.",Cucurucho / envase para helado: TAPA PARA BALDES DE 10 LTS X UNIDAD. Marca PLASTICOS ARENALES. Categoría: PLASTICO / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1676,TAPA PARA BALDES DE 3/5 LTS X UNIDAD,"Envase TAPA PARA BALDES DE 3/5 LTS X UNIDAD, marca PLASTICOS ARENALES, 5 L.",Cucurucho / envase para helado: TAPA PARA BALDES DE 3/5 LTS X UNIDAD. Marca PLASTICOS ARENALES. Categoría: PLASTICO / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1128,TERMICOS PARA 1 KG X UNIDAD,"Envase TERMICOS PARA 1 KG X UNIDAD, marca AISLACIONES PATAGONICAS, 1 KG.",Cucurucho / envase para helado: TERMICOS PARA 1 KG X UNIDAD. Marca AISLACIONES PATAGONICAS. Categoría: TERMICOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1129,TERMICOS PARA 1/2 KG X UNIDAD,"Envase TERMICOS PARA 1/2 KG X UNIDAD, marca AISLACIONES PATAGONICAS, 2 KG.",Cucurucho / envase para helado: TERMICOS PARA 1/2 KG X UNIDAD. Marca AISLACIONES PATAGONICAS. Categoría: TERMICOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1130,TERMICOS PARA 1/4 KG X UNIDAD,"Envase TERMICOS PARA 1/4 KG X UNIDAD, marca AISLACIONES PATAGONICAS, 4 KG.",Cucurucho / envase para helado: TERMICOS PARA 1/4 KG X UNIDAD. Marca AISLACIONES PATAGONICAS. Categoría: TERMICOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1134,TERMICOS PARA 3/4 KG NOVOPOR X UNIDAD,"Envase TERMICOS PARA 3/4 KG NOVOPOR X UNIDAD, 4 KG.",Cucurucho / envase para helado: TERMICOS PARA 3/4 KG NOVOPOR X UNIDAD. Categoría: TERMICOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1140,TORTA 21 X 10 ( 8-3-27 ) X UNIDAD,"Envase TORTA 21 X 10 ( 8-3-27 ) X UNIDAD, marca NOVOPOR.",Cucurucho / envase para helado: TORTA 21 X 10 ( 8-3-27 ) X UNIDAD. Marca NOVOPOR. Categoría: TERMICOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1138,TORTA 22 X 12 ( 8-3-16) X UNIDAD,"Envase TORTA 22 X 12 ( 8-3-16) X UNIDAD, marca NOVOPOR.",Cucurucho / envase para helado: TORTA 22 X 12 ( 8-3-16) X UNIDAD. Marca NOVOPOR. Categoría: TERMICOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1139,TORTA 25 X 12 ( 8-3-38) X UNIDAD,"Envase TORTA 25 X 12 ( 8-3-38) X UNIDAD, marca NOVOPOR.",Cucurucho / envase para helado: TORTA 25 X 12 ( 8-3-38) X UNIDAD. Marca NOVOPOR. Categoría: TERMICOS / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2665,VASO CAFE 14 OZ SIMPLE PARED (BLA/ MARR) 160 UNI C/TAPA,"Envase VASO CAFE 14 OZ SIMPLE PARED (BLA/ MARR) 160 UNI C/TAPA, marca POLICUPS.",Cucurucho / envase para helado: VASO CAFE 14 OZ SIMPLE PARED (BLA/ MARR) 160 UNI C/TAPA. Marca POLICUPS. Categoría: POLIPAPEL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2917,VASO CAFE 6 OZ SIMPLE PARED (BLA) CAJA 1400 UNI C/TAPA,"Envase VASO CAFE 6 OZ SIMPLE PARED (BLA) CAJA 1400 UNI C/TAPA, marca POLICUPS.",Cucurucho / envase para helado: VASO CAFE 6 OZ SIMPLE PARED (BLA) CAJA 1400 UNI C/TAPA. Marca POLICUPS. Categoría: POLIPAPEL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2934,VASO CAFE 6 OZ SIMPLE PARED (BLA) X 200 U C/TAPA,"Envase VASO CAFE 6 OZ SIMPLE PARED (BLA) X 200 U C/TAPA, marca POLICUPS, x200 unidades.",Cucurucho / envase para helado: VASO CAFE 6 OZ SIMPLE PARED (BLA) X 200 U C/TAPA. Marca POLICUPS. Categoría: POLIPAPEL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2828,VASO CAFE 8 OZ DOBLE PARED KRAFT X 360 U C/TAPA,"Envase VASO CAFE 8 OZ DOBLE PARED KRAFT X 360 U C/TAPA, marca POLICUPS, x360 unidades.",Cucurucho / envase para helado: VASO CAFE 8 OZ DOBLE PARED KRAFT X 360 U C/TAPA. Marca POLICUPS. Categoría: POLIPAPEL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2386,VASO CAFE 8 OZ SIMPLE PARED KRAFT/ BLANCO 360 U C/TAPA,"Envase VASO CAFE 8 OZ SIMPLE PARED KRAFT/ BLANCO 360 U C/TAPA, marca POLICUPS.",Cucurucho / envase para helado: VASO CAFE 8 OZ SIMPLE PARED KRAFT/ BLANCO 360 U C/TAPA. Marca POLICUPS. Categoría: POLIPAPEL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1152,VASO DE PASTA Nº 90 HEXAGONAL X 261 UNIDADES,"Envase VASO DE PASTA Nº 90 HEXAGONAL X 261 UNIDADES, marca ALTA ROTACION, x261 unidades.",Cucurucho / envase para helado: VASO DE PASTA Nº 90 HEXAGONAL X 261 UNIDADES. Marca ALTA ROTACION VASO. Categoría: CONOS Y VASOS DE PASTA / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2217,VASO DE PASTA Nº125 X 174 UNIDADES,"Envase VASO DE PASTA Nº125 X 174 UNIDADES, marca ALTA ROTACION, x174 unidades.",Cucurucho / envase para helado: VASO DE PASTA Nº125 X 174 UNIDADES. Marca ALTA ROTACION VASO. Categoría: CONOS Y VASOS DE PASTA / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2218,VASO DE PASTA Nº50 X 300 UNIDADES,"Envase VASO DE PASTA Nº50 X 300 UNIDADES, marca ALTA ROTACION, x300 unidades.",Cucurucho / envase para helado: VASO DE PASTA Nº50 X 300 UNIDADES. Marca ALTA ROTACION VASO. Categoría: CONOS Y VASOS DE PASTA / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2186,VASO DE PASTA Nº65 X 240 U,"Envase VASO DE PASTA Nº65 X 240 U, marca ALTA ROTACION, x240 unidades.",Cucurucho / envase para helado: VASO DE PASTA Nº65 X 240 U. Marca ALTA ROTACION VASO. Categoría: CONOS Y VASOS DE PASTA / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
1963,VASO NAT. LIVIANO 500 CC X 800 UNI,"Envase VASO NAT. LIVIANO 500 CC X 800 UNI, marca PLASTIVAS, x800 unidades.",Cucurucho / envase para helado: VASO NAT. LIVIANO 500 CC X 800 UNI. Marca PLASTIVAS. Categoría: CRISTAL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2072,VASO PARA BATIDO SUP.MILANO C/TAPA 500 CC CAJA 800U,"Envase VASO PARA BATIDO SUP.MILANO C/TAPA 500 CC CAJA 800U, marca PLASTIVAS, x800 unidades.",Cucurucho / envase para helado: VASO PARA BATIDO SUP.MILANO C/TAPA 500 CC CAJA 800U. Marca PLASTIVAS. Categoría: CRISTAL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2489,VASO PARA BATIDO SUP.MILANO C/TAPA 500 CC X 50U,"Envase VASO PARA BATIDO SUP.MILANO C/TAPA 500 CC X 50U, marca PLASTIVAS, x50 unidades.",Cucurucho / envase para helado: VASO PARA BATIDO SUP.MILANO C/TAPA 500 CC X 50U. Marca PLASTIVAS. Categoría: CRISTAL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2417,VASO PARA BATIDO TOLEDO 325 CC C/ TAPA CAJA 800U,"Envase VASO PARA BATIDO TOLEDO 325 CC C/ TAPA CAJA 800U, marca PLASTIVAS, x800 unidades.",Cucurucho / envase para helado: VASO PARA BATIDO TOLEDO 325 CC C/ TAPA CAJA 800U. Marca PLASTIVAS. Categoría: CRISTAL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2421,VASO PARA BATIDO TOLEDO 325 CC C/ TAPA X 80U,"Envase VASO PARA BATIDO TOLEDO 325 CC C/ TAPA X 80U, marca PLASTIVAS, x80 unidades.",Cucurucho / envase para helado: VASO PARA BATIDO TOLEDO 325 CC C/ TAPA X 80U. Marca PLASTIVAS. Categoría: CRISTAL / CUCURUCHOS Y ENVASES. Venta mayorista para heladerías y pastelerías.,
2653,BAÑO BLANCO TROZADO X 5 KG A GRANEL,"Chocolate BAÑO BLANCO TROZADO X 5 KG A GRANEL, marca MAPSA, 5 KG.",Chocolate / cobertura / cacao para heladería: BAÑO BLANCO TROZADO X 5 KG A GRANEL. Marca MAPSA. Categoría: BAÑO DE CHOCOLATE / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
2563,BAÑO MARRON TROZADO X 5 KG A GRANEL,"Chocolate BAÑO MARRON TROZADO X 5 KG A GRANEL, marca MAPSA, 5 KG.",Chocolate / cobertura / cacao para heladería: BAÑO MARRON TROZADO X 5 KG A GRANEL. Marca MAPSA. Categoría: BAÑO DE CHOCOLATE / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
1211,BOMBONITO BLANCO X 3 KG,"Chocolate BOMBONITO BLANCO X 3 KG, marca MAPSA, 3 KG.",Chocolate / cobertura / cacao para heladería: BOMBONITO BLANCO X 3 KG. Marca MAPSA. Categoría: BAÑO DE CHOCOLATE / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
2587,BOMBONITO CLASICO S/AMARGO X11 KG,"Chocolate BOMBONITO CLASICO S/AMARGO X11 KG, marca MAPSA, 11 KG.",Chocolate / cobertura / cacao para heladería: BOMBONITO CLASICO S/AMARGO X11 KG. Marca MAPSA. Categoría: BAÑO DE CHOCOLATE / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
1210,BOMBONITO CLASICO SEMI AMARGO X 3 KG,"Chocolate BOMBONITO CLASICO SEMI AMARGO X 3 KG, marca MAPSA, 3 KG.",Chocolate / cobertura / cacao para heladería: BOMBONITO CLASICO SEMI AMARGO X 3 KG. Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
2758,BOMBONITO LUXURY S/A X 11 KG A GRANEL,"Chocolate BOMBONITO LUXURY S/A X 11 KG A GRANEL, marca MAPSA, 11 KG.",Chocolate / cobertura / cacao para heladería: BOMBONITO LUXURY S/A X 11 KG A GRANEL. Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
1784,BOMBONITO LUXURY SEMIAMARGO X 3 KG,"Chocolate BOMBONITO LUXURY SEMIAMARGO X 3 KG, marca MAPSA, 3 KG.",Chocolate / cobertura / cacao para heladería: BOMBONITO LUXURY SEMIAMARGO X 3 KG. Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
1946,CACAO AMARGO ALZOL X 1 KG,"Chocolate CACAO AMARGO ALZOL X 1 KG, 1 KG.",Chocolate / cobertura / cacao para heladería: CACAO AMARGO ALZOL X 1 KG. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
1744,CACAO EN PVO. SOLUBILIZADO (4010-9) X 4 KG,"Chocolate CACAO EN PVO. SOLUBILIZADO (4010-9) X 4 KG, marca GHELCO, 4 KG.",Chocolate / cobertura / cacao para heladería: CACAO EN PVO. SOLUBILIZADO (4010-9) X 4 KG. Marca GHELCO. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
2791,CACAO REPOSTERO MAPSA X 500 GRS,"Chocolate CACAO REPOSTERO MAPSA X 500 GRS, 500 GRS.",Chocolate / cobertura / cacao para heladería: CACAO REPOSTERO MAPSA X 500 GRS. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
1280,CHOCOLATE FAMILIAR 10 UDS X 100 GRS,"Chocolate CHOCOLATE FAMILIAR 10 UDS X 100 GRS, marca MAPSA, 100 GRS.",Chocolate / cobertura / cacao para heladería: CHOCOLATE FAMILIAR 10 UDS X 100 GRS. Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
1279,CHOCOLATE PARA SUBMARINO 50 UDS X 14 GRS,"Chocolate CHOCOLATE PARA SUBMARINO 50 UDS X 14 GRS, marca MAPSA, 14 GRS.",Chocolate / cobertura / cacao para heladería: CHOCOLATE PARA SUBMARINO 50 UDS X 14 GRS. Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
1282,CHOCOLATE S/ AZUCAR EN TABLETAS 10 UDS X 100 GRS,"Chocolate CHOCOLATE S/ AZUCAR EN TABLETAS 10 UDS X 100 GRS, marca MAPSA, 100 GRS.",Chocolate / cobertura / cacao para heladería: CHOCOLATE S/ AZUCAR EN TABLETAS 10 UDS X 100 GRS. Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
1197,CHOCOLATE TAZA SEMI AMARGA X 5 KG GRANEL (BARRITA DE 100 GR ),"Chocolate CHOCOLATE TAZA SEMI AMARGA X 5 KG GRANEL (BARRITA DE 100 GR ), marca MAPSA, 5 KG.",Chocolate / cobertura / cacao para heladería: CHOCOLATE TAZA SEMI AMARGA X 5 KG GRANEL (BARRITA DE 100 GR ). Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
1266,COB AMARGA 99% 57-99 CACAO X 5 KG GRANEL,"Chocolate COB AMARGA 99% 57-99 CACAO X 5 KG GRANEL, marca MAPSA, 5 KG.",Chocolate / cobertura / cacao para heladería: COB AMARGA 99% 57-99 CACAO X 5 KG GRANEL. Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
1268,COB S/AMARGA 70% 5770 BOTON X 5 KG,"Chocolate COB S/AMARGA 70% 5770 BOTON X 5 KG, marca MAPSA, 5 KG.",Chocolate / cobertura / cacao para heladería: COB S/AMARGA 70% 5770 BOTON X 5 KG. Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
2585,COB S/AMARGA 70% 5711 BOTON X 3 KG,"Chocolate COB S/AMARGA 70% 5711 BOTON X 3 KG, marca MAPSA, 3 KG.",Chocolate / cobertura / cacao para heladería: COB S/AMARGA 70% 5711 BOTON X 3 KG. Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
2241,COBBL COBERTURA BLANCA 5703 X 5 KG,"Chocolate COBBL COBERTURA BLANCA 5703 X 5 KG, marca MAPSA, 5 KG.",Chocolate / cobertura / cacao para heladería: COBBL COBERTURA BLANCA 5703 X 5 KG. Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
2178,COBBL COBERTURA BLANCA 5707 X 3 KG,"Chocolate COBBL COBERTURA BLANCA 5707 X 3 KG, marca MAPSA, 3 KG.",Chocolate / cobertura / cacao para heladería: COBBL COBERTURA BLANCA 5707 X 3 KG. Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
2250,COBLE COBERTURA LECHE 5701 X 5 KG,"Chocolate COBLE COBERTURA LECHE 5701 X 5 KG, marca MAPSA, 5 KG.",Chocolate / cobertura / cacao para heladería: COBLE COBERTURA LECHE 5701 X 5 KG. Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
2179,COBLE COBERTURA LECHE 5708 X3 KG,"Chocolate COBLE COBERTURA LECHE 5708 X3 KG, marca MAPSA, 3 KG.",Chocolate / cobertura / cacao para heladería: COBLE COBERTURA LECHE 5708 X3 KG. Marca MAPSA. Categoría: CACAOS / FULL CHOCOLATE. Venta mayorista para heladerías y pastelerías.,
