id,title,brand,presentation,price,priceDisplay,stock,catalogo,categoryFooter,description,images
2934,VASO CAFE 6 OZ SIMPLE PARED (BLA) X 200 U C/TAPA,POLICUPS,,58748.23,"58.748,23",14,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / POLIPAPEL - ID 2934,,https://curlomayorista.com.ar/imagenesproductos/2934a.jpg
2828,VASO CAFE 8 OZ DOBLE PARED KRAFT X 360 U C/TAPA,POLICUPS,,89380.39,"89.380,39",1,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / POLIPAPEL - ID 2828,,https://curlomayorista.com.ar/imagenesproductos/2828a.jpg
2386,VASO CAFE 8 OZ SIMPLE PARED KRAFT/ BLANCO 360 U C/TAPA,POLICUPS,,83211.25,"83.211,25",1,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / POLIPAPEL - ID 2386,,https://curlomayorista.com.ar/imagenesproductos/2386a.jpg | https://curlomayorista.com.ar/imagenesproductos/2386b.jpg
1152,VASO DE PASTA Nº 90 HEXAGONAL X 261 UNIDADES,ALTA ROTACION,,23609.48,"23.609,48",36,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y VASOS DE PASTA - ID 1152,PALLETT X 112 UNIDADES,https://curlomayorista.com.ar/imagenesproductos/1152a.jpg
2217,VASO DE PASTA Nº125 X 174 UNIDADES,ALTA ROTACION,,20925.86,"20.925,86",34,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y VASOS DE PASTA - ID 2217,PALLETT X 90 UNIDADES,https://curlomayorista.com.ar/imagenesproductos/2217a.jpg
2218,VASO DE PASTA Nº50 X 300 UNIDADES,ALTA ROTACION,,24065.88,"24.065,88",0,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y VASOS DE PASTA - ID 2218,,https://curlomayorista.com.ar/imagenesproductos/2218a.jpg
2186,VASO DE PASTA Nº65 X 240 U,ALTA ROTACION,,20514.31,"20.514,31",10,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CONOS Y VASOS DE PASTA - ID 2186,,https://curlomayorista.com.ar/imagenesproductos/2186a.jpg
1963,VASO NAT. LIVIANO 500 CC X 800 UNI,PLASTIVAS,,265795.41,"265.795,41",2,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CRISTAL - ID 1963,,https://curlomayorista.com.ar/imagenesproductos/1963a.jpg
2072,VASO PARA BATIDO SUP.MILANO C/TAPA 500 CC CAJA 800U,PLASTIVAS,50U,623560.22,"623.560,22",4,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CRISTAL - ID 2072,,https://curlomayorista.com.ar/imagenesproductos/2072a.jpg
2489,VASO PARA BATIDO SUP.MILANO C/TAPA 500 CC X 50U,PLASTIVAS,50U,76889.93,"76.889,93",79,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CRISTAL - ID 2489,,https://curlomayorista.com.ar/imagenesproductos/2489a.jpg
2417,VASO PARA BATIDO TOLEDO 325 CC C/ TAPA CAJA 800U,PLASTIVAS,80U,496934.17,"496.934,17",12,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CRISTAL - ID 2417,,https://curlomayorista.com.ar/imagenesproductos/2417a.jpg
2421,VASO PARA BATIDO TOLEDO 325 CC C/ TAPA X 80U,PLASTIVAS,80U,51350.12,"51.350,12",126,A) CUCURUCHOS Y ENVASES,CUCURUCHOS Y ENVASES / CRISTAL - ID 2421,,https://curlomayorista.com.ar/imagenesproductos/2421a.jpg
2653,BAÑO BLANCO TROZADO X 5 KG A GRANEL,MAPSA,,53973.25,"53.973,25",1,B) FULL CHOCOLATE,FULL CHOCOLATE / BAÑO DE CHOCOLATE - ID 2653,"POR SU BUENA FLUIDEZ ESTá IDEALMENTE DESARROLLADO PARA BAñAR TODO TIPO DE PRODUCTOS EN PANADERíA, PASTELERíA Y REPOSTERíA YA QUE DEJA UNA FINA Y DELICADA CAPA. POR SU PRESENTACIóN TROZADO ES DE MUY FáCIL Y PRáCTICO DERRETIDO. TIENE UN SECADO MUY RáPIDO AGILIZANDO LA PRODUCCIóN",https://curlomayorista.com.ar/imagenesproductos/2653a.jpg
2563,BAÑO MARRON TROZADO X 5 KG A GRANEL,MAPSA,,53973.25,"53.973,25",16,B) FULL CHOCOLATE,FULL CHOCOLATE / BAÑO DE CHOCOLATE - ID 2563,"POR SU BUENA FLUIDEZ ESTá IDEALMENTE DESARROLLADO PARA BAñAR TODO TIPO DE PRODUCTOS EN PANADERíA, PASTELERíA Y REPOSTERíA YA QUE DEJA UNA FINA Y DELICADA CAPA. POR SU PRESENTACIóN TROZADO ES DE MUY FáCIL Y PRáCTICO DERRETIDO. TIENE UN SECADO MUY RáPIDO AGILIZANDO LA PRODUCCION.",https://curlomayorista.com.ar/imagenesproductos/2563a.jpg | https://curlomayorista.com.ar/imagenesproductos/2563b.jpg
1211,BOMBONITO BLANCO X 3 KG,MAPSA,,38931.52,"38.931,52",16,B) FULL CHOCOLATE,FULL CHOCOLATE / BAÑO DE CHOCOLATE - ID 1211,"POR SU EXCELENTE  FLUIDEZ ESTA  IDEALMENTE DESARROLLADO  PARA BAñAR TODO TIPO DE PRODUCTOS EN PANADERíA ,PASTELERíA Y REPOSTERíA YA QUE DEJA UNA FINA Y DELICADA CAPA .
POR SU PRESENTACIóN EN BOMBONCITOS ES DE MUY FáCIL Y PRACTICO DERRETIDO.
TIENE UN SECADO MUY RáPIDO AGILIZANDO LA PRODUCCIóN.",https://curlomayorista.com.ar/imagenesproductos/1211a.jpg
2587,BOMBONITO CLASICO S/AMARGO X11 KG,MAPSA,,135271.6,"135.271,60",3,B) FULL CHOCOLATE,FULL CHOCOLATE / BAÑO DE CHOCOLATE - ID 2587,"POR SU EXCELENTE  FLUIDEZ ESTA  IDEALMENTE DESARROLLADO  PARA BAñAR TODO TIPO DE PRODUCTOS EN PANADERíA ,PASTELERíA Y REPOSTERíA YA QUE DEJA UNA FINA Y DELICADA CAPA .
POR SU PRESENTACIóN EN BOMBONCITOS ES DE MUY FáCIL Y PRACTICO DERRETIDO.
TIENE UN SECADO MUY RáPIDO AGILIZANDO LA PRODUCCIóN.",https://curlomayorista.com.ar/imagenesproductos/2587a.jpg | https://curlomayorista.com.ar/imagenesproductos/2587b.jpg
1210,BOMBONITO CLASICO SEMI AMARGO X 3 KG,MAPSA,,38931.52,"38.931,52",87,B) FULL CHOCOLATE,CHOCOLATES/ CACAOS/ BAÑOS/ COBERTURAS / BAÑO DE CHOCOLATE - ID 1210,"POR SU EXCELENTE  FLUIDEZ ESTA  IDEALMENTE DESARROLLADO  PARA BAñAR TODO TIPO DE PRODUCTOS EN PANADERíA ,PASTELERíA Y REPOSTERíA YA QUE DEJA UNA FINA Y DELICADA CAPA .

POR SU PRESENTACIóN EN BOMBONCITOS ES DE MUY FáCIL Y PRACTICO DERRETIDO.

TIENE UN SECADO MUY RáPIDO AGILIZANDO LA PRODUCCIóN.",https://curlomayorista.com.ar/imagenesproductos/1210a.jpg
2758,BOMBONITO LUXURY S/A X 11 KG A GRANEL,MAPSA,,154604.64,"154.604,64",9,B) FULL CHOCOLATE,CHOCOLATES/ CACAOS/ BAÑOS/ COBERTURAS / BAÑO DE CHOCOLATE - ID 2758,"BANO DE REPOSTERIA PARA BANAR. BUENA FLUIDEZ, SECADO MUY RAPIDO, EXCELENTE BRILLO. 
SIN TAAC.",https://curlomayorista.com.ar/imagenesproductos/2758a.jpg
1784,BOMBONITO LUXURY SEMIAMARGO X 3 KG,MAPSA,,44412.17,"44.412,17",8,B) FULL CHOCOLATE,CHOCOLATES/ CACAOS/ BAÑOS/ COBERTURAS / BAÑO DE CHOCOLATE - ID 1784,"BANO DE REPOSTERIA PARA BANAR. BUENA FLUIDEZ, SECADO MUY RAPIDO, EXCELENTE BRILLO. 
SIN TAAC.",https://curlomayorista.com.ar/imagenesproductos/1784a.jpg | https://curlomayorista.com.ar/imagenesproductos/1784b.jpg
1946,CACAO AMARGO ALZOL X 1 KG,ALZOL,,9528.75,"9.528,75",21,B) FULL CHOCOLATE,CHOCOLATES/ CACAOS/ BAÑOS/ COBERTURAS / CACAO - ID 1946,"CACAO AMARGO ALZOL EN PRESENTACIóN DE 1 KG, DE USO PROFESIONAL Y HOGAREñO, IDEAL PARA PANADERíA Y PASTELERíA",https://curlomayorista.com.ar/imagenesproductos/1946a.jpg
1744,CACAO EN PVO. SOLUBILIZADO (4010-9) X 4 KG,GHELCO,,178711.12,"178.711,12",0,B) FULL CHOCOLATE,CHOCOLATES/ CACAOS/ BAÑOS/ COBERTURAS / CACAO - ID 1744,"EXCELENTE RENDIMIENTO PARA PREPARACIONES INDUSTRIALES Y ARTESANALES.

EL CACAO SOLUBILIZADO SE DISPERSA RáPIDAMENTE EN AGUA, LECHE O PREPARACIONES, LOGRANDO UNA MEZCLA HOMOGéNEA SIN NECESIDAD DE BATIR DEMASIADO.",https://curlomayorista.com.ar/imagenesproductos/1744a.jpg
2791,CACAO REPOSTERO MAPSA X 500 GRS,MAPSA,,22241.1,"22.241,10",22,B) FULL CHOCOLATE,CHOCOLATES/ CACAOS/ BAÑOS/ COBERTURAS / CACAO - ID 2791,"ATENCIóN: PRODUCTO CON MUY BUENA INTENSIDAD DE SABOR A CHOCOLATE.

IDEAL PARA TODAS AQUELLAS PREPARACIONES QUE NECESITAN TENER SABOR Y COLOR A CHOCOLATE INTENSO.

TIENE UN EXQUISITO Y REFINADO AROMA Y SABOR A CHOCOLATE AUTéNTICO Y GENUINO CON TODAS LAS NOTAS DEL CACAO AROMáTICO.
USOS RECOMENDADOS: PERFECTO PARA USO GENERAL EN REPOSTERíA Y PASTELERíA.
IDEALES PARA PASTELERíA Y REPOSTERíA DE ALTA CALIDAD, GANACHES, MOUSSES, BROWNIES, TORTAS, BIZCOCHUELOS, ETC. 100% CACAO",https://curlomayorista.com.ar/imagenesproductos/2791a.jpg
1280,CHOCOLATE FAMILIAR 10 UDS X 100 GRS,MAPSA,,42837.96,"42.837,96",0,B) FULL CHOCOLATE,CHOCOLATES/ CACAOS/ BAÑOS/ COBERTURAS / CHOCOLATE GENUINO - ID 1280,"PRODUCTO CON POCA MANTECA DE CACAO ESTO HACE QUE SEA UN PRODUCTO LEVEMENTE ESPESO .

IDEAL PARA TODO USO EN RECETAS DE COCINA O REPOSTERíA 

APTO PARA SER RALLADO O MEZCLADO CON OTRAS PREPARACIONES .",https://curlomayorista.com.ar/imagenesproductos/1280a.jpg | https://curlomayorista.com.ar/imagenesproductos/1280b.jpg
1279,CHOCOLATE PARA SUBMARINO 50 UDS X 14 GRS,MAPSA,,29986.57,"29.986,57",26,B) FULL CHOCOLATE,CHOCOLATES/ CACAOS/ BAÑOS/ COBERTURAS / CHOCOLATE GENUINO - ID 1279,"PRODUCTO CON POCA MANTECA DE CACAO ESTO HACE QUE SEA UN PRODUCTO LEVEMENTE ESPESO .

IDEAL PARA TODO USO EN RECETAS DE COCINA O REPOSTERíA 

APTO PARA SER RALLADO O MEZCLADO CON OTRAS PREPARACIONES .",https://curlomayorista.com.ar/imagenesproductos/1279a.jpg
1282,CHOCOLATE S/ AZUCAR EN TABLETAS 10 UDS X 100 GRS,MAPSA,,66333.67,"66.333,67",0,B) FULL CHOCOLATE,CHOCOLATES/ CACAOS/ BAÑOS/ COBERTURAS / CHOCOLATE SIN AZÚCAR - ID 1282,"PRODUCTO SIN AZúCAR AGREGADA, ENDULZADO CON MALTITOL.
APTO DIABETICOS.
PRODUCTO CON POCA MANTECA DE CACAO, ESTO HACE QUE SEA UN PRODUCTO LEVEMENTE ESPESO.IDEAL PARA TODO USO EN RECETAS DE COCINA O REPOSTERíA.
APTO PARA SER RALLADO O MEZCLADO CON OTRAS PREPARACIONES .
ELABORADOS CON LOS TRADICIONALES PROCESOS DE ELABORACIóN, REFINADO Y CONCADO DE ALTA CALIDAD.",https://curlomayorista.com.ar/imagenesproductos/1282a.jpg | https://curlomayorista.com.ar/imagenesproductos/1282b.jpg
1197,CHOCOLATE TAZA SEMI AMARGA X 5 KG GRANEL (BARRITA DE 100 GR ),MAPSA,,127193.81,"127.193,81",3,B) FULL CHOCOLATE,CHOCOLATES/ CACAOS/ BAÑOS/ COBERTURAS / CHOCOLATE GENUINO - ID 1197,"PRODUCTO CON POCA MANTECA DE CACAO ESTO HACE QUE SEA UN PRODUCTO LEVEMENTE ESPESO .

IDEAL PARA TODO USO EN RECETAS DE COCINA O REPOSTERíA 

APTO PARA SER RALLADO O MEZCLADO CON OTRAS PREPARACIONES .",https://curlomayorista.com.ar/imagenesproductos/1197a.jpg
1266,COB AMARGA 99% 57-99 CACAO X 5 KG GRANEL,MAPSA,,209808.13,"209.808,13",6,B) FULL CHOCOLATE,CHOCOLATES/ CACAOS/ BAÑOS/ COBERTURAS / CHOCOLATE GENUINO - ID 1266,"99% DE CACAO. PARA HELADOS Y REPOSTERIA.
RECORDAMOS QUE POR SER CHOCOLATES CON MANTECA DE CACAO NECESITAN PARA ALGUNOS USOS SER TEMPLADOS.
PRODUCTO CONCENTRADO CON ALTíSIMA INTENSIDAD DE SABOR A CHOCOLATE. 
IDEAL PARA TODAS AQUELLAS PREPARACIONES QUE NECESITAN TENER SABOR A CHOCOLATE MUY INTENSO. 

ELABORADOS CON LOS TRADICIONALES PROCESOS DE ELABORACIóN, REFINADO Y CONCADO DE ALTA CALIDAD.

TIENE UN EXQUISITO Y REFINADO AROMA Y SABOR A CHOCOLATE AMARGO AUTéNTICO Y GENUINO CON TODAS LAS NOTAS DEL CACAO AROMáTICO QUE TIENEN SUS MATERIAS PRIMAS.",https://curlomayorista.com.ar/imagenesproductos/1266a.jpg | https://curlomayorista.com.ar/imagenesproductos/1266b.jpg
1268,COB S/AMARGA 70%  5770 BOTON X  5 KG,MAPSA,,143937.24,"143.937,24",6,B) FULL CHOCOLATE,CHOCOLATES/ CACAOS/ BAÑOS/ COBERTURAS / CHOCOLATE GENUINO - ID 1268,"70% CACAO
RECORDAMOS QUE POR SER CHOCOLATES CON MANTECA DE CACAO NECESITAN PARA ALGUNOS USOS SER TEMPLADOS PRODUCTOS CON MUY BUENA INTENSIDAD DE SABOR A CHOCOLATE.
IDEAL PARA TODAS AQUELLAS PREPARACIONES QUE NECESITAN TENER SABOR A CHOCOLATE INTENSO.
ELABORADOS CON LOS TRADICIONALES PROCESOS DE ELABORACIóN, REFINADO Y CONCADO DE ALTA CALIDAD.
TIENE UN EXQUISITO Y REFINADO AROMA Y SABOR A CHOCOLATE AUTENTICO Y GENUINO CON TODAS LAS NOTAS DEL CACAO AROMáTICO QUE TIENEN SUS MATERIAS PRIMAS.

USOS RECOMENDADOS:
PERFECTO PARA MOLDEO DE BOMBONES, FIGURAS Y HUEVOS DE PASCUAS.
IDEALES PARA PASTELERíA Y REPOSTERíA DE ALTA CALIDAD, GANACHE, MOUSSES , BROWNIES.
TAMBIéN PARA ALFAJORES PREMIUM, FONDUE.

NOTA: ES PERFECTO PARA LA ELABORACIóN DE HELADOS DE CHOCOLATE.",https://curlomayorista.com.ar/imagenesproductos/1268a.jpg | https://curlomayorista.com.ar/imagenesproductos/1268b.jpg
