archivo,slug,product_code,nombre,en_catalogo,status,image_url_prev,image_url_new
CALIFORNIA-PWB.png,california-blend,736952201515,CALIFORNIA 20 lb (BroccoliCarrot slicedCauliflower),True,match,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/736952201515.jpg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/california-blend.jpg?v=20260901
CALIFORNIA-PWB.png,california-blend,89090056,CALIFORNIA BLEND 22.04 lb (BroccoliCarrot slicedCauliflower),True,match,https://www.benfreshfood.com/assets/images/product/carrot_diced_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/california-blend.jpg?v=20260901
CARROT DICED-PWB.png,carrot-diced,89090132,"Carrot Diced 10x10 frozen IQF Bag 22,50 lb (1x22,50lb)",True,match,https://www.benfreshfood.com/assets/images/product/carrot_diced_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/carrot-diced.jpg?v=20260901
CARROT DICED-PWB.png,carrot-diced,89090061,Carrot Diced 20 lb,True,match,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/89090061.jpg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/carrot-diced.jpg?v=20260901
CARROT DICED-PWB.png,carrot-diced,89090013,"Carrot diced frozen IQF-Box 22,04 lb (1x22,04 lb)",True,match,https://www.benfreshfood.com/assets/images/product/carrot_diced_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/carrot-diced.jpg?v=20260901
FAJITA STRIPS-PWB.png,fajita,89090116,FAJITA MIX - 20 lb,True,match,https://www.benfreshfood.com/assets/images/product/fajita_strips_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/fajita.jpg?v=20260901
GREEN BEANS-PWB.png,green-beans,89090051,CUT GREEN BEANS 20 lb,True,match,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/89090051.jpg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/green-beans.jpg?v=20260901
GREEN BEANS-PWB.png,green-beans,89090130,CUT GREEN BEANS 22 lb,True,match,https://www.benfreshfood.com/assets/images/product/green_beans_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/green-beans.jpg?v=20260901
GREEN BEANS-PWB.png,green-beans,89090204,Cut Green Beans 24lb (12x2lb),True,match,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/89090204.jpg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/green-beans.jpg?v=20260901
GREEN BEANS-PWB.png,green-beans,89090075,CUT GREEN BEANS 30 lb,True,match,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/89090075.jpg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/green-beans.jpg?v=20260901
GREEN PEAS-PWB.png,green-peas,736952201775,GREEN PEAS frozen 22 lb,True,match,https://www.benfreshfood.com/assets/images/product/green_peas_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/green-peas.jpg?v=20260901
GREEN PEAS-PWB.png,green-peas,89090206,GREEN PEAS frozen 30 lb (12x2.5lb),True,match,https://www.benfreshfood.com/assets/images/product/green_peas_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/green-peas.jpg?v=20260901
GREEN PEPPER-PWB.png,green-pepper,89090066,Green Pepper diced 10x10 20lb,True,match,https://www.benfreshfood.com/assets/images/product/green_pepper_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/green-pepper.jpg?v=20260901
PAPAYA-PWB.png,papaya,736952196033,Papaya Chunk frozen IQF - Box 21 lb (7x3lb),True,match,https://www.benfreshfood.com/assets/images/product/papaya_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/papaya.jpg?v=20260901
PEAS & CARROT-PWB.png,peas-carrot,89090024,PEAS and CARROT DICED 22LB,True,match,https://www.benfreshfood.com/assets/images/product/carrot_diced_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/peas-carrot.jpg?v=20260901
PLATANO MADURO-PWB.png,platano-maduro,74987455860,Platano Maduro Sweet Plantain Slices 24 lb,True,match,https://www.benfreshfood.com/assets/images/product/platano_maduro_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/platano-maduro.jpg?v=20260901
POTATO WEDGES-PWB.png,potato-wedges,89090087,POTATO WEDGES 22.04 lb,True,match,https://www.benfreshfood.com/assets/images/product/potato_wedges_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/potato-wedges.jpg?v=20260901
POTATO WEDGES-PWB.png,potato-wedges,89090093,POTATO WEDGES 30 lb,True,match,https://www.benfreshfood.com/assets/images/product/potato_wedges_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/potato-wedges.jpg?v=20260901
RED PEPPER-PWB.png,red-pepper,74987455861,[NO USAR] Red Pepper diced 10x10 -Box 22 lb,False,match_off_catalog,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/74987455861.jpg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/red-pepper.jpg?v=20260901
RED PEPPER-PWB.png,red-pepper,89090067,Red Pepper diced 10x10 - Box 20 lb,True,match,https://www.benfreshfood.com/assets/images/product/red_pepper_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/red-pepper.jpg?v=20260901
