product_code,nombre,qty,qty_rank,matched_url,matched_file,score,status,image_url_prev
89090024,PEAS and CARROT DICED 22LB,42.0,12,https://www.benfreshfood.com/assets/images/product/3_colored_pepper_diced_frente.png,3_colored_pepper_diced_frente.png,0.55,matched_apply,
855006006392,ACAI TROPICAL Organic Sorbet 22 lb,40.0,13,https://www.benfreshfood.com/assets/images/product/mix-tropical-frente.png,mix-tropical-frente.png,0.55,matched_apply,
89090013,"Carrot diced frozen IQF-Box 22,04 lb (1x22,04 lb)",37.0,14,https://www.benfreshfood.com/assets/images/product/3_color_diced_dorso.png,3_color_diced_dorso.png,0.55,matched_apply,
89090067,Red Pepper diced 10x10 - Box 20 lb,34.0,15,https://www.benfreshfood.com/assets/images/product/3_color_pepper_sliced_dorso.png,3_color_pepper_sliced_dorso.png,0.55,matched_apply,
89090066,Green Pepper diced 10x10 20lb,33.0,16,https://www.benfreshfood.com/assets/images/product/green_pepper_frente.png,green_pepper_frente.png,0.6,matched_apply,
89090200,Onion Red Diced 20 lb,29.0,17,https://www.benfreshfood.com/assets/images/product/butternut-diced.png,butternut-diced.png,0.55,matched_apply,
89090112,Tomatoes diced - 22 lb,25.0,18,,,0,unmatched,
89090107,Passion Fruit with seeds. Maracuya 11lb,24.0,19,https://www.benfreshfood.com/assets/images/product/passion-fruit-frente.jpg,passion-fruit-frente.jpg,0.6,matched_apply,
8437020396066,Raspberries frozen FRANUI in white & milk chocolate 60 oz,21.0,20,https://www.benfreshfood.com/assets/images/product/franui4.jpg,franui4.jpg,0.55,matched_apply,
89010027,Passion Fruit with seeds Maracuya 22 lb,21.0,21,,,0,unmatched,
89010031,Mamey Chunks frozen 5lb,20.0,22,https://www.benfreshfood.com/assets/images/product/mamey-frente.jpg,mamey-frente.jpg,0.6,matched_apply,
89090115,RICE PARBOILED LONG GRAIN,17.0,23,,,0,unmatched,
736952201782,Mamey Chunk frozen 3lb BENFRESH-Box 24 lb (8x3lb),17.0,24,https://www.benfreshfood.com/assets/images/product/mango-chunks.png,mango-chunks.png,0.5,matched_apply,
89090068,Baby Carrot 24lb,16.0,25,https://www.benfreshfood.com/assets/images/product/baby_carrot_frente.png,baby_carrot_frente.png,0.6,matched_apply,
736952201911,4 vegetables Peas & Carrot & Sweetcorn & Green Beans 22 lb,15.0,26,https://www.benfreshfood.com/assets/images/product/green_bean_dorso.png,green_bean_dorso.png,0.55,matched_apply,
89090046,YUCA CHUNK FROZEN 5 lb -Box 30 lb (6x5lb),15.0,27,https://www.benfreshfood.com/assets/images/product/pineapple-chunks.jpg,pineapple-chunks.jpg,0.5,matched_apply,
834641,BEAN BLACK DRY 50 lb,13.0,28,,,0,unmatched,
89090117,SOFRITO BLEND - 20 lb,13.0,29,,,0,unmatched,
89090052,YUCA CHUNK CASSAVA FROZEN 20 lb,12.0,30,,,0,unmatched,
89090029,Carrot sliced 20 LB,10.0,31,,,0,unmatched,
736952201973,Strawberry frozen 3lb BENFRESH-Box 24 lb (8x3lb),10.0,32,https://www.benfreshfood.com/assets/images/product/strawberries.png,strawberries.png,0.55,matched_apply,
736952201829,POTATO DICED frozen 22.04 lb,9.0,33,https://www.benfreshfood.com/assets/images/product/potato_wedges_frente.png,potato_wedges_frente.png,0.55,matched_apply,
89090053,Pineapple chunk frozen 21lb,8.0,34,https://www.benfreshfood.com/assets/images/product/pineapple-dorso.jpg,pineapple-dorso.jpg,0.6,matched_apply,
89090125,Pepper 3 Color Slice - 20lb,8.0,35,https://www.benfreshfood.com/assets/images/product/red_pepper_frente.png,red_pepper_frente.png,0.55,matched_apply,
736952201850,SPINACH frozen 8/15,8.0,36,https://www.benfreshfood.com/assets/images/product/spinach-leaf-portions.jpg,spinach-leaf-portions.jpg,0.6,matched_apply,
8437020396073,Raspberries frozen FRANUI in white & dark chocolate 60 oz,7.0,37,https://www.benfreshfood.com/assets/images/product/franui1.jpg,franui1.jpg,0.55,matched_apply,
89090199,RICE WHITE XTRA LONG,7.0,38,,,0,unmatched,
89090059,Cranberry 20 lb,5.0,39,,,0,unmatched,
736952201553,Mix Berries frozen 3 lb BENFRESH-Box 24 lb (8x3lb),5.0,40,https://www.benfreshfood.com/assets/images/product/mix-berries.png,mix-berries.png,0.55,matched_apply,
1841100055,ACAI SAMBAZON smoothie Blend Organic 3G Tub,5.0,41,,,0,unmatched,
736952196002,Strawberries frozen 5 lb BENFRESH-Box 30 lb (6x5lb),5.0,42,,,0,unmatched,
736952201560,Banana frozen 3lb -Box 21 lb (7x3lb),4.0,43,https://www.benfreshfood.com/assets/images/product/banana-frente.jpg,banana-frente.jpg,0.6,matched_apply,
89090127,Sweet Potato Diced 20lb,4.0,44,,,0,unmatched,
736952196033,Papaya Chunk frozen IQF - Box 21 lb (7x3lb),3.0,45,https://www.benfreshfood.com/assets/images/product/papaya_frente.png,papaya_frente.png,0.6,matched_apply,
89090202,Cauliflower 22.04 lb (1 x 22.04 lb),3.0,46,https://www.benfreshfood.com/assets/images/product/califlower_frente.png,califlower_frente.png,0.55,matched_apply,
89090203,Sweet Potato Diced 22.04 lb,3.0,47,,,0,unmatched,
736952201690,Mix Tropical frozen 3lb BENFRESH-Box 24 lb (8x3lb),3.0,48,,,0,unmatched,
89010026,Pineapple Chunk frozen 5 lb (6x5lb),2.0,49,,,0,unmatched,
89090092,ONION STRIPS 22.04 lb,2.0,50,https://www.benfreshfood.com/assets/images/product/fajitas_strips_dorso.png,fajitas_strips_dorso.png,0.55,matched_apply,
736952195999,Blueberries frozen 5lb Benfresh Box 30 lb (6x5lb),2.0,51,https://www.benfreshfood.com/assets/images/product/blueberries.jpg,blueberries.jpg,0.6,matched_apply,
736952201706,"Mix Tropical frozen 0,75lb BENFRESH",1.0,52,,,0,unmatched,
818411000423,Sambazon - DRAGON FRUIT SORBET 3GAL,1.0,53,,,0,unmatched,
89090103,Mango Sorbet SP,1.0,54,https://www.benfreshfood.com/assets/images/product/mango-dorso.jpg,mango-dorso.jpg,0.55,matched_apply,
736952201720,"Pineapple Chunk frozen 0,75lb BENFRESH",1.0,55,,,0,unmatched,
736952201713,"Mango Chunk Frozen 0,75lb BENFRESH",1.0,56,,,0,unmatched,
89090104,Coconut Sorbet SP,1.0,57,,,0,unmatched,
89090207,Mamey Chunks 24 lb (4x6lb),1.0,58,,,0,unmatched,
736952201959,Mango Chunks Frozen 3lb BENFRESH-Box 24 lb (8x3lb),1.0,59,,,0,unmatched,
