excel_row,product_code,nombre,precio,categoria,motivo
1202,REP-049,CORTADORA DE PAPA FH C/1 CUCHILLA ACERO INOX,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1203,REP-050,CORTINAS A MEDIDA PARA ENTRADAS O CAMARAS FRIGORIFICAS !!!,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1209,REP-535,,223250.0,RESPUESTOS Y ACCESORIOS,nombre vacío
1210,REP-536,CORTINA PVC,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1254,REP-394,REPUESTO,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1255,REP-406,REPUESTO RIELERA,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1301,REP-073,EXPRIMIDOR DE CITRICOS INDUSTRIAL FINESCHI,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1302,REP-074,EXPRIMIDOR DE CITRICOS MEDIANO FINESCHI,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1319,REP-349,GUSANO 8 MEIFA DEVI,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1321,REP-351,GUSANO 10 MEIFA DEVI,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1323,REP-353,GUSANO 22 MEIFA DEVI,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1325,REP-355,GUSANO 32 MEIFA DEVI,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1360,REP-110,JUEGO DE CUCHILLAS RECTAS 5MM. (16 CUCHILLAS),0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1361,REP-111,JUEGO DE CUCHILLAS RECTAS 7MM. (10 CUCHILLAS),0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1362,REP-112,JUEGO DE ORRINS EMBUTIDORA E 40 KG,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1363,REP-113,JUEGO DE ORRINS EMBUTIDORA E 75 KG,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1376,REP-388,ORRIN DE EMBUTIDORA,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1379,REP-115,LICUADORA DE ALTA ROTACION 2 LITROS ACERO INOX,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1380,REP-116,LICUADORA DE ALTA ROTACION 4 LITROS ACERO INOX,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1399,REP-134,"MOTOR MONOFÁSICO 1,5HP PARA SIERRA",0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1400,REP-135,MOTOR PARA CÁMARA,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1401,REP-282,MOTOR FORZADOR PARA CÁMARA COMUN,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1402,REP-283,MOTOR FORZADOR PARA CÁMARA REFORZADO,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1403,REP-136,"MOTOR TRIFÁSICO 1,5HP",0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1416,REP-146,PERILLA DE CABEZAL 32,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1458,REP-289,REPARACION MAQUINA,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1533,REP-185,SIERRA SABLE ELECTRICA CON SERRCHO DE ACERO INOX CON BATERIA 4 AMPERES,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1579,REP-215,TIERNIZADOR MANUAL A RODILLO NATIVA,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1610,REP-231,TUERCA MOLEDORA 42 FH/FREIRE,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1612,REP-232,VOLANTE MOLEDORA 32 FINESCHI ORIGINAL,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1614,REP-234,VOLANTE SIERRA BIANCHI INFERIOR Y SUPERIOR,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1616,REP-295,AFILADO,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1642,BAN-023,BANDEJA PARA SIERRA BIANCHI (HIERRO),0.0,RESPUESTOS Y ACCESORIOS - BANDEJAS -,precio <= 0 (consultar / sin lista)
1648,BAN-025,,6330.0,RESPUESTOS Y ACCESORIOS - BANDEJAS -,nombre vacío
1670,MAQ-001,AMASADORA FINESCHI REDONDA 20 LITROS 3/4 HP DE 1400 RPM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1671,MAQ-002,ATADORA DE EMBUTIDO MANUAL,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1672,MAQ-003,ATADORA DE EMBUTIDO SEMI AUTOMATICA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1673,MAQ-004,BALANZA PILON SYSTEL COLGANTE 300 KG PEDIR COTIZACION,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1674,MAQ-005,BALANZA SYSTEL CON MASTIL,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1675,MAQ-006,BALANZA SYSTEL CUORA CON BATERIA (TICKEADORA),0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1676,MAQ-007,BALANZA SYSTEL SIN MASTIL,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1677,MAQ-008,BATIDORA PLANETARIA DE 10 LITROS 1/2 HP DE 1400 RPM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1678,MAQ-009,BOMBO MASAJEADOR CAP CARGA 40 KG CADA 8 MIN TODO ACERO,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1680,MAQ-011,CORTADORA DE FIAMBRE FL 300,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1681,MAQ-012,CORTADORA DE FIAMBRE 330 CARNIC,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1682,MAQ-014,EMBUTIDORA 5 KG ACERO INOXIDABLE HERDAM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1683,MAQ-013,EMBUTIDORA 7 KG ACERO INOXIDABLE HERDAM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1684,MAQ-015,EMBUTIDORA 10 KG ACERO INOXIDABLE ESPECIAS BENAVIDEZ,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1685,MAQ-094,EMBUTIDORA 10 KG ANDY 2 VELOCIDADES NARANJA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1686,MAQ-095,EMBUTIDORA 15 KG ANDY 3 VELOCIDADES NARANJA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1687,MAQ-016,EMBUTIDORA 15 KG ACERO INOXIDABLE ESPECIAS BENAVIDEZ,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1688,MAQ-018,EMBUTIDORA 15 KG FREIRE 3 VELOCIDADES GRIS,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1689,MAQ-024,EMBUTIDORA 15 KG FINESCHI,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1690,MAQ-019,EMBUTIDORA 15 KG ACERO INOXIDABLE ELECTRICA HERDAM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1691,MAQ-020,EMBUTIDORA 20 KG ACERO INOXIDABLE ELECTRICA HERDAM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1692,MAQ-021,EMBUTIDORA 25 KG ACERO INOXIDBLE ELECTRICA HERDAM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1693,MAQ-028,"EMBUTIDORA NEUMATICA 40 KG CON COMPRESOR COMUN 1,5 HP",0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1694,MAQ-027,"EMBUTIDORA NEUMATICA 40 KG CON COMPRESOR ACERO INOX 1,5 HP",0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1695,MAQ-022,EMBUTIDORA NEUMATICA 75 KG CON COMPRESOR COMUN 2 HP,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1696,MAQ-023,EMBUTIDORA NEUMATICA 75 KG CON COMPRESOR ACERO INOX 2 HP,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1697,MAQ-025,SIERRA DE MESA (HOJA 181),0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1698,MAQ-026,SIERRA DE MESA C/MOLEDORA 22,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1699,MAQ-087,SIERRA DE MESA CHICA C/ HOJA 238 DE PIE,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1700,MAQ-017,MESA ACERO INOXIDABLE 180X90,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1701,MAQ-029,EMPANADOR DE MILANESAS 35 KG HORA NUEVO PRODUCTO,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1702,MAQ-030,EMPANADOR DE MILANESAS 60KG HORA NUEVO PRODUCTO,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1703,MAQ-031,EMPANADOR DE MILANESAS 70 A 100 KG POR HORA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1704,MAQ-032,FETEADORA SEMI- AUTOMATICA 12,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1705,MAQ-033,FETEADORA SEMI- AUTOMATICA 13,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1706,MAQ-034,FILETEADORA DE PECHUGAS FM 200 ACERO INOX,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1707,MAQ-074,FILETEADORA DE PECHUGAS FM 150 (BLANCA) ACERO C/ TEFLON,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1708,MAQ-035,FORMADORA DE HAMBURGUESAS AUTOMATICA 100 HAMBURGUESAS NUEVO PRODUCTO,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1709,MAQ-036,FORMADORA DE HAMBURGUESAS SEMIAUTOMATICA 35 KG POR HORA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1710,MAQ-037,MESA ACERO INOXIDABLE CON ESTANTE INTERIOR FINESCHI,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1711,MAQ-038,MESA ACERO INOXIDABLE FINESCHI,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1712,MAQ-039,MESA CON BACHA ACERO INOXIDABLE,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1713,MAQ-042,MEZCLADORA DE CARNE 36 LTS ACCESORIO ACERO INOX FREIRE,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1714,MAQ-053,MEZCLADORA DE CARNE 36 LTS ACCESORIO ACERO INOX FINESCHI,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1715,MAQ-054,MEZCLADORA DE CARNE 50 LTS ACERO INOX 3/4 MOTOR HP MONOF O TRIF FINESCHI,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1716,MAQ-055,MEZCLADORA DE CARNE 50 LTS COMUN 3/4 MOTOR HP MON O TRIF FREIRE,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1717,MAQ-040,MEZCLADORA 100 LTS FINESCHI ACERO,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1718,MAQ-041,MEZCLADORA 100 LTS FREIRE,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1719,MAQ-043,MEZCLADORA 160 LTS INOX 1 EJE LINEA IMPORTADA HERDAM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1720,MAQ-044,MEZCLADORA 160 LTS INOX 2 EJES LINEA IMPORTADA HERDAM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1721,MAQ-045,MEZCLADORA 190 LTS INDUSTRIAL FINESCHI,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1722,MAQ-046,ENVASADORA VACIO 300 MM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1723,MAQ-047,ENVASADORA VACIO 400 MM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1724,MAQ-050,CUTTER 5 LITROS,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1727,MAQ-049,CUTTER 8 LITROS,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1728,MAQ-048,CUTTER 13 LITROS,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1729,MAQ-051,EMPAQUETADORA BANDEJAS 450 MM /550 MM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1730,MAQ-052,TERMOSELLADORA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1733,MAQ-058,MOLEDORA 32 ACERO HEREDAM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1734,MAQ-059,MOLEDORA 32 CARNIC IMPORTADA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1735,MAQ-079,MOLEDORA 32 FREIRE NACIONAL,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1736,MAQ-080,MOLEDORA 32 FINESCHI,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1737,MAQ-081,MOLEDORA 32 CARNIC CUADRADA ACERO,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1738,MAQ-060,MOLEDORA 42 CARNIC IMPORTADA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1739,MAQ-061,MOLEDORA 42 ESPECIAS BENAVIDEZ IMPORTADA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1740,MAQ-062,MOLEDORA 42 CARNIC NACIONAL C/ MOTO REDUCTOR 3 HP,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1741,MAQ-082,MOLEDORA 42 CARNIC NACIONAL C/ MOTO REDUCTOR 5 HP,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1742,MAQ-083,MOLEDORA 42 FREIRE CON CORREA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1743,MAQ-084,MOLEDORA 42 CARNIC MONOFASICA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1744,MAQ-085,MOLEDORA 42 HERDAM MONOFASICA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1745,MAQ-086,MOLEDORA SERRY N 8 ROJA CHICA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1747,MAQ-063,MOLEDORA DE GRANO INDUSTRIAL TOTAL INOX 20/40 KG HORA,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1749,MAQ-065,QUEMADOR GAS NATURAL P GAS ENVASADO NUEVO PRODUCTO,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1750,MAQ-066,RALLADORA DE PAN 1HP DE 2800 RPM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1751,MAQ-067,RALLADORA DE PAN FINESCHI 1 HP,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1752,MAQ-068,SIERRA CARNICERA FREIRE GRANDE (325),0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1753,MAQ-069,SIERRA CARNICERA FREIRE CHICA (275),0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1754,MAQ-070,SIERRA CARNICERA CARNIC ACERO TRIFASICA / MONOFASICA (300),0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1755,MAQ-088,SIERRA CARNICERA FLORES CHICA (280),0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1756,MAQ-089,SIERRA CARNICERA FINESCHI CHICA (180),0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1757,MAQ-090,SIERRA CARNICERA FINESCHI GRANDE (350),0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1758,MAQ-071,SOBADORA PASTELERA 3/4 HP DE 1400 RPM,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1759,MAQ-072,TIERNIZADORA DE CARNE 100 KG POR HORA ELECTRICA CEICO,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1760,MAQ-091,TIERNIZADORA DE CARNE 100 KG POR HORA ELECTRICA ESPECIAS BENAVIDEZ,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1761,MAQ-073,"TOCINERA CUBETEADORA MANUAL DE 7 MM ,10 MM O 14 MM ANDY",0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1762,MAQ-092,TOCINERA CUBETEADORA ELECTRICA 6 MM O 9 MM ANDY,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1763,MAQ-096,SECADERO DE SALAMES 70 KG ROTT,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
1764,MAQ-093,TIERNIZADOR DE CARNE ELECTRICA ANDY,0.0,MÁQUINAS Y EQUIPAMIENTO,precio <= 0 (consultar / sin lista)
2016,FCC-037,FRACCIONADO - BICARBONATO X 25GR - PACK X10,0.0,FRACCIONADOS - BOLSAS PEQUEÑAS,precio <= 0 (consultar / sin lista)
2030,FCC-014,FRACCIONADO - INTEGRAL DE HAMBURGUESAS X 20GR - PACK X10,0.0,FRACCIONADOS - BOLSAS PEQUEÑAS,precio <= 0 (consultar / sin lista)
2031,FCC-015,FRACCIONADO - INTEGRAL DE MILANESAS X 20GR - PACK X10,0.0,FRACCIONADOS - BOLSAS PEQUEÑAS,precio <= 0 (consultar / sin lista)
2041,FCC-039,FRACCIONADO - BICARBONATO X 25GR - X UNIDAD,0.0,FRACCIONADOS - BOLSAS PEQUEÑAS,precio <= 0 (consultar / sin lista)
2049,FCC-031,FRACCIONADO - INTEGRAL DE HAMBURGUESAS X 20GR - X UNIDAD,0.0,FRACCIONADOS - BOLSAS PEQUEÑAS,precio <= 0 (consultar / sin lista)
2050,FCC-032,FRACCIONADO - INTEGRAL DE MILANESAS X 20GR - X UNIDAD,0.0,FRACCIONADOS - BOLSAS PEQUEÑAS,precio <= 0 (consultar / sin lista)
