id,pedido_id,client_id,product_code,nombre,cantidad_solicitada,precio_unitario,fecha_pedido,is_mock
27,10,5,415,PAN MIGNON PRECOCIDO X 18un.,2,13300.0,2026-05-01,True
28,10,5,448,HOJALDRITOS ESPECIALES x 5kg,4,24600.0,2026-05-01,True
29,10,5,436,PAN TREBOLIN PRECOCIDO x3kg,4,12500.0,2026-05-01,True
30,11,5,436,PAN TREBOLIN PRECOCIDO x3kg,2,12500.0,2026-06-25,True
31,11,5,423,CRIOLLO DE HOJALDRE x 11kg*,1,55100.0,2026-06-25,True
32,11,5,426,FACTURA RECTANGULAR CRUDA CONGELADA,3,69300.0,2026-06-25,True
33,11,5,422,MEDIALUNA C/ MANTECA SALADA,4,74650.0,2026-06-25,True
34,12,5,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,3,45600.0,2026-06-25,True
35,12,5,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,2,18000.0,2026-06-25,True
36,13,6,430,CHIPACA DE GRASA x 5kg*,2,31400.0,2026-06-09,True
37,13,6,443,TREBOLÍN SALVADO CRUDO CONGELADO x 7kg*,5,19220.0,2026-06-09,True
38,13,6,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,5,45600.0,2026-06-09,True
39,13,6,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,3,18000.0,2026-06-09,True
40,14,6,429,CROISSANT,2,43000.0,2026-04-25,True
41,14,6,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,2,18000.0,2026-04-25,True
42,14,6,428,PAN BAGUETTE PRECOCIDO x 30un.,5,13300.0,2026-04-25,True
43,14,6,427,CHIPÁ x 5kg*,4,133300.0,2026-04-25,True
44,15,6,422-MIX,FACTURA MIXTA,2,64200.0,2026-07-18,True
45,15,6,443,TREBOLÍN SALVADO CRUDO CONGELADO x 7kg*,4,19220.0,2026-07-18,True
46,16,7,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,3,18000.0,2026-06-10,True
47,16,7,430,CHIPACA DE GRASA x 5kg*,5,31400.0,2026-06-10,True
48,16,7,435,PAN MIGNON CRUDO CONGELADO x 14kg*,1,35000.0,2026-06-10,True
49,17,7,422-MIX,FACTURA MIXTA,1,64200.0,2026-05-03,True
50,17,7,436,PAN TREBOLIN PRECOCIDO x3kg,3,12500.0,2026-05-03,True
51,17,7,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,4,45600.0,2026-05-03,True
52,17,7,426,FACTURA RECTANGULAR CRUDA CONGELADA,2,69300.0,2026-05-03,True
53,18,8,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,1,45600.0,2026-07-29,True
54,18,8,435,PAN MIGNON CRUDO CONGELADO x 14kg*,3,35000.0,2026-07-29,True
55,18,8,448,HOJALDRITOS ESPECIALES x 5kg,5,24600.0,2026-07-29,True
56,18,8,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,5,18000.0,2026-07-29,True
57,19,8,427,CHIPÁ x 5kg*,5,133300.0,2026-07-04,True
58,19,8,448,HOJALDRITOS ESPECIALES x 5kg,5,24600.0,2026-07-04,True
59,20,8,426,FACTURA RECTANGULAR CRUDA CONGELADA,3,69300.0,2026-07-29,True
60,20,8,433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,3,12500.0,2026-07-29,True
61,20,8,421,MEDIALUNA CON MANTECA,2,74650.0,2026-07-29,True
62,20,8,422-MIX,FACTURA MIXTA,1,64200.0,2026-07-29,True
63,21,9,415,PAN MIGNON PRECOCIDO X 18un.,1,13300.0,2026-05-18,True
64,21,9,433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,5,12500.0,2026-05-18,True
65,22,9,443,TREBOLÍN SALVADO CRUDO CONGELADO x 7kg*,5,19220.0,2026-04-22,True
66,22,9,433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,2,12500.0,2026-04-22,True
67,23,10,429,CROISSANT,3,43000.0,2026-05-23,True
68,23,10,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,4,45600.0,2026-05-23,True
69,23,10,436,PAN TREBOLIN PRECOCIDO x3kg,3,12500.0,2026-05-23,True
70,23,10,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,4,18000.0,2026-05-23,True
71,24,10,422-MIX,FACTURA MIXTA,1,64200.0,2026-05-24,True
72,24,10,423,CRIOLLO DE HOJALDRE x 11kg*,3,55100.0,2026-05-24,True
73,24,10,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,1,18000.0,2026-05-24,True
74,25,10,423,CRIOLLO DE HOJALDRE x 11kg*,1,55100.0,2026-05-15,True
75,25,10,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,1,18000.0,2026-05-15,True
76,25,10,442,BAGUETTE SALVADO CRUDO CONGELADO x 7kg*,2,19220.0,2026-05-15,True
77,25,10,421,MEDIALUNA CON MANTECA,1,74650.0,2026-05-15,True
78,26,11,435,PAN MIGNON CRUDO CONGELADO x 14kg*,3,35000.0,2026-06-17,True
79,26,11,423,CRIOLLO DE HOJALDRE x 11kg*,4,55100.0,2026-06-17,True
80,27,11,443,TREBOLÍN SALVADO CRUDO CONGELADO x 7kg*,2,19220.0,2026-07-02,True
81,27,11,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,4,18000.0,2026-07-02,True
82,27,11,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,4,18000.0,2026-07-02,True
83,27,11,433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,2,12500.0,2026-07-02,True
84,28,12,429,CROISSANT,4,43000.0,2026-07-17,True
85,28,12,427,CHIPÁ x 5kg*,1,133300.0,2026-07-17,True
86,28,12,442,BAGUETTE SALVADO CRUDO CONGELADO x 7kg*,1,19220.0,2026-07-17,True
87,28,12,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,1,18000.0,2026-07-17,True
88,29,12,426,FACTURA RECTANGULAR CRUDA CONGELADA,2,69300.0,2026-06-08,True
89,29,12,422-MIX,FACTURA MIXTA,5,64200.0,2026-06-08,True
90,29,12,423,CRIOLLO DE HOJALDRE x 11kg*,4,55100.0,2026-06-08,True
91,29,12,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,2,45600.0,2026-06-08,True
92,30,13,430,CHIPACA DE GRASA x 5kg*,4,31400.0,2026-07-06,True
93,30,13,423,CRIOLLO DE HOJALDRE x 11kg*,5,55100.0,2026-07-06,True
94,30,13,415,PAN MIGNON PRECOCIDO X 18un.,1,13300.0,2026-07-06,True
95,31,13,436,PAN TREBOLIN PRECOCIDO x3kg,2,12500.0,2026-07-23,True
96,31,13,421,MEDIALUNA CON MANTECA,4,74650.0,2026-07-23,True
97,31,13,415,PAN MIGNON PRECOCIDO X 18un.,4,13300.0,2026-07-23,True
98,31,13,423,CRIOLLO DE HOJALDRE x 11kg*,4,55100.0,2026-07-23,True
99,32,13,422,MEDIALUNA C/ MANTECA SALADA,1,74650.0,2026-07-02,True
100,32,13,448,HOJALDRITOS ESPECIALES x 5kg,4,24600.0,2026-07-02,True
101,32,13,428,PAN BAGUETTE PRECOCIDO x 30un.,3,13300.0,2026-07-02,True
102,33,14,436,PAN TREBOLIN PRECOCIDO x3kg,2,12500.0,2026-06-23,True
103,33,14,433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,3,12500.0,2026-06-23,True
104,33,14,443,TREBOLÍN SALVADO CRUDO CONGELADO x 7kg*,2,19220.0,2026-06-23,True
105,34,14,436,PAN TREBOLIN PRECOCIDO x3kg,1,12500.0,2026-07-22,True
106,34,14,422,MEDIALUNA C/ MANTECA SALADA,5,74650.0,2026-07-22,True
107,34,14,426,FACTURA RECTANGULAR CRUDA CONGELADA,4,69300.0,2026-07-22,True
108,34,14,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,5,18000.0,2026-07-22,True
109,35,14,422,MEDIALUNA C/ MANTECA SALADA,1,74650.0,2026-05-23,True
110,35,14,435,PAN MIGNON CRUDO CONGELADO x 14kg*,2,35000.0,2026-05-23,True
111,36,15,423,CRIOLLO DE HOJALDRE x 11kg*,1,55100.0,2026-05-14,True
112,36,15,428,PAN BAGUETTE PRECOCIDO x 30un.,5,13300.0,2026-05-14,True
113,37,15,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,5,18000.0,2026-06-28,True
114,37,15,422,MEDIALUNA C/ MANTECA SALADA,5,74650.0,2026-06-28,True
115,37,15,415,PAN MIGNON PRECOCIDO X 18un.,5,13300.0,2026-06-28,True
116,37,15,429,CROISSANT,3,43000.0,2026-06-28,True
117,38,16,426,FACTURA RECTANGULAR CRUDA CONGELADA,2,69300.0,2026-07-03,True
118,38,16,423,CRIOLLO DE HOJALDRE x 11kg*,3,55100.0,2026-07-03,True
119,38,16,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,4,45600.0,2026-07-03,True
120,38,16,428,PAN BAGUETTE PRECOCIDO x 30un.,3,13300.0,2026-07-03,True
121,39,16,421,MEDIALUNA CON MANTECA,5,74650.0,2026-04-24,True
122,39,16,430,CHIPACA DE GRASA x 5kg*,5,31400.0,2026-04-24,True
123,40,16,436,PAN TREBOLIN PRECOCIDO x3kg,5,12500.0,2026-07-17,True
124,40,16,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,3,45600.0,2026-07-17,True
125,41,17,423,CRIOLLO DE HOJALDRE x 11kg*,3,55100.0,2026-06-15,True
126,41,17,427,CHIPÁ x 5kg*,2,133300.0,2026-06-15,True
127,42,17,425,TORTILLA TUCUMANA x 7.8kg*,5,40200.0,2026-06-03,True
128,42,17,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,3,18000.0,2026-06-03,True
129,42,17,435,PAN MIGNON CRUDO CONGELADO x 14kg*,1,35000.0,2026-06-03,True
130,42,17,421,MEDIALUNA CON MANTECA,2,74650.0,2026-06-03,True
131,43,18,436,PAN TREBOLIN PRECOCIDO x3kg,3,12500.0,2026-07-15,True
132,43,18,443,TREBOLÍN SALVADO CRUDO CONGELADO x 7kg*,3,19220.0,2026-07-15,True
133,44,18,426,FACTURA RECTANGULAR CRUDA CONGELADA,3,69300.0,2026-05-13,True
134,44,18,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,5,45600.0,2026-05-13,True
135,45,18,422,MEDIALUNA C/ MANTECA SALADA,3,74650.0,2026-05-28,True
136,45,18,415,PAN MIGNON PRECOCIDO X 18un.,1,13300.0,2026-05-28,True
137,45,18,429,CROISSANT,1,43000.0,2026-05-28,True
138,46,19,442,BAGUETTE SALVADO CRUDO CONGELADO x 7kg*,2,19220.0,2026-04-22,True
139,46,19,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,4,45600.0,2026-04-22,True
140,47,19,429,CROISSANT,1,43000.0,2026-05-20,True
141,47,19,436,PAN TREBOLIN PRECOCIDO x3kg,2,12500.0,2026-05-20,True
142,47,19,421,MEDIALUNA CON MANTECA,5,74650.0,2026-05-20,True
143,47,19,422-MIX,FACTURA MIXTA,1,64200.0,2026-05-20,True
144,48,19,436,PAN TREBOLIN PRECOCIDO x3kg,1,12500.0,2026-06-12,True
145,48,19,443,TREBOLÍN SALVADO CRUDO CONGELADO x 7kg*,3,19220.0,2026-06-12,True
146,48,19,429,CROISSANT,3,43000.0,2026-06-12,True
147,48,19,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,1,18000.0,2026-06-12,True
148,49,20,423,CRIOLLO DE HOJALDRE x 11kg*,4,55100.0,2026-07-03,True
149,49,20,422-MIX,FACTURA MIXTA,5,64200.0,2026-07-03,True
150,49,20,427,CHIPÁ x 5kg*,2,133300.0,2026-07-03,True
151,49,20,436,PAN TREBOLIN PRECOCIDO x3kg,2,12500.0,2026-07-03,True
152,50,20,429,CROISSANT,2,43000.0,2026-07-09,True
153,50,20,421,MEDIALUNA CON MANTECA,3,74650.0,2026-07-09,True
154,51,20,423,CRIOLLO DE HOJALDRE x 11kg*,1,55100.0,2026-04-20,True
155,51,20,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,4,45600.0,2026-04-20,True
156,51,20,448,HOJALDRITOS ESPECIALES x 5kg,1,24600.0,2026-04-20,True
157,52,21,430,CHIPACA DE GRASA x 5kg*,3,31400.0,2026-07-01,True
158,52,21,427,CHIPÁ x 5kg*,2,133300.0,2026-07-01,True
159,53,21,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,3,45600.0,2026-07-01,True
160,53,21,428,PAN BAGUETTE PRECOCIDO x 30un.,3,13300.0,2026-07-01,True
161,54,21,427,CHIPÁ x 5kg*,5,133300.0,2026-07-21,True
162,54,21,435,PAN MIGNON CRUDO CONGELADO x 14kg*,3,35000.0,2026-07-21,True
163,54,21,428,PAN BAGUETTE PRECOCIDO x 30un.,1,13300.0,2026-07-21,True
164,55,22,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,1,18000.0,2026-06-26,True
165,55,22,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,1,45600.0,2026-06-26,True
166,56,22,427,CHIPÁ x 5kg*,5,133300.0,2026-05-14,True
167,56,22,426,FACTURA RECTANGULAR CRUDA CONGELADA,5,69300.0,2026-05-14,True
168,56,22,429,CROISSANT,1,43000.0,2026-05-14,True
169,57,23,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,4,45600.0,2026-05-17,True
170,57,23,422,MEDIALUNA C/ MANTECA SALADA,1,74650.0,2026-05-17,True
171,58,23,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,3,45600.0,2026-05-24,True
172,58,23,427,CHIPÁ x 5kg*,5,133300.0,2026-05-24,True
173,58,23,429,CROISSANT,3,43000.0,2026-05-24,True
174,58,23,415,PAN MIGNON PRECOCIDO X 18un.,1,13300.0,2026-05-24,True
175,59,23,435,PAN MIGNON CRUDO CONGELADO x 14kg*,3,35000.0,2026-04-28,True
176,59,23,425,TORTILLA TUCUMANA x 7.8kg*,4,40200.0,2026-04-28,True
177,59,23,429,CROISSANT,3,43000.0,2026-04-28,True
178,60,24,428,PAN BAGUETTE PRECOCIDO x 30un.,3,13300.0,2026-07-05,True
179,60,24,448,HOJALDRITOS ESPECIALES x 5kg,4,24600.0,2026-07-05,True
180,60,24,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,5,18000.0,2026-07-05,True
181,61,24,425,TORTILLA TUCUMANA x 7.8kg*,5,40200.0,2026-07-29,True
182,61,24,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,5,45600.0,2026-07-29,True
183,61,24,429,CROISSANT,3,43000.0,2026-07-29,True
184,62,25,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,2,45600.0,2026-06-03,True
185,62,25,435,PAN MIGNON CRUDO CONGELADO x 14kg*,1,35000.0,2026-06-03,True
186,62,25,433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,3,12500.0,2026-06-03,True
187,63,25,442,BAGUETTE SALVADO CRUDO CONGELADO x 7kg*,2,19220.0,2026-05-25,True
188,63,25,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,3,18000.0,2026-05-25,True
189,63,25,426,FACTURA RECTANGULAR CRUDA CONGELADA,2,69300.0,2026-05-25,True
190,63,25,415,PAN MIGNON PRECOCIDO X 18un.,2,13300.0,2026-05-25,True
191,64,25,422,MEDIALUNA C/ MANTECA SALADA,4,74650.0,2026-07-11,True
192,64,25,423,CRIOLLO DE HOJALDRE x 11kg*,5,55100.0,2026-07-11,True
193,65,26,442,BAGUETTE SALVADO CRUDO CONGELADO x 7kg*,4,19220.0,2026-06-01,True
194,65,26,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,4,18000.0,2026-06-01,True
195,65,26,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,4,45600.0,2026-06-01,True
196,66,26,442,BAGUETTE SALVADO CRUDO CONGELADO x 7kg*,1,19220.0,2026-06-28,True
197,66,26,421,MEDIALUNA CON MANTECA,4,74650.0,2026-06-28,True
198,67,27,435,PAN MIGNON CRUDO CONGELADO x 14kg*,2,35000.0,2026-07-07,True
199,67,27,430,CHIPACA DE GRASA x 5kg*,1,31400.0,2026-07-07,True
200,67,27,422,MEDIALUNA C/ MANTECA SALADA,4,74650.0,2026-07-07,True
201,67,27,436,PAN TREBOLIN PRECOCIDO x3kg,2,12500.0,2026-07-07,True
202,68,27,435,PAN MIGNON CRUDO CONGELADO x 14kg*,4,35000.0,2026-04-18,True
203,68,27,436,PAN TREBOLIN PRECOCIDO x3kg,5,12500.0,2026-04-18,True
204,68,27,426,FACTURA RECTANGULAR CRUDA CONGELADA,5,69300.0,2026-04-18,True
205,69,28,448,HOJALDRITOS ESPECIALES x 5kg,3,24600.0,2026-05-20,True
206,69,28,433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,2,12500.0,2026-05-20,True
207,69,28,430,CHIPACA DE GRASA x 5kg*,3,31400.0,2026-05-20,True
208,70,28,433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,1,12500.0,2026-04-22,True
209,70,28,423,CRIOLLO DE HOJALDRE x 11kg*,3,55100.0,2026-04-22,True
210,70,28,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,2,45600.0,2026-04-22,True
211,70,28,430,CHIPACA DE GRASA x 5kg*,3,31400.0,2026-04-22,True
212,71,28,436,PAN TREBOLIN PRECOCIDO x3kg,2,12500.0,2026-06-17,True
213,71,28,415,PAN MIGNON PRECOCIDO X 18un.,2,13300.0,2026-06-17,True
214,71,28,443,TREBOLÍN SALVADO CRUDO CONGELADO x 7kg*,4,19220.0,2026-06-17,True
215,72,29,415,PAN MIGNON PRECOCIDO X 18un.,4,13300.0,2026-04-30,True
216,72,29,429,CROISSANT,3,43000.0,2026-04-30,True
217,73,29,429,CROISSANT,4,43000.0,2026-05-21,True
218,73,29,422,MEDIALUNA C/ MANTECA SALADA,4,74650.0,2026-05-21,True
219,73,29,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,5,45600.0,2026-05-21,True
220,74,30,428,PAN BAGUETTE PRECOCIDO x 30un.,3,13300.0,2026-04-23,True
221,74,30,433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,4,12500.0,2026-04-23,True
222,74,30,421,MEDIALUNA CON MANTECA,4,74650.0,2026-04-23,True
223,74,30,427,CHIPÁ x 5kg*,5,133300.0,2026-04-23,True
224,75,30,436,PAN TREBOLIN PRECOCIDO x3kg,2,12500.0,2026-04-25,True
225,75,30,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,3,18000.0,2026-04-25,True
226,75,30,423,CRIOLLO DE HOJALDRE x 11kg*,4,55100.0,2026-04-25,True
227,75,30,433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,4,12500.0,2026-04-25,True
228,76,31,428,PAN BAGUETTE PRECOCIDO x 30un.,2,13300.0,2026-06-10,True
229,76,31,448,HOJALDRITOS ESPECIALES x 5kg,5,24600.0,2026-06-10,True
230,76,31,430,CHIPACA DE GRASA x 5kg*,5,31400.0,2026-06-10,True
231,77,31,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,1,18000.0,2026-07-26,True
232,77,31,442,BAGUETTE SALVADO CRUDO CONGELADO x 7kg*,4,19220.0,2026-07-26,True
233,77,31,421,MEDIALUNA CON MANTECA,2,74650.0,2026-07-26,True
234,78,32,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,3,45600.0,2026-07-06,True
235,78,32,428,PAN BAGUETTE PRECOCIDO x 30un.,2,13300.0,2026-07-06,True
236,79,32,426,FACTURA RECTANGULAR CRUDA CONGELADA,4,69300.0,2026-06-01,True
237,79,32,428,PAN BAGUETTE PRECOCIDO x 30un.,3,13300.0,2026-06-01,True
238,79,32,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,1,45600.0,2026-06-01,True
239,80,32,436,PAN TREBOLIN PRECOCIDO x3kg,3,12500.0,2026-05-30,True
240,80,32,422,MEDIALUNA C/ MANTECA SALADA,2,74650.0,2026-05-30,True
241,81,33,422,MEDIALUNA C/ MANTECA SALADA,1,74650.0,2026-04-21,True
242,81,33,421,MEDIALUNA CON MANTECA,5,74650.0,2026-04-21,True
243,81,33,423,CRIOLLO DE HOJALDRE x 11kg*,2,55100.0,2026-04-21,True
244,81,33,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,2,45600.0,2026-04-21,True
245,82,33,422-MIX,FACTURA MIXTA,4,64200.0,2026-07-13,True
246,82,33,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,3,18000.0,2026-07-13,True
247,82,33,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,3,45600.0,2026-07-13,True
248,83,34,422-MIX,FACTURA MIXTA,5,64200.0,2026-05-13,True
249,83,34,448,HOJALDRITOS ESPECIALES x 5kg,1,24600.0,2026-05-13,True
250,83,34,425,TORTILLA TUCUMANA x 7.8kg*,3,40200.0,2026-05-13,True
251,83,34,442,BAGUETTE SALVADO CRUDO CONGELADO x 7kg*,5,19220.0,2026-05-13,True
252,84,34,428,PAN BAGUETTE PRECOCIDO x 30un.,5,13300.0,2026-05-04,True
253,84,34,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,2,45600.0,2026-05-04,True
254,84,34,415,PAN MIGNON PRECOCIDO X 18un.,1,13300.0,2026-05-04,True
255,85,35,422-MIX,FACTURA MIXTA,5,64200.0,2026-05-03,True
256,85,35,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,4,18000.0,2026-05-03,True
257,85,35,422,MEDIALUNA C/ MANTECA SALADA,3,74650.0,2026-05-03,True
258,85,35,427,CHIPÁ x 5kg*,1,133300.0,2026-05-03,True
259,86,35,426,FACTURA RECTANGULAR CRUDA CONGELADA,1,69300.0,2026-05-26,True
260,86,35,421,MEDIALUNA CON MANTECA,4,74650.0,2026-05-26,True
261,86,35,429,CROISSANT,3,43000.0,2026-05-26,True
262,86,35,433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,4,12500.0,2026-05-26,True
263,87,35,429,CROISSANT,5,43000.0,2026-04-30,True
264,87,35,448,HOJALDRITOS ESPECIALES x 5kg,3,24600.0,2026-04-30,True
265,88,36,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,2,18000.0,2026-05-31,True
266,88,36,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,1,45600.0,2026-05-31,True
267,88,36,426,FACTURA RECTANGULAR CRUDA CONGELADA,3,69300.0,2026-05-31,True
268,89,36,430,CHIPACA DE GRASA x 5kg*,5,31400.0,2026-06-02,True
269,89,36,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,4,18000.0,2026-06-02,True
270,90,36,433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,2,12500.0,2026-06-16,True
271,90,36,426,FACTURA RECTANGULAR CRUDA CONGELADA,4,69300.0,2026-06-16,True
272,91,37,426,FACTURA RECTANGULAR CRUDA CONGELADA,5,69300.0,2026-06-14,True
273,91,37,424,CRIOLLO COMÚN HEXAGONAL x 11kg*,1,45600.0,2026-06-14,True
274,91,37,441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,5,18000.0,2026-06-14,True
275,92,37,423,CRIOLLO DE HOJALDRE x 11kg*,4,55100.0,2026-07-05,True
276,92,37,429,CROISSANT,5,43000.0,2026-07-05,True
277,93,38,442,BAGUETTE SALVADO CRUDO CONGELADO x 7kg*,1,19220.0,2026-05-02,True
278,93,38,433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,1,12500.0,2026-05-02,True
279,93,38,430,CHIPACA DE GRASA x 5kg*,3,31400.0,2026-05-02,True
280,94,38,423,CRIOLLO DE HOJALDRE x 11kg*,3,55100.0,2026-07-01,True
281,94,38,425,TORTILLA TUCUMANA x 7.8kg*,4,40200.0,2026-07-01,True
282,94,38,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,5,18000.0,2026-07-01,True
283,95,39,436,PAN TREBOLIN PRECOCIDO x3kg,3,12500.0,2026-06-05,True
284,95,39,426,FACTURA RECTANGULAR CRUDA CONGELADA,3,69300.0,2026-06-05,True
285,95,39,427,CHIPÁ x 5kg*,3,133300.0,2026-06-05,True
286,95,39,430,CHIPACA DE GRASA x 5kg*,2,31400.0,2026-06-05,True
287,96,39,449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,2,45600.0,2026-07-14,True
288,96,39,426,FACTURA RECTANGULAR CRUDA CONGELADA,2,69300.0,2026-07-14,True
289,96,39,422-MIX,FACTURA MIXTA,2,64200.0,2026-07-14,True
290,96,39,436,PAN TREBOLIN PRECOCIDO x3kg,4,12500.0,2026-07-14,True
291,97,39,440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,2,18000.0,2026-06-24,True
292,97,39,435,PAN MIGNON CRUDO CONGELADO x 14kg*,3,35000.0,2026-06-24,True
293,97,39,425,TORTILLA TUCUMANA x 7.8kg*,2,40200.0,2026-06-24,True
294,97,39,422-MIX,FACTURA MIXTA,3,64200.0,2026-06-24,True
295,98,40,436,PAN TREBOLIN PRECOCIDO x3kg,3,12500.0,2026-06-21,True
296,98,40,443,TREBOLÍN SALVADO CRUDO CONGELADO x 7kg*,1,19220.0,2026-06-21,True
297,99,40,425,TORTILLA TUCUMANA x 7.8kg*,1,40200.0,2026-07-23,True
