id,codigo,nombre,razon_social,phone_number,direccion,vendedor,lista_precios_id,cuit,activo_ai,is_mock
34,1034,Supermercado San Martín,Supermercado San Martín S.R.L.,5493547490034,"Av. Belgrano 610, Alta Gracia, Córdoba",Martin Peralta,2,30-71000034-9,True,True
35,1035,Bar de la Estación,Bar de la Estación S.R.L.,5493547490035,"Av. Belgrano 625, Alta Gracia, Córdoba",Sofía Rossi,1,30-71000035-9,True,True
36,1036,Parador VGB,Parador VGB S.R.L.,5493547490036,"Av. Belgrano 640, Alta Gracia, Córdoba",Carlos Gómez,3,30-71000036-9,True,True
37,1037,Panadería El Artesano,Panadería El Artesano S.R.L.,5493547490037,"Av. Belgrano 655, Alta Gracia, Córdoba",Martin Peralta,1,30-71000037-9,True,True
38,1038,Despensa El Cruce,Despensa El Cruce S.R.L.,5493547490038,"Av. Belgrano 670, Alta Gracia, Córdoba",Sofía Rossi,2,30-71000038-9,True,True
39,1039,Café Avenida,Café Avenida S.R.L.,5493547490039,"Av. Belgrano 685, Alta Gracia, Córdoba",Carlos Gómez,1,30-71000039-9,True,True
40,1040,Panadería Los Criollos,Panadería Los Criollos S.R.L.,5493547490040,"Av. Belgrano 700, Alta Gracia, Córdoba",Martin Peralta,2,30-71000040-9,True,True
41,0,Panadería San Antonio,Panadería San Antonio S.R.L.,5493547490041,"Av. Belgrano 715, Alta Gracia, Córdoba",Sofía Rossi,1,30-71000041-9,True,True
42,0,Café Los Álamos,Café Los Álamos S.R.L.,5493547490042,"Av. Belgrano 730, Alta Gracia, Córdoba",Carlos Gómez,3,30-71000042-9,True,True
43,0,Minimarket Belgrano,Minimarket Belgrano S.R.L.,5493547490043,"Av. Belgrano 745, Alta Gracia, Córdoba",Martin Peralta,1,30-71000043-9,True,True
44,0,Parador El Candil,Parador El Candil S.R.L.,5493547490044,"Av. Belgrano 760, Alta Gracia, Córdoba",Sofía Rossi,2,30-71000044-9,True,True
45,0,Panadería La Cabaña,Panadería La Cabaña S.R.L.,5493547490045,"Av. Belgrano 775, Alta Gracia, Córdoba",Carlos Gómez,1,30-71000045-9,True,True
46,0,Cafetería La Catedral,Cafetería La Catedral S.R.L.,5493547490046,"Av. Belgrano 790, Alta Gracia, Córdoba",Martin Peralta,2,30-71000046-9,True,True
47,0,Despensa El Carmen,Despensa El Carmen S.R.L.,5493547490047,"Av. Belgrano 805, Alta Gracia, Córdoba",Sofía Rossi,1,30-71000047-9,True,True
48,0,Buffet YPF Sierras,Buffet YPF Sierras S.R.L.,5493547490048,"Av. Belgrano 820, Alta Gracia, Córdoba",Carlos Gómez,3,30-71000048-9,True,True
49,0,Panadería El Trigo de Oro,Panadería El Trigo de Oro S.R.L.,5493547490049,"Av. Belgrano 835, Alta Gracia, Córdoba",Martin Peralta,1,30-71000049-9,True,True
50,0,Café Colonial,Café Colonial S.R.L.,5493547490050,"Av. Belgrano 850, Alta Gracia, Córdoba",Sofía Rossi,2,30-71000050-9,True,True
