pedido_ref,cliente_codigo,fecha,estado,total,notas,is_mock,es_pedido_abierto
PED-H-00019,25007,2026-05-07T17:27:00,confirmado,78974.39999999999599822331220,Pedido histórico mock,true,false
PED-H-00020,25007,2026-05-23T13:28:00,facturado,151869.7799999999924693838694,Pedido histórico mock,true,false
PED-H-00021,25007,2026-05-15T11:00:00,facturado,12770.23999999999978172127157,Pedido histórico mock,true,false
PED-H-00022,25008,2026-03-09T08:55:00,confirmado,119512.0699999999960709828883,Pedido histórico mock,true,false
PED-H-00023,25008,2026-03-17T17:36:00,entregado,113508.2200000000002546585165,Pedido histórico mock,true,false
PED-H-00024,25008,2026-04-22T15:55:00,entregado,4278.319999999999708961695433,Pedido histórico mock,true,false
PED-H-00025,25009,2026-04-13T09:15:00,entregado,82380.45999999999912688508630,Pedido histórico mock,true,false
PED-H-00026,25009,2026-03-24T12:29:00,facturado,264943.2499999999854480847716,Pedido histórico mock,true,false
PED-H-00027,25009,2026-05-23T16:53:00,facturado,12731.89999999999963620211929,Pedido histórico mock,true,false
PED-H-00028,25010,2026-04-22T15:30:00,facturado,117494.2800000000061118043959,Pedido histórico mock,true,false
PED-H-00029,25010,2026-04-19T12:59:00,facturado,238749.0999999999949068296700,Pedido histórico mock,true,false
PED-H-00030,25010,2026-05-14T16:03:00,facturado,189129.0100000000020372681320,Pedido histórico mock,true,false
PED-H-00031,25011,2026-03-08T16:05:00,entregado,32863.93999999999869032762945,Pedido histórico mock,true,false
PED-H-00032,25011,2026-03-16T17:15:00,entregado,16566.79000000000087311491370,Pedido histórico mock,true,false
PED-H-00033,25011,2026-05-24T17:36:00,facturado,148236.3100000000067666405812,Pedido histórico mock,true,false
PED-H-00034,25012,2026-05-25T18:19:00,confirmado,216644.9199999999964347807691,Pedido histórico mock,true,false
PED-H-00035,25012,2026-03-28T16:16:00,entregado,77182.84000000000378349795937,Pedido histórico mock,true,false
PED-H-00036,25012,2026-03-21T15:53:00,facturado,101825.9500000000025465851650,Pedido histórico mock,true,false
PED-H-00037,25013,2026-04-03T09:56:00,entregado,27545.91999999999825377017260,Pedido histórico mock,true,false
PED-H-00038,25013,2026-04-06T17:13:00,facturado,200825.8699999999989813659340,Pedido histórico mock,true,false
PED-H-00039,25013,2026-03-12T18:27:00,confirmado,129245.9000000000023646862246,Pedido histórico mock,true,false
PED-H-00040,25014,2026-04-26T16:45:00,confirmado,287704.7199999999902502167970,Pedido histórico mock,true,false
PED-H-00041,25014,2026-05-10T10:27:00,entregado,57657.32999999999447027221322,Pedido histórico mock,true,false
PED-H-00042,25014,2026-03-27T18:15:00,entregado,59536.94999999999708961695433,Pedido histórico mock,true,false
PED-H-00043,25015,2026-05-19T10:59:00,facturado,43040.73000000000320142135024,Pedido histórico mock,true,false
PED-H-00044,25015,2026-04-12T14:51:00,facturado,34112.99000000000160071067512,Pedido histórico mock,true,false
PED-H-00045,25015,2026-04-30T11:12:00,entregado,151257.9299999999930150806904,Pedido histórico mock,true,false
PED-H-00046,25016,2026-03-09T12:22:00,facturado,71472.76999999999816282070242,Pedido histórico mock,true,false
PED-H-00047,25016,2026-03-14T17:27:00,confirmado,152755.4400000000059662852436,Pedido histórico mock,true,false
PED-H-00048,25016,2026-03-25T12:02:00,confirmado,169776.6699999999982537701726,Pedido histórico mock,true,false
PED-H-00049,25017,2026-04-10T18:54:00,entregado,25166.59999999999854480847716,Pedido histórico mock,true,false
PED-H-00050,25017,2026-05-25T14:20:00,confirmado,190572.2500000000018189894035,Pedido histórico mock,true,false
PED-H-00051,25017,2026-04-08T14:35:00,facturado,61935.72000000000480213202536,Pedido histórico mock,true,false
PED-H-00052,25018,2026-04-25T17:38:00,confirmado,187002.3199999999997089616954,Pedido histórico mock,true,false
PED-H-00053,25018,2026-03-11T12:32:00,facturado,64421.31999999999970896169544,Pedido histórico mock,true,false
PED-H-00054,25018,2026-03-06T11:30:00,confirmado,105126.6399999999994179233909,Pedido histórico mock,true,false
PED-H-00055,25019,2026-05-13T11:45:00,facturado,79959.49000000000160071067512,Pedido histórico mock,true,false
PED-H-00056,25019,2026-05-29T16:29:00,facturado,43807.22000000000116415321827,Pedido histórico mock,true,false
PED-H-00057,25019,2026-04-28T10:51:00,confirmado,141348.2499999999963620211929,Pedido histórico mock,true,false
PED-H-00058,25020,2026-04-27T10:47:00,entregado,142121.6000000000058207660914,Pedido histórico mock,true,false
PED-H-00059,25020,2026-04-26T09:45:00,facturado,123951.8299999999935607775114,Pedido histórico mock,true,false
PED-H-00060,25020,2026-03-20T11:24:00,entregado,73531.39999999999781721271574,Pedido histórico mock,true,false
PED-H-00061,25021,2026-05-09T15:26:00,entregado,71901.63999999999941792339087,Pedido histórico mock,true,false
PED-H-00062,25021,2026-05-14T08:54:00,confirmado,141797.7299999999995634425432,Pedido histórico mock,true,false
PED-H-00063,25021,2026-03-29T15:14:00,confirmado,191080.7199999999938881956041,Pedido histórico mock,true,false
PED-H-00064,25022,2026-03-22T15:58:00,confirmado,58654.93000000000211002770812,Pedido histórico mock,true,false
PED-H-00065,25022,2026-05-12T18:01:00,entregado,35830.54000000000087311491370,Pedido histórico mock,true,false
PED-H-00066,25022,2026-03-24T08:16:00,facturado,240347.3799999999901046976448,Pedido histórico mock,true,false
PED-H-00067,25023,2026-04-30T08:47:00,confirmado,20018.22000000000116415321827,Pedido histórico mock,true,false
PED-H-00068,25023,2026-03-09T18:02:00,facturado,22391.18000000000029103830457,Pedido histórico mock,true,false
PED-H-00069,25023,2026-05-19T10:15:00,entregado,43034.88000000000101863406599,Pedido histórico mock,true,false
PED-H-00070,25024,2026-05-29T12:49:00,confirmado,52432.84000000000287400325761,Pedido histórico mock,true,false
PED-H-00071,25024,2026-03-04T12:36:00,facturado,203145.9199999999900683178566,Pedido histórico mock,true,false
PED-H-00072,25024,2026-05-12T08:22:00,entregado,155450.7600000000011277734302,Pedido histórico mock,true,false
PED-H-00073,25025,2026-04-16T18:57:00,entregado,295482.3399999999928695615381,Pedido histórico mock,true,false
PED-H-00074,25025,2026-04-25T17:17:00,confirmado,98715.84000000000560248736293,Pedido histórico mock,true,false
PED-H-00075,25025,2026-05-18T18:24:00,entregado,111653.8400000000037834979594,Pedido histórico mock,true,false
PED-H-00076,25026,2026-04-03T13:17:00,confirmado,105451.2799999999988358467817,Pedido histórico mock,true,false
PED-H-00077,25026,2026-04-22T15:35:00,facturado,48711.94999999999708961695433,Pedido histórico mock,true,false
PED-H-00078,25026,2026-04-07T11:25:00,confirmado,48787.23999999999796273186803,Pedido histórico mock,true,false
PED-H-00079,25027,2026-05-07T13:27:00,facturado,127429.5099999999929423211142,Pedido histórico mock,true,false
PED-H-00080,25027,2026-03-25T13:07:00,confirmado,130720.7400000000016007106751,Pedido histórico mock,true,false
PED-H-00081,25027,2026-05-15T16:38:00,entregado,73287.62000000000261934474111,Pedido histórico mock,true,false
PED-H-00082,25028,2026-03-02T16:08:00,facturado,106764.0199999999977080733515,Pedido histórico mock,true,false
PED-H-00083,25028,2026-03-02T17:18:00,facturado,81660.65999999999894498614594,Pedido histórico mock,true,false
PED-H-00084,25028,2026-04-21T15:04:00,confirmado,26483.45999999999912688508630,Pedido histórico mock,true,false
PED-H-00085,25029,2026-04-08T09:15:00,confirmado,97349.36000000000058207660913,Pedido histórico mock,true,false
PED-H-00086,25029,2026-05-16T17:14:00,facturado,165086.3100000000013096723706,Pedido histórico mock,true,false
PED-H-00087,25029,2026-05-18T09:48:00,facturado,57601.97999999999956344254315,Pedido histórico mock,true,false
PED-H-00088,25030,2026-03-31T10:35:00,entregado,7320.840000000000145519152284,Pedido histórico mock,true,false
PED-H-00089,25030,2026-04-27T17:30:00,confirmado,128464.0899999999955980456434,Pedido histórico mock,true,false
PED-H-00090,25030,2026-03-30T12:50:00,confirmado,137448.9899999999979627318681,Pedido histórico mock,true,false
PED-H-00091,25031,2026-03-20T12:52:00,confirmado,91595.85000000000582076609134,Pedido histórico mock,true,false
PED-H-00092,25031,2026-05-12T12:28:00,confirmado,13115.40000000000054569682106,Pedido histórico mock,true,false
PED-H-00093,25031,2026-04-21T12:32:00,facturado,209748.9799999999977444531396,Pedido histórico mock,true,false
PED-H-00094,25032,2026-03-12T11:43:00,facturado,52868.05000000000291038304567,Pedido histórico mock,true,false
PED-H-00095,25032,2026-03-23T15:33:00,entregado,112116.2199999999975261744112,Pedido histórico mock,true,false
PED-H-00096,25032,2026-04-12T13:42:00,entregado,16233.18000000000120053300634,Pedido histórico mock,true,false
PED-H-00097,25033,2026-05-28T15:18:00,entregado,151823.3699999999998908606358,Pedido histórico mock,true,false
PED-H-00098,25033,2026-05-05T08:42:00,facturado,183836.8299999999981082510203,Pedido histórico mock,true,false
PED-H-00099,25033,2026-03-27T12:35:00,facturado,55365.60999999999694409780205,Pedido histórico mock,true,false
PED-H-00100,25034,2026-05-20T17:51:00,confirmado,47188.55000000000109139364213,Pedido histórico mock,true,false
PED-H-00101,25034,2026-04-22T09:14:00,confirmado,7065.189999999999599822331220,Pedido histórico mock,true,false
PED-H-00102,25034,2026-03-20T15:59:00,entregado,165151.6999999999970896169544,Pedido histórico mock,true,false
PED-H-00103,25035,2026-05-10T10:24:00,entregado,35894.72999999999956344254315,Pedido histórico mock,true,false
PED-H-00104,25035,2026-04-23T13:59:00,facturado,167948.4600000000073123374023,Pedido histórico mock,true,false
PED-H-00105,25035,2026-04-27T16:30:00,facturado,108616.0100000000002182787284,Pedido histórico mock,true,false
PED-H-00106,25036,2026-05-29T11:36:00,entregado,193372.6599999999871215550229,Pedido histórico mock,true,false
PED-H-00107,25036,2026-03-05T10:32:00,entregado,42171.39999999999963620211929,Pedido histórico mock,true,false
PED-H-00108,25036,2026-05-23T10:04:00,entregado,176389.0100000000020372681320,Pedido histórico mock,true,false
PED-H-00109,25037,2026-05-20T15:55:00,facturado,18407.54999999999927240423858,Pedido histórico mock,true,false
PED-H-00110,25037,2026-05-20T18:58:00,facturado,89662.31000000000040017766878,Pedido histórico mock,true,false
PED-H-00111,25037,2026-05-28T12:57:00,facturado,61297.41000000000349245965481,Pedido histórico mock,true,false
PED-H-00112,25038,2026-04-07T13:23:00,facturado,122702.0499999999965439201333,Pedido histórico mock,true,false
PED-H-00113,25038,2026-05-18T14:39:00,entregado,50290.47999999999592546373606,Pedido histórico mock,true,false
PED-H-00114,25038,2026-05-21T12:29:00,entregado,97734.54000000000087311491370,Pedido histórico mock,true,false
PED-H-00115,25039,2026-04-14T17:19:00,entregado,173677.4199999999946157913655,Pedido histórico mock,true,false
PED-H-00116,25039,2026-05-13T13:36:00,confirmado,130158.1700000000037107383832,Pedido histórico mock,true,false
PED-H-00117,25039,2026-03-07T17:47:00,confirmado,146401.5299999999951978679747,Pedido histórico mock,true,false
PED-H-00118,25040,2026-05-24T18:53:00,entregado,48395.38000000000283762346953,Pedido histórico mock,true,false
PED-H-00119,25040,2026-03-05T17:23:00,facturado,33346.46000000000003637978807,Pedido histórico mock,true,false
PED-H-00120,25040,2026-03-26T10:50:00,entregado,145538.0899999999892315827310,Pedido histórico mock,true,false
PED-H-00121,0,2026-04-13T09:29:00,confirmado,73557.19999999999708961695433,Pedido histórico mock,true,false
PED-H-00122,0,2026-05-26T14:54:00,entregado,142025.6900000000005093170329,Pedido histórico mock,true,false
PED-H-00123,0,2026-04-17T18:47:00,entregado,72342.38999999999941792339086,Pedido histórico mock,true,false
PED-H-00124,0,2026-03-04T17:56:00,facturado,166087.1400000000030559021980,Pedido histórico mock,true,false
PED-H-00125,0,2026-03-18T08:02:00,entregado,119044.9099999999962165020406,Pedido histórico mock,true,false
PED-H-00126,0,2026-04-28T13:42:00,facturado,166657.8699999999880674295127,Pedido histórico mock,true,false
PED-H-00127,0,2026-05-28T13:13:00,entregado,262034.4400000000005093170330,Pedido histórico mock,true,false
PED-H-00128,0,2026-04-05T11:07:00,facturado,81256.45000000000254658516497,Pedido histórico mock,true,false
PED-H-00129,0,2026-05-12T11:04:00,facturado,69459.53999999999723513610661,Pedido histórico mock,true,false
PED-H-00130,0,2026-05-16T08:17:00,facturado,49267.59999999999854480847716,Pedido histórico mock,true,false
PED-H-00131,0,2026-05-24T08:08:00,confirmado,18906.09999999999854480847716,Pedido histórico mock,true,false
PED-H-00132,0,2026-04-11T08:11:00,entregado,30597.44000000000096406438388,Pedido histórico mock,true,false
PED-H-00133,0,2026-04-27T13:32:00,facturado,30718.20000000000163709046319,Pedido histórico mock,true,false
PED-H-00134,0,2026-05-18T08:46:00,confirmado,298171.7599999999802093952894,Pedido histórico mock,true,false
PED-H-00135,0,2026-03-14T15:45:00,confirmado,102364.0200000000004365574569,Pedido histórico mock,true,false
PED-H-00136,0,2026-05-21T17:35:00,confirmado,151648.4899999999961437424645,Pedido histórico mock,true,false
PED-H-00137,0,2026-04-25T09:50:00,entregado,31677.79999999999927240423858,Pedido histórico mock,true,false
PED-H-00138,0,2026-04-27T11:26:00,entregado,79666.45999999999912688508630,Pedido histórico mock,true,false
PED-H-00139,0,2026-05-25T12:23:00,facturado,26716.09999999999854480847716,Pedido histórico mock,true,false
PED-H-00140,0,2026-04-25T09:47:00,entregado,269466.2000000000080035533756,Pedido histórico mock,true,false
PED-H-00141,0,2026-05-25T09:26:00,facturado,132952.3799999999928331817500,Pedido histórico mock,true,false
PED-H-00142,0,2026-05-13T16:13:00,confirmado,64712.08999999999468855094165,Pedido histórico mock,true,false
PED-H-00143,0,2026-04-17T09:48:00,confirmado,229151.2499999999909050529822,Pedido histórico mock,true,false
PED-H-00144,0,2026-05-22T16:01:00,facturado,119242.8299999999921965354588,Pedido histórico mock,true,false
PED-H-00145,0,2026-03-24T10:36:00,entregado,261992.6399999999885039869696,Pedido histórico mock,true,false
PED-H-00146,0,2026-04-28T13:10:00,facturado,72674.09000000000378349795937,Pedido histórico mock,true,false
PED-H-00147,0,2026-03-21T17:03:00,confirmado,83929.44000000000232830643654,Pedido histórico mock,true,false
PED-H-00148,0,2026-04-24T15:38:00,entregado,195943.0499999999956344254314,Pedido histórico mock,true,false
PED-H-00149,0,2026-05-26T18:37:00,facturado,102397.1199999999989813659340,Pedido histórico mock,true,false
PED-H-00150,0,2026-04-08T11:49:00,facturado,53500.75999999999839928932488,Pedido histórico mock,true,false
PED-A-00001,25001,2026-06-16T11:28:05.879277,pendiente,124144.2399999999978172127157,Pedido abierto con promoción de Coca-Cola aplicada,true,true
PED-A-00002,25002,2026-06-16T11:28:05.879277,abierto,60650.00,Pedido activo pendiente,true,true
PED-A-00003,25003,2026-06-16T11:28:05.879277,abierto,115665.4699999999993451638147,Pedido activo pendiente,true,true
PED-A-00004,25004,2026-06-16T11:28:05.879277,pendiente,234774.6799999999930150806903,Pedido activo pendiente,true,true
PED-A-00005,25005,2026-06-16T11:28:05.879277,abierto,21930.88999999999941792339087,Pedido activo pendiente,true,true
PED-A-00006,25006,2026-06-16T11:28:05.879277,pendiente,287692.0799999999817373463884,Pedido activo pendiente,true,true
PED-A-00007,25007,2026-06-16T11:28:05.879277,abierto,79041.90999999999894498614594,Pedido activo pendiente,true,true
