product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja,es_pesable,sku_origen,nota_sku
PAN-PAN-01810,FACTURAS INDEPENDENCIA SIN CREMA,38200,250,1,unidad,unidad,Panificados,Panificados Pasteleria,CORDOBA PAN,Caja,FACTURAS INDEPENDENCIA SIN CREMA|CORDOBA PAN|Panificados Pasteleria,0.82,0.0,"Factura congelada FACTURAS INDEPENDENCIA SIN CREMA, marca CORDOBA PAN, categoría Panificados Pasteleria, presentación de catálogo.",,true,false,Productos | General,false,PAN-PAN-01810,
PAN-COR-01964,Mini Criollo de Hojaldre x384u,54600,250,384,unidad,unidad,Panificados,Panificados Bizcocheria,CORDOBA PAN,Caja,Mini Criollo de Hojaldre x384u|CORDOBA PAN|Panificados Bizcocheria|Mini Criollo de Hojaldre|caja|bulto|caja x384,0.82,0.0,"Criollo congelado, Mini Criollo de Hojaldre x384u, marca CORDOBA PAN, x384 unidades.",,true,false,Productos | General,false,PAN-COR-01964,
PAN-PAN-01812,Pan de Molde blanco caja x 6 unidades x 540 gr,26600,250,6,unidad,unidad,Panificados,Panificados Panaderia,CORDOBA PAN,Unidad,Pan de Molde blanco caja x 6 unidades x 540 gr|CORDOBA PAN|Panificados Panaderia|Pan de Molde blanco x 6 unidades x 540 gr|caja|bulto|caja x6,0.82,0.0,"Pan congelado, Pan de Molde blanco caja x 6 unidades x 540 gr, marca CORDOBA PAN, 540 gr, x6 unidades.",,true,false,Productos | General,false,-PAN-01812,sanitizado_desde:-PAN-01812
PAN-COR-01878,Pan de Molde Multiceral caja x 6 un x 540 gr,26600,250,6,unidad,unidad,Panificados,Panificados Panaderia,CORDOBA PAN,Caja,Pan de Molde Multiceral caja x 6 un x 540 gr|CORDOBA PAN|Panificados Panaderia|Pan de Molde Multiceral x 6 un x 540 gr|caja|bulto|caja x6,0.82,0.0,"Pan congelado, Pan de Molde Multiceral caja x 6 un x 540 gr, marca CORDOBA PAN, 540 gr, x6 unidades.",,true,false,Productos | General,false,PAN-COR-01878,
PAN-PAN-01793,Pan Frances Crudo Congelado caja x14kg,30600,250,1,unidad,unidad,Panificados,Panificados Panaderia,CORDOBA PAN,Caja,Pan Frances Crudo Congelado caja x14kg|CORDOBA PAN|Panificados Panaderia|Pan Frances Crudo x14kg,0.82,0.0,"Pan congelado, Pan Frances Crudo Congelado caja x14kg, marca CORDOBA PAN, 14kg.",,true,false,Productos | General,false,PAN-PAN-01793,
PAN-COR-20001,Pan Mignon Crudo Congelado caja x14kg,31800,250,1,unidad,unidad,Panificados,Panificados Panaderia,CORDOBA PAN,Caja,Pan Mignon Crudo Congelado caja x14kg|CORDOBA PAN|Panificados Panaderia|Pan Mignon Crudo x14kg,0.82,0.0,"Pan congelado, Pan Mignon Crudo Congelado caja x14kg, marca CORDOBA PAN, 14kg.",,true,false,Productos | General,false,PAN-PAN-01793,duplicado_excel:PAN-PAN-01793
PAN-PAN-01813,Pan Molde Salvado caja x 6 unid x 540 gr,26600,250,6,unidad,unidad,Panificados,Panificados Panaderia,CORDOBA PAN,Caja,Pan Molde Salvado caja x 6 unid x 540 gr|CORDOBA PAN|Panificados Panaderia|Pan Molde Salvado x 6 unid x 540 gr|caja|bulto|caja x6,0.82,0.0,"Pan congelado, Pan Molde Salvado caja x 6 unid x 540 gr, marca CORDOBA PAN, 540 gr, x6 unidades.",,true,false,Productos | General,false,-PAN-01813,sanitizado_desde:-PAN-01813
PAN-PAN-01744,Super Criollo Hojaldre 65grs 120u.,32100,250,120,unidad,unidad,Panificados,Panificados Bizcocheria,CORDOBA PAN,Caja,Super Criollo Hojaldre 65grs 120u.|CORDOBA PAN|Panificados Bizcocheria|caja|bulto|caja x120,0.82,0.0,"Criollo congelado, Super Criollo Hojaldre 65grs 120u, marca CORDOBA PAN, 65g, x120 unidades.",,true,false,Productos | General,false,PAN-PAN-01744,
PAN-PAN-01730,Super Medialuna de Manteca 50grs 120u.,38200,250,120,unidad,unidad,Panificados,Panificados Medialunas y Facturas,CORDOBA PAN,Caja,Super Medialuna de Manteca 50grs 120u.|CORDOBA PAN|Panificados Medialunas y Facturas|caja|bulto|caja x120|medialuna|medialunas,0.82,0.0,"Medialuna congelada, Super Medialuna de Manteca 50grs 120u, marca CORDOBA PAN, 50g, x120 unidades.",,true,false,Productos | General,false,PAN-PAN-01730,
PAN-PAN-01729,Tortilla de Hojaldre 50grs 200u.,41100,250,200,unidad,unidad,Panificados,Panificados Bizcocheria,CORDOBA PAN,Caja,Tortilla de Hojaldre 50grs 200u.|CORDOBA PAN|Panificados Bizcocheria|caja|bulto|caja x200,0.82,0.0,"Producto congelado, Tortilla de Hojaldre 50grs 200u, marca CORDOBA PAN, 50g, x200 unidades.",,true,false,Productos | General,false,PAN-PAN-01729,
PAN-COR-01954,Tortilla Tucumana x 60 gr caja x 160 unidades,41200,250,160,unidad,unidad,Panificados,Panificados Bizcocheria,CORDOBA PAN,Unidad,Tortilla Tucumana x 60 gr caja x 160 unidades|CORDOBA PAN|Panificados Bizcocheria|Tortilla Tucumana x 60 gr x 160 unidades|caja|bulto|caja x160,0.82,0.0,"Producto congelado, Tortilla Tucumana x 60 gr caja x 160 unidades, marca CORDOBA PAN, 60 gr, x160 unidades.",,true,false,Productos | General,false,PAN-COR-01954,
PAN-PAN-01594,Vigilantes x 162u. unidades 40 grs.,40000,250,162,unidad,unidad,Panificados,Panificados Pasteleria,CORDOBA PAN,Unidad,Vigilantes x 162u. unidades 40 grs.|CORDOBA PAN|Panificados Pasteleria|Vigilantes . unidades 40 grs.|caja|bulto|caja x162,0.82,0.0,"Producto congelado, Vigilantes x 162u. unidades 40 grs, marca CORDOBA PAN, 40 g, x162 unidades.",,true,false,Productos | General,false,PAN-PAN-01594,
SIN-CRE-02000,Baguette de Jamon y Queso x unidad,3800,120,1,unidad,unidad,Sin TACC,Sin TACC,CRESFOOD,Unidad,Baguette de Jamon y Queso x unidad|CRESFOOD|Sin TACC,0.62,0.0,"Baguettín congelado, Baguette de Jamon y Queso x unidad, marca CRESFOOD.",,true,false,Productos | General,false,SIN-CRE-02000,
SIN-CRE-01969,Caja Chipa de 25g x 25 bolsas de 10u c/u Sin TACC,140700,120,10,unidad,unidad,Sin TACC,Sin TACC,CRESFOOD,Caja,Caja Chipa de 25g x 25 bolsas de 10u c/u Sin TACC|CRESFOOD|Sin TACC|Chipa de 25g x 25 bolsas de 10u c/u Sin TACC|caja|bulto|caja x10,0.62,0.0,"Chipá congelada, Caja Chipa de 25g x 25 bolsas de 10u c/u Sin TACC, marca CRESFOOD, 25g, x10 unidades.",,true,false,Productos | General,false,SIN-CRE-01969,
SIN-CRE-01971,Chipa x 10u de 25g Sin TACC,6100,120,10,unidad,unidad,Sin TACC,Sin TACC,CRESFOOD,Caja,Chipa x 10u de 25g Sin TACC|CRESFOOD|Sin TACC|Chipa de 25g Sin TACC|caja|bulto|caja x10,0.62,0.0,"Chipá congelada, Chipa x 10u de 25g Sin TACC, marca CRESFOOD, 25g, x10 unidades.",,true,false,Productos | General,false,SIN-CRE-01971,
SIN-CRE-01984,Criollo Cocido de 100g Sin TACC x 5 bolsas de 3u,7700,120,3,unidad,unidad,Sin TACC,Sin TACC,CRESFOOD,Caja,Criollo Cocido de 100g Sin TACC x 5 bolsas de 3u|CRESFOOD|Sin TACC|caja|bulto|caja x3,0.62,0.0,"Criollo congelado, Criollo Cocido de 100g Sin TACC x 5 bolsas de 3u, marca CRESFOOD, 100g, x3 unidades.",,true,false,Productos | General,false,SIN-CRE-01984,
SIN-CRE-02002,Criollo crudo x 30u de 1kg SIN TACC,9500,120,30,unidad,unidad,Sin TACC,Sin TACC,CRESFOOD,Caja,Criollo crudo x 30u de 1kg SIN TACC|CRESFOOD|Sin TACC|Criollo crudo de 1kg SIN TACC|caja|bulto|caja x30,0.62,0.0,"Criollo congelado, Criollo crudo x 30u de 1kg SIN TACC, marca CRESFOOD, 1kg, x30 unidades.",,true,false,Productos | General,false,SIN-CRE-02002,
SIN-CRE-01965,Medialuna Cocida x 2u de 120g CAJA DE 30u Sin TACC,56200,120,2,unidad,unidad,Sin TACC,Sin TACC,CRESFOOD,Caja,Medialuna Cocida x 2u de 120g CAJA DE 30u Sin TACC|CRESFOOD|Sin TACC|Medialuna Cocida de 120g DE 30u Sin TACC|caja|bulto|caja x2|medialuna|medialunas,0.62,0.0,"Medialuna congelada, Medialuna Cocida x 2u de 120g CAJA DE 30u Sin TACC, marca CRESFOOD, 120g, x2 unidades.",,true,false,Productos | General,false,SIN-CRE-01965,
SIN-CRE-01999,Medialuna Cruda de 60g x 12u,7600,120,12,unidad,unidad,Sin TACC,Sin TACC,CRESFOOD,Caja,Medialuna Cruda de 60g x 12u|CRESFOOD|Sin TACC|Medialuna Cruda de 60g|caja|bulto|caja x12|medialuna|medialunas,0.62,0.0,"Medialuna congelada, Medialuna Cruda de 60g x 12u, marca CRESFOOD, 60g, x12 unidades.",,true,false,Productos | General,false,SIN-CRE-01999,
SIN-CRE-01985,Medialunas Cocidas de 120g Sin TACC x 5 bolsas de 2u,9900,120,2,unidad,unidad,Sin TACC,Sin TACC,CRESFOOD,Caja,Medialunas Cocidas de 120g Sin TACC x 5 bolsas de 2u|CRESFOOD|Sin TACC|caja|bulto|caja x2|medialuna|medialunas,0.62,0.0,"Medialuna congelada, Medialunas Cocidas de 120g Sin TACC x 5 bolsas de 2u, marca CRESFOOD, 120g, x2 unidades.",,true,false,Productos | General,false,SIN-CRE-01985,
SIN-CRE-02001,Palmeritas precocidas x12u de 250g SIN TACC,4300,120,12,unidad,unidad,Sin TACC,Sin TACC,CRESFOOD,Caja,Palmeritas precocidas x12u de 250g SIN TACC|CRESFOOD|Sin TACC|Palmeritas precocidas de 250g SIN TACC|caja|bulto|caja x12,0.62,0.0,"Producto sin TACC, Palmeritas precocidas x12u de 250g SIN TACC, marca CRESFOOD, 250g, x12 unidades.",,true,false,Productos | General,false,SIN-CRE-02001,
SIN-CRE-01967,Pan Baguette Jamon y Queso (sandwich) x15 Sin TACC,54000,120,1,unidad,unidad,Sin TACC,Sin TACC,CRESFOOD,Caja,Pan Baguette Jamon y Queso (sandwich) x15 Sin TACC|CRESFOOD|Sin TACC,0.62,0.0,"Baguettín congelado, Pan Baguette Jamon y Queso (sandwich) x15 Sin TACC, marca CRESFOOD.",,true,false,Productos | General,false,SIN-CRE-01967,
SIN-CRE-01966,Pan Baguette x 2u CAJA x30u Sin TACC,48800,120,2,unidad,unidad,Sin TACC,Sin TACC,CRESFOOD,Caja,Pan Baguette x 2u CAJA x30u Sin TACC|CRESFOOD|Sin TACC|Pan Baguette Sin TACC|caja|bulto|caja x2,0.62,0.0,"Baguettín congelado, Pan Baguette x 2u CAJA x30u Sin TACC, marca CRESFOOD, x2 unidades.",,true,false,Productos | General,false,SIN-CRE-01966,
SIN-CRE-20002,Pizza de Muzzarela 4p 400g SIN TACC,8600,120,1,unidad,unidad,Sin TACC,Sin TACC,CRESFOOD,Caja,Pizza de Muzzarela 4p 400g SIN TACC|CRESFOOD|Sin TACC,0.62,0.0,"Pizza congelada, Pizza de Muzzarela 4p 400g SIN TACC, marca CRESFOOD, 400g.",,true,false,Productos | General,false,,generado_sin_codigo_excel
FRU-DRL-01957,Arandanos Congelados x 1kg,16700,120,1,unidad,unidad,Congelados,Frutas Congeladas,DRL Congelados,Caja,Arandanos Congelados x 1kg|DRL Congelados|Frutas Congeladas|Arandanos x 1kg,0.62,0.0,"Fruta congelada, Arandanos Congelados x 1kg, marca DRL Congelados, 1kg.",,true,false,Productos | General,false,FRU-DRL-01957,
REB-DRL-01944,Bocadito de Muzzarela x 5kg,68600,120,1,unidad,unidad,Congelados,Rebozados,DRL Congelados,Caja,Bocadito de Muzzarela x 5kg|DRL Congelados|Rebozados,0.62,0.0,"Producto congelado, Bocadito de Muzzarela x 5kg, marca DRL Congelados, 5kg.",,true,false,Productos | General,false,REB-DRL-01944,
REB-DRL-01943,Filet de Merluza Rom x 6kg,87400,120,1,unidad,unidad,Congelados,Rebozados,DRL Congelados,Caja,Filet de Merluza Rom x 6kg|DRL Congelados|Rebozados,0.62,0.0,"Producto congelado, Filet de Merluza Rom x 6kg, marca DRL Congelados, 6kg.",,true,false,Productos | General,false,REB-DRL-01943,
FRU-DRL-01912,Frutilla Congelada x 1kg,11100,120,1,unidad,unidad,Congelados,Frutas Congeladas,DRL Congelados,Caja,Frutilla Congelada x 1kg|DRL Congelados|Frutas Congeladas|Frutilla x 1kg,0.62,0.0,"Fruta congelada, Frutilla Congelada x 1kg, marca DRL Congelados, 1kg.",,true,false,Productos | General,false,FRU-DRL-01912,
FRU-DRL-01911,Mango Congelado en cubos x 1kg,11600,120,1,unidad,unidad,Congelados,Frutas Congeladas,DRL Congelados,Caja,Mango Congelado en cubos x 1kg|DRL Congelados|Frutas Congeladas|Mango en cubos x 1kg,0.62,0.0,"Fruta congelada, Mango Congelado en cubos x 1kg, marca DRL Congelados, 1kg.",,true,false,Productos | General,false,FRU-DRL-01911,
REB-DRL-01945,Medallon de Merluza Espinaca y Queso x 5kg,35500,120,1,unidad,unidad,Congelados,Rebozados,DRL Congelados,Caja,Medallon de Merluza Espinaca y Queso x 5kg|DRL Congelados|Rebozados,0.62,0.0,"Medallón congelado, Medallon de Merluza Espinaca y Queso x 5kg, marca DRL Congelados, 5kg.",,true,false,Productos | General,false,REB-DRL-01945,
REB-DRL-01946,Medallon de Merluza x5kg,30100,120,1,unidad,unidad,Congelados,Rebozados,DRL Congelados,Caja,Medallon de Merluza x5kg|DRL Congelados|Rebozados,0.62,0.0,"Medallón congelado, Medallon de Merluza x5kg, marca DRL Congelados, 5kg.",,true,false,Productos | General,false,REB-DRL-01946,
REB-DRL-01947,Medallon de Pollo Jamon y Queso x 5 kg,46700,120,1,unidad,unidad,Congelados,Rebozados,DRL Congelados,Kg,Medallon de Pollo Jamon y Queso x 5 kg|DRL Congelados|Rebozados,0.62,0.0,"Medallón congelado, Medallon de Pollo Jamon y Queso x 5 kg, marca DRL Congelados, 5 kg, venta por kg.",,true,false,Productos | General,false,REB-DRL-01947,
REB-DRL-01948,Medallon de Pollo x 5kg,39700,120,1,unidad,unidad,Congelados,Rebozados,DRL Congelados,Caja,Medallon de Pollo x 5kg|DRL Congelados|Rebozados,0.62,0.0,"Medallón congelado, Medallon de Pollo x 5kg, marca DRL Congelados, 5kg.",,true,false,Productos | General,false,REB-DRL-01948,
REB-DRL-01951,Milanesas de Pollo x 5kg,45400,120,1,unidad,unidad,Congelados,Rebozados,DRL Congelados,Caja,Milanesas de Pollo x 5kg|DRL Congelados|Rebozados,0.62,0.0,"Rebozado congelado, Milanesas de Pollo x 5kg, marca DRL Congelados, 5kg.",,true,false,Productos | General,false,REB-DRL-01951,
FRU-DRL-01918,Mix de Frutos Rojos Congelados x 1kg,15400,120,1,unidad,unidad,Congelados,Frutas Congeladas,DRL Congelados,Caja,Mix de Frutos Rojos Congelados x 1kg|DRL Congelados|Frutas Congeladas|Mix de Frutos Rojos x 1kg,0.62,0.0,"Fruta congelada, Mix de Frutos Rojos Congelados x 1kg, marca DRL Congelados, 1kg.",,true,false,Productos | General,false,FRU-DRL-01918,
FRU-DRL-01913,Mix de Frutos Rojos Congelados x400g,8800,120,1,unidad,unidad,Congelados,Frutas Congeladas,DRL Congelados,Caja,Mix de Frutos Rojos Congelados x400g|DRL Congelados|Frutas Congeladas|Mix de Frutos Rojos x400g,0.62,0.0,"Fruta congelada, Mix de Frutos Rojos Congelados x400g, marca DRL Congelados, 400g.",,true,false,Productos | General,false,FRU-DRL-01913,
REB-DRL-01949,Patita de Pollo de Jamon y Queso x 5kg,41800,120,1,unidad,unidad,Congelados,Rebozados,DRL Congelados,Caja,Patita de Pollo de Jamon y Queso x 5kg|DRL Congelados|Rebozados,0.62,0.0,"Producto congelado, Patita de Pollo de Jamon y Queso x 5kg, marca DRL Congelados, 5kg.",,true,false,Productos | General,false,REB-DRL-01949,
REB-DRL-01950,Patita de Pollo x 5kg,35500,120,1,unidad,unidad,Congelados,Rebozados,DRL Congelados,Caja,Patita de Pollo x 5kg|DRL Congelados|Rebozados,0.62,0.0,"Producto congelado, Patita de Pollo x 5kg, marca DRL Congelados, 5kg.",,true,false,Productos | General,false,REB-DRL-01950,
IMP-FRO-01938,Arandanos bañados en chocolare blanco x110grs,4900,60,1,unidad,unidad,Helados,Impulsivos Helados en Vaso,FROST CARGO,Caja,Arandanos bañados en chocolare blanco x110grs|FROST CARGO|Impulsivos Helados en Vaso|helado|helados,0.40,0.0,"Producto congelado, Arandanos bañados en chocolare blanco x110grs, marca FROST CARGO, 110g.",,true,false,Productos | General,false,IMP-FRO-01938,
IMP-FRO-01933,Frambuesas bañadas en chocolate x110grs,4900,60,1,unidad,unidad,Helados,Impulsivos Helados en Vaso,FROST CARGO,Caja,Frambuesas bañadas en chocolate x110grs|FROST CARGO|Impulsivos Helados en Vaso|helado|helados,0.40,0.0,"Producto congelado, Frambuesas bañadas en chocolate x110grs, marca FROST CARGO, 110g.",,true,false,Productos | General,false,IMP-FRO-01933,
IMP-FRO-01939,Frutillas en mitades bañadas en chocolate x110grs,4900,60,1,unidad,unidad,Helados,Impulsivos Helados en Vaso,FROST CARGO,Caja,Frutillas en mitades bañadas en chocolate x110grs|FROST CARGO|Impulsivos Helados en Vaso|helado|helados,0.40,0.0,"Producto congelado, Frutillas en mitades bañadas en chocolate x110grs, marca FROST CARGO, 110g.",,true,false,Productos | General,false,IMP-FRO-01939,
BAL-GAT-01910,Balde helado x 10 litros CHOCOLATE DUBAI,84300,250,1,unidad,unidad,Helados,Baldes x10Lts,GATELIN,Balde,Balde helado x 10 litros CHOCOLATE DUBAI|GATELIN|Baldes x10Lts|balde,0.82,0.0,"Balde de helado, Balde helado x 10 litros CHOCOLATE DUBAI, marca GATELIN.",,true,false,Productos | General,false,BAL-GAT-01910,
BAL-BAL-01253,Balde Helado x10 litros Artesanal Premium Maracuya a la Crema,49600,250,1,unidad,unidad,Helados,Baldes x10Lts,GATELIN,Balde,Balde Helado x10 litros Artesanal Premium Maracuya a la Crema|GATELIN|Baldes x10Lts|balde,0.82,0.0,"Balde de helado, Balde Helado x10 litros Artesanal Premium Maracuya a la Crema, marca GATELIN.",,true,false,Productos | General,false,BAL-BAL-01253,
BAL-BAL-01785,Balde Helado x10 litros Artesanal Premium Alfajor Havana,49600,250,1,unidad,unidad,Helados,Baldes x10Lts,GATELIN,Balde,Balde Helado x10 litros Artesanal Premium Alfajor Havana|GATELIN|Baldes x10Lts|balde,0.82,0.0,"Postre helado, Balde Helado x10 litros Artesanal Premium Alfajor Havana, marca GATELIN.",,true,false,Productos | General,false,BAL-BAL-01785,
BAL-BAL-01246,Balde Helado x10 litros Artesanal Premium Almen. chocolate almendrado,60900,250,1,unidad,unidad,Helados,Baldes x10Lts,GATELIN,Balde,Balde Helado x10 litros Artesanal Premium Almen. chocolate almendrado|GATELIN|Baldes x10Lts|balde,0.82,0.0,"Balde de helado, Balde Helado x10 litros Artesanal Premium Almen. chocolate almendrado, marca GATELIN.",,true,false,Productos | General,false,BAL-BAL-01246,
BAL-BAL-01234,Balde Helado x10 litros Artesanal Premium Anana a la crema,51200,250,1,unidad,unidad,Helados,Baldes x10Lts,GATELIN,Balde,Balde Helado x10 litros Artesanal Premium Anana a la crema|GATELIN|Baldes x10Lts|balde,0.82,0.0,"Balde de helado, Balde Helado x10 litros Artesanal Premium Anana a la crema, marca GATELIN.",,true,false,Productos | General,false,BAL-BAL-01234,
BAL-BAL-01235,Balde Helado x10 litros Artesanal Premium Banana Split,51200,250,1,unidad,unidad,Helados,Baldes x10Lts,GATELIN,Balde,Balde Helado x10 litros Artesanal Premium Banana Split|GATELIN|Baldes x10Lts|balde,0.82,0.0,"Balde de helado, Balde Helado x10 litros Artesanal Premium Banana Split, marca GATELIN.",,true,false,Productos | General,false,BAL-BAL-01235,
BAL-BAL-01245,Balde Helado x10 litros Artesanal Premium Bombon Rocher,60900,250,1,unidad,unidad,Helados,Baldes x10Lts,GATELIN,Balde,Balde Helado x10 litros Artesanal Premium Bombon Rocher|GATELIN|Baldes x10Lts|balde,0.82,0.0,"Postre helado, Balde Helado x10 litros Artesanal Premium Bombon Rocher, marca GATELIN.",,true,false,Productos | General,false,BAL-BAL-01245,
BAL-BAL-01251,Balde Helado x10 litros Artesanal Premium Brownie Super Orense,49600,250,1,unidad,unidad,Helados,Baldes x10Lts,GATELIN,Balde,Balde Helado x10 litros Artesanal Premium Brownie Super Orense|GATELIN|Baldes x10Lts|balde,0.82,0.0,"Balde de helado, Balde Helado x10 litros Artesanal Premium Brownie Super Orense, marca GATELIN.",,true,false,Productos | General,false,BAL-BAL-01251,
BAL-BAL-01237,Balde Helado x10 litros Artesanal Premium Cereza Con trozos,51200,250,1,unidad,unidad,Helados,Baldes x10Lts,GATELIN,Balde,Balde Helado x10 litros Artesanal Premium Cereza Con trozos|GATELIN|Baldes x10Lts|balde,0.82,0.0,"Balde de helado, Balde Helado x10 litros Artesanal Premium Cereza Con trozos, marca GATELIN.",,true,false,Productos | General,false,BAL-BAL-01237,
BAL-BAL-01547,Balde Helado x10 litros Artesanal Premium Chantilly con duraznos,51200,250,1,unidad,unidad,Helados,Baldes x10Lts,GATELIN,Balde,Balde Helado x10 litros Artesanal Premium Chantilly con duraznos|GATELIN|Baldes x10Lts|balde,0.82,0.0,"Balde de helado, Balde Helado x10 litros Artesanal Premium Chantilly con duraznos, marca GATELIN.",,true,false,Productos | General,false,BAL-BAL-01547,
BAL-BAL-01220,Balde Helado x10 litros Artesanal Premium Chocolate,49600,250,1,unidad,unidad,Helados,Baldes x10Lts,GATELIN,Balde,Balde Helado x10 litros Artesanal Premium Chocolate|GATELIN|Baldes x10Lts|balde,0.82,0.0,"Balde de helado, Balde Helado x10 litros Artesanal Premium Chocolate, marca GATELIN.",,true,false,Productos | General,false,BAL-BAL-01220,
BAL-BAL-01238,Balde Helado x10 litros Artesanal Premium Chocolate Suizo,54400,250,1,unidad,unidad,Helados,Baldes x10Lts,GATELIN,Balde,Balde Helado x10 litros Artesanal Premium Chocolate Suizo|GATELIN|Baldes x10Lts|balde,0.82,0.0,"Balde de helado, Balde Helado x10 litros Artesanal Premium Chocolate Suizo, marca GATELIN.",,true,false,Productos | General,false,BAL-BAL-01238,
BAL-BAL-01247,Balde Helado x10 litros Artesanal Premium Chocotorta,54400,250,1,unidad,unidad,Helados,Baldes x10Lts,GATELIN,Balde,Balde Helado x10 litros Artesanal Premium Chocotorta|GATELIN|Baldes x10Lts|balde,0.82,0.0,"Torta helada, Balde Helado x10 litros Artesanal Premium Chocotorta, marca GATELIN.",,true,false,Productos | General,false,BAL-BAL-01247,
