product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
RUG-PAN-002,PAN RALLADO/REBOZADOR 25KG,10000.0,250,1,unidad,unidad,Harinas y Molinería,Pan Rallado y Rebozadores,Distribuidora Ruggeri,Bulto/Bolsa,RUG-PAN-002|PAN RALLADO/REBOZADOR 25KG|Distribuidora Ruggeri Pan Rallado y Rebozadores,0.4,2,PAN RALLADO/REBOZADOR 25KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto/Bolsa.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-PAN-002.png,true,true,tabla_mayoristas.csv
RUG-PAN-003,PAN RALLADO/REBOZADOR 8X1KG,10000.0,250,8,unidad,unidad,Harinas y Molinería,Pan Rallado y Rebozadores,Distribuidora Ruggeri,Bulto x 8,RUG-PAN-003|PAN RALLADO/REBOZADOR 8X1KG|Distribuidora Ruggeri Pan Rallado y Rebozadores,0.4,2,PAN RALLADO/REBOZADOR 8X1KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto x 8.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-PAN-003.webp,true,true,tabla_mayoristas.csv
RUG-HAR-012,MORIXES AREPA 20 X 1 KG,44000.0,250,20,unidad,unidad,Harinas y Molinería,Harinas y Premezclas,Morixe,Bulto x 20,RUG-HAR-012|MORIXES AREPA 20 X 1 KG|Morixe Harinas y Premezclas,0.85,1,MORIXES AREPA 20 X 1 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto x 20.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-HAR-012.webp,true,true,tabla_mayoristas.csv
RUG-GRA-001,GRASA X 25 KG,41172.0,250,1,unidad,unidad,Almacén,Grasas y Aceites,Distribuidora Ruggeri,Bulto/Bolsa,RUG-GRA-001|GRASA X 25 KG|Distribuidora Ruggeri Grasas y Aceites,0.4,2,GRASA X 25 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto/Bolsa.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-GRA-001.webp,true,true,tabla_mayoristas.csv
RUG-GRA-002,OLEOMARGARINA 1 X 20 KG,81328.0,250,1,unidad,unidad,Almacén,Grasas y Aceites,Distribuidora Ruggeri,Bulto/Bolsa,RUG-GRA-002|OLEOMARGARINA 1 X 20 KG|Distribuidora Ruggeri Grasas y Aceites,0.4,2,OLEOMARGARINA 1 X 20 KG. Producto distribuido por Víctor H. Ruggeri en Córdoba. Presentación Bulto/Bolsa.,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/RUG-GRA-002.png,true,true,tabla_mayoristas.csv
LW-807-525,"Lamb Weston Corte Fino 7 mm 5 bls x 2,5 kg",60000.0,300,1,caja,caja,Congelados,Papas Congeladas,Lamb Weston,Caja 12.5 kg,"LW-807-525|Lamb Weston Corte Fino 7 mm 5 bls x 2,5 kg|Lamb Weston 12.5kg",0.9,1,"Lamb Weston Corte Fino 7 mm 5 bls x 2,5 kg. Papas prefritas congeladas Lamb Weston. Presentación caja de 12.5 kg (60 cajas por palet).",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/LW-807-525.jpg,true,true,lamb_weston_mayorista.csv
LW-807-822,"Lamb Weston Corte Fino 7 mm 8 bls x 2,25 kg",86000.0,300,1,caja,caja,Congelados,Papas Congeladas,Lamb Weston,Caja 18 kg,"LW-807-822|Lamb Weston Corte Fino 7 mm 8 bls x 2,25 kg|Lamb Weston 18kg",0.9,1,"Lamb Weston Corte Fino 7 mm 8 bls x 2,25 kg. Papas prefritas congeladas Lamb Weston. Presentación caja de 18 kg (48 cajas por palet).",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/LW-807-822.webp,true,true,lamb_weston_mayorista.csv
LW-809-625,"Lamb Weston Corte Tradicional 9 mm 6 bls x 2,5 kg",65000.0,300,1,caja,caja,Congelados,Papas Congeladas,Lamb Weston,Caja 15 kg,"LW-809-625|Lamb Weston Corte Tradicional 9 mm 6 bls x 2,5 kg|Lamb Weston 15kg",0.9,1,"Lamb Weston Corte Tradicional 9 mm 6 bls x 2,5 kg. Papas prefritas congeladas Lamb Weston. Presentación caja de 15 kg (60 cajas por palet).",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/LW-809-625.webp,true,true,lamb_weston_mayorista.csv
LW-818-525,"Lamb Weston Corte Steakhouse 12 MM 5 x 2,5 kg",54000.0,300,1,caja,caja,Congelados,Papas Congeladas,Lamb Weston,Caja 12.5 kg,"LW-818-525|Lamb Weston Corte Steakhouse 12 MM 5 x 2,5 kg|Lamb Weston 12.5kg",0.9,1,"Lamb Weston Corte Steakhouse 12 MM 5 x 2,5 kg. Papas prefritas congeladas Lamb Weston. Presentación caja de 12.5 kg (60 cajas por palet).",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/LW-818-525.webp,true,true,lamb_weston_mayorista.csv
BTL-100-084,"BUTLER CORTE TRADICIONAL 9 MM 6 un x 2,5 Kg",54000.0,300,1,caja,caja,Congelados,Papas Congeladas,Butler,Caja 15 kg,"BTL-100-084|BUTLER CORTE TRADICIONAL 9 MM 6 un x 2,5 Kg|Butler 15kg",0.75,1,"BUTLER CORTE TRADICIONAL 9 MM 6 un x 2,5 Kg. Papas prefritas congeladas Butler. Presentación caja de 15 kg (60 cajas por palet).",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/BTL-100-084.jpg,true,true,lamb_weston_mayorista.csv
BTL-100-083,"BUTLER CORTE TRADICIONAL 9 MM 6 un x 2,0 Kg",40000.0,300,1,caja,caja,Congelados,Papas Congeladas,Butler,Caja 12 kg,"BTL-100-083|BUTLER CORTE TRADICIONAL 9 MM 6 un x 2,0 Kg|Butler 12kg",0.75,1,"BUTLER CORTE TRADICIONAL 9 MM 6 un x 2,0 Kg. Papas prefritas congeladas Butler. Presentación caja de 12 kg (75 cajas por palet).",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/BTL-100-083.jpg,true,true,lamb_weston_mayorista.csv
BTL-100-082,"BUTLER CORTE FINO X 7 MM 8 un x 2,25 Kg",68000.0,300,1,caja,caja,Congelados,Papas Congeladas,Butler,Caja 18 kg,"BTL-100-082|BUTLER CORTE FINO X 7 MM 8 un x 2,25 Kg|Butler 18kg",0.75,1,"BUTLER CORTE FINO X 7 MM 8 un x 2,25 Kg. Papas prefritas congeladas Butler. Presentación caja de 18 kg (48 cajas por palet).",https://via.placeholder.com/300?text=BTL-100-082,true,true,lamb_weston_mayorista.csv
LW-503,LAMB WESTON Dippers (canoas) 5 x 2 Kg,52000.0,300,1,caja,caja,Congelados,Papas Congeladas,Lamb Weston,Caja 10 kg,LW-503|LAMB WESTON Dippers (canoas) 5 x 2 Kg|Lamb Weston 10kg,0.9,1,LAMB WESTON Dippers (canoas) 5 x 2 Kg. Papas prefritas congeladas Lamb Weston. Presentación caja de 10 kg (90 cajas por palet).,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/LW-503.jpg,true,true,lamb_weston_mayorista.csv
LW-505-15K,LAMB WESTON Stealth Frites 9 15KG,71000.0,300,1,caja,caja,Congelados,Papas Congeladas,Lamb Weston,Caja 15 kg,LW-505-15K|LAMB WESTON Stealth Frites 9 15KG|Lamb Weston 15kg,0.9,1,LAMB WESTON Stealth Frites 9 15KG. Papas prefritas congeladas Lamb Weston. Presentación caja de 15 kg (90 cajas por palet).,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/LW-505-15K.webp,true,true,lamb_weston_mayorista.csv
LW-505-10K,LAMB WESTON Stealth Frites 9 mm 5 x 2 Kg,47500.0,300,1,caja,caja,Congelados,Papas Congeladas,Lamb Weston,Caja 10 kg,LW-505-10K|LAMB WESTON Stealth Frites 9 mm 5 x 2 Kg|Lamb Weston 10kg,0.9,1,LAMB WESTON Stealth Frites 9 mm 5 x 2 Kg. Papas prefritas congeladas Lamb Weston. Presentación caja de 10 kg (90 cajas por palet).,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/LW-505-10K.webp,true,true,lamb_weston_mayorista.csv
LW-509,LAMB WESTON Crisscut (papa Rejilla) 5 x 2 kg,60000.0,300,1,caja,caja,Congelados,Papas Congeladas,Lamb Weston,Caja 10 kg,LW-509|LAMB WESTON Crisscut (papa Rejilla) 5 x 2 kg|Lamb Weston 10kg,0.9,1,LAMB WESTON Crisscut (papa Rejilla) 5 x 2 kg. Papas prefritas congeladas Lamb Weston. Presentación caja de 10 kg (90 cajas por palet).,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/LW-509.webp,true,true,lamb_weston_mayorista.csv
LW-507,LAMB WESTON Rusticas (gajos Sab. Ondulados) 5 x 2 Kg,52000.0,300,1,caja,caja,Congelados,Papas Congeladas,Lamb Weston,Caja 10 kg,LW-507|LAMB WESTON Rusticas (gajos Sab. Ondulados) 5 x 2 Kg|Lamb Weston 10kg,0.9,1,LAMB WESTON Rusticas (gajos Sab. Ondulados) 5 x 2 Kg. Papas prefritas congeladas Lamb Weston. Presentación caja de 10 kg (90 cajas por palet).,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-ruggeri/LW-507.jpg,true,true,lamb_weston_mayorista.csv
