schema,product_code,nombre,score,shared,tokin_ref,tokin_name,tokin_brand,image_url,grams_src,grams_tok
almaro,715PT1000105,Yerba Mate 10 Rosa x500g.,6,mate|yerba,MOL-715PT0120105,Yerba Mate Rojo Bio Suave 500gr.,Molinos La Misión,https://tokin.vtexassets.com/arquivos/ids/223845/Mate-Rojo-Bio-2.jpg?v=638598451546700000,[500.0],[500.0]
almaro,7140022,Yerba Mate Playa c/palo 500 g,6,mate|yerba,MOL-715PT0120105,Yerba Mate Rojo Bio Suave 500gr.,Molinos La Misión,https://tokin.vtexassets.com/arquivos/ids/223845/Mate-Rojo-Bio-2.jpg?v=638598451546700000,[500.0],[500.0]
almaro,7092825,Yerba Natura Suave 500gr,8,500gr|suave|yerba,MOL-715PT0120105,Yerba Mate Rojo Bio Suave 500gr.,Molinos La Misión,https://tokin.vtexassets.com/arquivos/ids/223845/Mate-Rojo-Bio-2.jpg?v=638598451546700000,[500.0],[500.0]
almaro,11232,GELATINA MZNA MOGUL 24X30 GR,6,gelatina|mogul,ARC-1011334,Gelatina Mogul frutilla 30gr.,Mogul,https://tokin.vtexassets.com/arquivos/ids/158655/1011334_detail.jpg?v=637813047847070000,[30.0],[30.0]
almaro,12096,HUEVO TOYS MUNDIAL 8X12X22G,6,huevo|toys,ARC-1013394,Huevo Arcor Toys 22gr.,Toys,https://tokin.vtexassets.com/arquivos/ids/155667/1013394_detail.jpg?v=637813042487230000,[22.0],[22.0]
almaro,15481,LATA 75 AÑOS ARCOR - SURTIDO,6,anos|lata|surtido,ARC-1014878,Lata Aniversario 160 Años Surtido Bagley x 3un.,Surtido Bagley,https://tokin.vtexassets.com/arquivos/ids/227514/181753-1600-auto.png?v=638622635200770000,[],[]
almaro,15282,PAN DULCE COFLER RELLENO DULCE DE LECHE 10X450G,7,dulce|leche,ARC-1000236,Dulce de Leche Poncho Negro 450gr.,Poncho Negro,https://tokin.vtexassets.com/arquivos/ids/175520/1000236detail.jpg?v=638308197040800000,[450.0],[450.0]
almaro,504156,BUDIN RELL DDL 220GR FLOW VLT,6,220gr|budin,BIM-706504156,Budín Relleno DDL 220gr.,Valente,https://tokin.vtexassets.com/arquivos/ids/277183/BIM-706504156-UN-1.jpg?v=638931008180300000,[220.0],[220.0]
almaro,7171,MADALENAS MARMOLADAS VALENTE 200GR,10,200gr|madalenas|marmoladas|valente,BIM-7067171,Madalenas Valente Marmoladas 200gr.,Valente,https://tokin.vtexassets.com/arquivos/ids/159866/7793890256574_detail.jpg?v=637935149662070000,[200.0],[200.0]
almaro,964786,BRAUNICHOC SABEBIEN! 35GR,6,35gr|sabebien,BIM-706964786,Brownie Choc SabeBien 35gr.,SabeBien,https://tokin.vtexassets.com/arquivos/ids/277514/Brouniechoc-35gr--1-.webp?v=638931010568400000,[35.0],[35.0]
almaro,964798,BROWNIE CHIPS SABEBIEN! 62GR,10,62gr|brownie|chips|sabebien,BIM-706964798,Brownie Chips SabeBien 62gr.,SabeBien,https://tokin.vtexassets.com/arquivos/ids/278011/23cd93c1-f7b1-4ae7-8b45-e4d8c6abb90d.jpg?v=638931891313800000,[62.0],[62.0]
almaro,12776,POSTRE.BC.VAINILLA.6X8X50GR,7,postre|vainilla,ARC-1013192,Postre Light BC vainilla 50gr.,BC,https://tokin.vtexassets.com/arquivos/ids/175436/1013192detail.jpg?v=638307299587970000,[50.0],[50.0]
almaro,12191,PALITO CINDOR 12D X 6U X 50G,6,cindor|palito,ARC-1012192,Palito Helado Cindor 50gr.,Arcor,https://tokin.vtexassets.com/arquivos/ids/167466/1012192detail.jpg?v=638242592250400000,[50.0],[50.0]
almaro,502550,AZUCAR ARCOR 1 KG,6,arcor|azucar,ARC-1012753,Azúcar común tipo A Arcor 1kg.,Arcor,https://tokin.vtexassets.com/arquivos/ids/156186/1012753_detail.jpg?v=637813043971330000,[1000.0],[1000.0]
almaro,14321,HUEVO ARCOR MILK DINO RACE 12x140,6,arcor|huevo|milk,ARC-1013430,Huevo Arcor Milk La Serenisima 22gr.,Arcor Milk,https://tokin.vtexassets.com/arquivos/ids/175539/1013430detail.jpg?v=638308233381300000,[],[22.0]
almaro,7021362,Yerba Mate Taragui 500g,6,mate|yerba,MOL-715PT0120105,Yerba Mate Rojo Bio Suave 500gr.,Molinos La Misión,https://tokin.vtexassets.com/arquivos/ids/223845/Mate-Rojo-Bio-2.jpg?v=638598451546700000,[500.0],[500.0]
almaro,7021462,Yerba Mate Unión 500g,6,mate|yerba,MOL-715PT0120105,Yerba Mate Rojo Bio Suave 500gr.,Molinos La Misión,https://tokin.vtexassets.com/arquivos/ids/223845/Mate-Rojo-Bio-2.jpg?v=638598451546700000,[500.0],[500.0]
almaro,7021532,Yerba Mate Mañanita 500g,6,mate|yerba,MOL-715PT0120105,Yerba Mate Rojo Bio Suave 500gr.,Molinos La Misión,https://tokin.vtexassets.com/arquivos/ids/223845/Mate-Rojo-Bio-2.jpg?v=638598451546700000,[500.0],[500.0]
almaro,14245,POSTRE COFLER BLOCK CHOCOMANI 6X6X110G,7,block|cofler,ARC-1011283,Cofler Block 110 gr.,Cofler,https://tokin.vtexassets.com/arquivos/ids/165581/1011283detail.jpg?v=638242578124530000,[110.0],[110.0]
almaro,6264,BIZC VAINILLA GODET 12X480 G,7,godet|vainilla,ARC-1013174,Bizcochuelo Godet vainilla 480gr.,Godet,https://tokin.vtexassets.com/arquivos/ids/165266/1013174detail.jpg?v=638242576007170000,[480.0],[480.0]
almaro,6805,GALL. SURTIDO DIVERSION 21X400G,6,diversion|surtido,ARC-1014336,Surtido DiversÍon 400gr.,Diversión,https://tokin.vtexassets.com/arquivos/ids/194418/Hero-Diversion--1-.jpg?v=638427540992930000,[400.0],[400.0]
almaro,7137,CEREAL MIX AVENA Y PASAS 25X180G,9,avena|cereal|pasas,ARC-1013578,Galleta Cereal Mix Avena y pasas 180gr.,Cereal Mix,https://tokin.vtexassets.com/arquivos/ids/184752/Logo-nuevo-Arcor.png?v=638362507461700000,[180.0],[180.0]
almaro,7880,MAYONESA BC C/ACEITE OLIVA 12X500 CC(483G),6,aceite|oliva,TIM-703820077,Aceite Oliva Extra Virgen La Toscana 500ml.,La Toscana,https://tokin.vtexassets.com/arquivos/ids/171987/Oliva-500--1-.jpg?v=638271144446530000,"[500.0, 483.0]",[500.0]
almaro,11639,GOM MOGUL TUTTI FRUTTI 6X500 GRS,6,mogul|tutti,ARC-1014750,Mini Tubito Mogul Extreme Tutti  500gr.,Mogul,https://tokin.vtexassets.com/arquivos/ids/257003/1014750_detail.webp?v=638839578775000000,[500.0],[500.0]
almaro,11239,ARCOR CREMA AMERICAN 20X70G,6,arcor|crema,ARC-1013072,Palito Helado Arcor crema Ame. 70gr.,Arcor,https://tokin.vtexassets.com/arquivos/ids/166728/1013072detail.jpg?v=638242587576600000,[70.0],[70.0]
almaro,3216,HELADO COFLER DULCE 22U.X63G,8,cofler|dulce|helado,ARC-1014783,Helado Cofler Dulce de Leche 63gr.,Cofler,https://tokin.vtexassets.com/arquivos/ids/231534/1014783_detail.jpg?v=638651200006300000,[63.0],[63.0]
almaro,10854,MOGUL CONITOS 4X1KG,6,conitos|mogul,ARC-1003113,Mogul Conitos 1kg.,Mogul,https://tokin.vtexassets.com/arquivos/ids/174945/1003113detail.jpg?v=638303119823400000,[1000.0],[1000.0]
almaro,12388,MOGUL EUCALIPTUS 12X10X50G,6,eucaliptus|mogul,ARC-1013011,Mogul Eucaliptus 50gr.,Mogul,https://tokin.vtexassets.com/arquivos/ids/166604/1013011detail.jpg?v=638242587127430000,[50.0],[50.0]
almaro,12777,POSTRE.BC.LIMON.CREMA.6X8X50GR,7,limon|postre,ARC-1013193,Postre Light BC limón 50gr.,BC,https://tokin.vtexassets.com/arquivos/ids/175431/1013193detail.jpg?v=638307294896600000,[50.0],[50.0]
almaro,504448,BUDIN CARROT CAKE 350GR ARTESANO,10,artesano|budin|cake|carrot,BIM-706504448,Budín Carrot Cake Artesano 350g,Bimbo,https://tokin.vtexassets.com/arquivos/ids/279661/BIM-706504448-UN-1.jpg?v=638939076551300000,[350.0],[350.0]
almaro,504450,BUDIN BANANA 350GR ARTESANO,8,artesano|banana|budin,BIM-706504450,Budín Banana Artesano 350g,Bimbo,https://tokin.vtexassets.com/arquivos/ids/285636/BIM-706504450-UN-1.jpg?v=638961499087800000,[350.0],[350.0]
almaro,515275,TAKIS XPLOSION 85GR FLOW BAR EXP,8,85gr|takis|xplosion,BIM-706515275,Takis Xplosion 85gr.,Takis,https://tokin.vtexassets.com/arquivos/ids/285393/BIM-706515275-UN-1.jpg?v=638960638781200000,[85.0],[85.0]
almaro,515276,TAKIS ORIGINAL 85GR FLOW BAR EXP,9,85gr|original|takis,BIM-706515276,Takis Original 85gr.,Takis,https://tokin.vtexassets.com/arquivos/ids/289532/BIM-706515276-UN-1.jpg?v=638983959712800000,[85.0],[85.0]
almaro,8478,CHOC. MANI/CHOCO COFLER BCO *,7,choc|cofler|mani,ARC-1011028,Maní c/Choc. Cofler Block 40gr.,Block,https://tokin.vtexassets.com/arquivos/ids/155627/1011028_detail.jpg?v=637813042409200000,[],[40.0]
almaro,3218,HELADO SLICE FRUTILLA 30 * 70,7,frutilla|helado|slice,ARC-1011330,Helado Slice frutilla 67gr.,Helados Slice,https://tokin.vtexassets.com/arquivos/ids/166766/1011330detail.jpg?v=638242587708170000,[],[67.0]
almaro,3857,BIZCOCHOS AZUCARADOS * 200 GRS,6,azucarados|bizcochos,ARC-1011000,Bizcochos azucarados Arcor 200gr.,Recetas de la Abuela,https://tokin.vtexassets.com/arquivos/ids/156112/1011000_detail.jpg?v=637813043782370000,[200.0],[200.0]
almaro,3891,HELADO CONO TOFI 14U.X105G,6,cono|helado,ARC-1003972,Cono Helado Bon o Bon 105gr.,Bon o Bon,https://tokin.vtexassets.com/arquivos/ids/165879/1003972detail.jpg?v=638242579455100000,[105.0],[105.0]
almaro,3952,BOMBON HELADO ARCOR 40 * 60 CC,6,arcor|helado,ARC-1013117,Helado Arcor Sapito 60gr.,Sapito,https://tokin.vtexassets.com/arquivos/ids/193237/1013117_detail.jpg?v=638423078591330000,[60.0],[60.0]
almaro,5092,JALEA DE MEMBRILLO 12 X 454 GRS.,7,jalea|membrillo,ARC-1013150,Jalea de membrillo LC 454gr.,La Campagnola,https://tokin.vtexassets.com/arquivos/ids/176256/1010519detail.jpg?v=638312635352000000,[454.0],[454.0]
almaro,15284,BUDIN COFLER RELLENO DULCE DE LECHE 6X250G,9,cofler|dulce|leche,ARC-1011240,Pote Helado Cofler con Dulce de Leche estilo Colonial La Serenisima 250gr,Cofler,https://tokin.vtexassets.com/arquivos/ids/193267/1011240_detail.jpg?v=638423249345130000,[250.0],[250.0]
almaro,5857,CHOCO. LECHE ARCOR 20X40X8G,7,arcor|leche,ARC-1013068,Chocolatín Arcor leche 8gr.,Arcor,https://tokin.vtexassets.com/arquivos/ids/240219/1013068-detail.jpg?v=638715051210230000,[8.0],[8.0]
almaro,6138,ALFAJOR BON-O-BON BLANCO 16X6X40G,7,alfajor|blanco,ARC-1004305,Alfajor Bon o Bon blanco 40gr.,Bon o Bon,https://tokin.vtexassets.com/arquivos/ids/164879/1004305detail.jpg?v=638242547528830000,[40.0],[40.0]
almaro,6611,CHOCO FLIAR AGUILA 6X15X150 GRS,6,aguila|choco,ARC-1014787,Frambuesas Aguila Choco/amargo 150gr.,Aguila,https://tokin.vtexassets.com/arquivos/ids/250760/ARC-1014787-UN-1.jpg?v=638793673972670000,[150.0],[150.0]
almaro,10519,JALEA MEMBRILLO LC 12X454GR,7,jalea|membrillo,ARC-1013150,Jalea de membrillo LC 454gr.,La Campagnola,https://tokin.vtexassets.com/arquivos/ids/176256/1010519detail.jpg?v=638312635352000000,[454.0],[454.0]
almaro,13865,RAPTOR BARRA PROTEIN MANI 6X16X45G,7,barra|mani,ARC-1013863,Barra Simple ProteÍna Maní 45gr.,Simple,https://tokin.vtexassets.com/arquivos/ids/228878/181753-1600-auto--4-.png?v=638635777349830000,[45.0],[45.0]
almaro,14556,GELA.FRUTILLA.NOEL.6X8X25.GR,7,frutilla|noel,ARC-1013207,Gelatina Noel frutilla 25gr.,Noel,https://tokin.vtexassets.com/arquivos/ids/272893/ARC-1013207.jpg?v=638914926763970000,[25.0],[25.0]
gonzales,13981,MANI CON CHOCOLATE BLANCO ARCOR 40X80G,9,arcor|blanco|mani,ARC-1015059,Tableta Arcor Blanco y mani 80gr.,Arcor,https://tokin.vtexassets.com/arquivos/ids/261846/ARC-1015059-UN-1.jpg?v=638863059975100000,[80.0],[80.0]
gonzales,13644,GARRAPIÑADA CON CHOCOLATE ARCOR 30X100G,7,arcor|chocolate,ARC-1014676,Chocolate Taza Arcor 100gr.,Arcor,https://tokin.vtexassets.com/arquivos/ids/213304/Imagen-Hero-1014676.jpg?v=638835301464830000,[100.0],[100.0]
gonzales,13865,RAPTOR BARRA PROTEIN MANI 6X16X45G,7,barra|mani,ARC-1013863,Barra Simple ProteÍna Maní 45gr.,Simple,https://tokin.vtexassets.com/arquivos/ids/228878/181753-1600-auto--4-.png?v=638635777349830000,[45.0],[45.0]
gonzales,15073,ROCKLETS PASTA DE MANI 12X18X40GR,7,mani|rocklets,ARC-1012145,Rocklets maní 40gr.,Rocklets,https://tokin.vtexassets.com/arquivos/ids/175749/1012145detail.jpg?v=638309151525470000,[40.0],[40.0]
gonzales,15284,BUDIN COFLER RELLENO DULCE DE LECHE 6X250G,9,cofler|dulce|leche,ARC-1011240,Pote Helado Cofler con Dulce de Leche estilo Colonial La Serenisima 250gr,Cofler,https://tokin.vtexassets.com/arquivos/ids/193267/1011240_detail.jpg?v=638423249345130000,[250.0],[250.0]
gonzales,15282,PAN DULCE COFLER RELLENO DULCE DE LECHE 10X450G,7,dulce|leche,ARC-1000236,Dulce de Leche Poncho Negro 450gr.,Poncho Negro,https://tokin.vtexassets.com/arquivos/ids/175520/1000236detail.jpg?v=638308197040800000,[450.0],[450.0]
gonzales,14245,POSTRE COFLER BLOCK CHOCOMANI 6X6X110G,7,block|cofler,ARC-1011283,Cofler Block 110 gr.,Cofler,https://tokin.vtexassets.com/arquivos/ids/165581/1011283detail.jpg?v=638242578124530000,[110.0],[110.0]
