product_code,nombre_almaro,nombre_gev,en_gonzales,umv_tipo_actual,umv_tipo_propuesto,unidad_minima_de_venta_actual,unidad_minima_de_venta_propuesta,unidades_por_display_actual,unidades_por_display_propuesto,displays_por_bulto_actual,displays_por_bulto_propuesto,unidades_por_bulto_actual,unidades_por_bulto_propuesto,patron,factor_a,factor_b,contenido,match_nombre,regla,fuente,confianza,accion,notas
10428,CH. TL OM HAPPY 12X1,CH. TL OM HAPPY 12X1,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,1,12X1,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10431,CH. WINTERMINT 12X12,CH. WINTERMINT 12X12,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,12,12X12,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10443,CHI.T.FRUT.LIC1.18X1,CHI.T.FRUT.LIC1.18X1,false,unidad,unidad,unidades,UNIDAD,,,,,1,18,2_factores,18,,1,18X1,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10485,MR. POPS MUNDIAL 8X1,MR. POPS MUNDIAL 8X1,false,unidad,unidad,unidades,UNIDAD,,,,,1,8,2_factores,8,,1,8X1,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10487,BOB BLANCO DISP.12X3,BOB BLANCO DISP.12X3,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,3,12X3,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10496,POSTRE TOFI 12 X 637G,POSTRE TOFI 12 X 637G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,637G,12X637G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10497,POSTRES AGUILA 12X637G,POSTRES AGUILA 12X637G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,637G,12X637G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10498,BALDE CHOCOTORTA 8X8,BALDE CHOCOTORTA 8X8,false,unidad,unidad,unidades,UNIDAD,,,,,1,8,2_factores,8,,8,8X8,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10506,MERM DURAZNO LIGHT NOEL 12X390,MERM DURAZNO LIGHT NOEL 12X390,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390,12X390,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10507,MERM DAMASCO LIGHT NOEL 12X390G,MERM DAMASCO LIGHT NOEL 12X390G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390G,12X390G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10508,MERM NARANJA LIGHT NOEL 12X390,MERM NARANJA LIGHT NOEL 12X390,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390,12X390,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10509,MERM CIRUELA LIGHT NOEL 12X390G,MERM CIRUELA LIGHT NOEL 12X390G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390G,12X390G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10510,MERM FRUTILLA LIGHT NOEL 12X390G,MERM FRUTILLA LIGHT NOEL 12X390G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390G,12X390G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10511,MERMELADA DURAZNO LC 12X390,MERMELADA DURAZNO LC 12X390,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390,12X390,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10512,MERMELADA FRUTILLA L 12X454GR,MERMELADA FRUTILLA L 12X454GR,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,454GR,12X454GR,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10513,MERM CIRUELA LC X 12X454 G,MERM CIRUELA LC X 12X454 G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,454G,12X454G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10514,MERM NARANJA LC 12X 454 G,MERM NARANJA LC 12X 454 G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,454G,12X454G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10515,MERMELADA DAMASCO LC 12X454GR,MERMELADA DAMASCO LC 12X454GR,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,454GR,12X454GR,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10516,MERM FRAMBUESA LC 12 X 454 G,MERM FRAMBUESA LC 12 X 454 G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,454G,12X454G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10517,MERM ARANDANO LC 12 X 454 G,MERM ARANDANO LC 12 X 454 G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,454G,12X454G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10518,MERMELADA TOMATE LC 12X454GR,MERMELADA TOMATE LC 12X454GR,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,454GR,12X454GR,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10519,JALEA MEMBRILLO LC 12X454GR,JALEA MEMBRILLO LC 12X454GR,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,454GR,12X454GR,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10520,MERMELADA DURAZNO BC 12X390GR,MERMELADA DURAZNO BC 12X390GR,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390GR,12X390GR,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10521,MERM FRUTILLA BC 12X390 G,MERM FRUTILLA BC 12X390 G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390G,12X390G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10522,MERMELADA CIRUELA BC 12X390GR,MERMELADA CIRUELA BC 12X390GR,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390GR,12X390GR,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10523,MERMELADA NARANJA BC 12X390GR,MERMELADA NARANJA BC 12X390GR,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390GR,12X390GR,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10524,MERMELADA DAMASCO BC 12X390G,MERMELADA DAMASCO BC 12X390G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390G,12X390G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10525,MERM ARANDANO BC 12X390 G,MERM ARANDANO BC 12X390 G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390G,12X390G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10526,MERMELADA TOMATE BC 12X390GR,MERMELADA TOMATE BC 12X390GR,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390GR,12X390GR,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10527,MERM FRUTOS ROJOS BC  12X390GR,MERM FRUTOS ROJOS BC  12X390GR,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390GR,12X390GR,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10528,MERMEL FRAMBUESA BC 12X390GR,MERMEL FRAMBUESA BC 12X390GR,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390GR,12X390GR,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10529,JALEA MEMBRILLO BC 12X390GR,JALEA MEMBRILLO BC 12X390GR,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,390GR,12X390GR,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10532,MASTICABLE MOGUL POTE 6X700G,MASTICABLE MOGUL POTE 6X700G,false,unidad,unidad,unidades,UNIDAD,,,,,1,6,2_factores,6,,700G,6X700G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10538,TETRA.ARCOR.MULTIF.24X200ML,TETRA.ARCOR.MULTIF.24X200ML,false,unidad,unidad,unidades,UNIDAD,,,,,1,24,2_factores,24,,200ML,24X200ML,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10540,TETRA.ARCOR.NARAN.24X200ML,TETRA.ARCOR.NARAN.24X200ML,false,unidad,unidad,unidades,UNIDAD,,,,,1,24,2_factores,24,,200ML,24X200ML,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10541,TETRA.ARCOR.MANZ.24X200ML,TETRA.ARCOR.MANZ.24X200ML,false,unidad,unidad,unidades,UNIDAD,,,,,1,24,2_factores,24,,200ML,24X200ML,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10544,B TOFF CHO BCO 6X959G,B TOFF CHO BCO 6X959G,false,unidad,unidad,unidades,UNIDAD,,,,,1,6,2_factores,6,,959G,6X959G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10559,PALITO BOB MIX 24X51,PALITO BOB MIX 24X51,false,unidad,unidad,unidades,UNIDAD,,,,,1,24,2_factores,24,,51,24X51,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10568,M.PLUS CHERRY12X12UN,M.PLUS CHERRY12X12UN,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,12UN,12X12UN,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10569,M.PLUS MENTOL12X12UN,M.PLUS MENTOL12X12UN,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,12UN,12X12UN,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10570,M.PLUS STRONG12X12UN,M.PLUS STRONG12X12UN,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,12UN,12X12UN,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10571,M.PLUS MIEL12X12UN R,M.PLUS MIEL12X12UN R,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,12UN,12X12UN,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
