product_code,nombre_almaro,nombre_excel,um_ventas_excel,um_precio_excel,bu_un,bu_di,di_un,umv_tipo_actual,umv_tipo_propuesto,unidades_por_display_actual,unidades_por_display_propuesto,displays_por_bulto_actual,displays_por_bulto_propuesto,unidades_por_bulto_actual,unidades_por_bulto_propuesto,cantidad_minima_actual,cantidad_minima_propuesta,regla
12852,CARAMELO ARCOR MINI CHERRY 10X800G,CARAMELO ARCOR CHERRY10X800G,DI,DI,4000,10,400,display,display,,400,10,10,10,10,1,1,precio_DI
13393,TOPLINE 7 TURBO MINT 12X125G,TOPLINE 7 TURBO MINT 12X125G,DI,DI,600,12,50,display,display,,50,12,12,12,12,1,1,precio_DI
13420,BUTTER TOFFEES SURTIDO 36X140G,BUTTER TOFFEES SURTI 140gr,DI,DI,828,36,23,display,display,,23,36,36,36,36,1,1,precio_DI
13424,GAJITOS 36X140G,GAJITOS 36X140G,DI,DI,720,36,20,display,display,,20,36,36,36,36,1,1,precio_DI
13607,HOGAREÑAS 7 SEMILLAS POR 3 12X3X189G,HOGAREÑAS 7 SEMI.+ 12X3X189G,DI,DI,12,12,1,display,display,3,,12,12,12,12,1,1,precio_DI
13648,BOCADITO CHOCOMANI 12X520G,BOCADITO CHOCOMANI 12X520GR,DI,DI,960,12,80,display,display,,80,12,12,12,12,1,1,precio_DI
13650,BOCADITO VACA LECHERA 12X520G,LA VACA LECHERA 12X520GR,DI,DI,960,12,80,display,display,,80,12,12,12,12,1,1,precio_DI
13784,MANA AGRUPADA VAINILLA POR 3 12X408G,MANA SABOR VAINILLA 12X3X136G,DI,DI,12,12,1,display,display,3,,12,12,12,12,1,1,precio_DI
13902,BUTTER TOFFEES DULCE DE LECHE 6X810G,BUTTER TOF. RELLENO DDL 6X810G,DI,DI,810,6,135,display,display,,135,6,6,6,6,1,1,precio_DI
14261,HELADO CHOCOTORTA 12X6 PORCIONES,AGRUP.CHOCOTORTAX6 12DX6UX53G,DI,DI,72,12,6,display,display,,6,12,12,12,12,1,1,precio_DI
14369,"GALLETAS COFLER BAÑADAS 16X132,8G",GALL COFLER BAÑADA 16X132G,DI,DI,128,16,8,display,display,,8,16,16,16,16,1,1,precio_DI
14392,TRAVIATA CON REX POR 3 12X3X96G,TRAVIATA CRACK REX 288 gr,DI,DI,12,12,1,display,display,3,,12,12,12,12,1,1,precio_DI
14719,BUTTER TOFFEES BUTTER & CREAM 36X99G,CAR. BUTTER TOFFEES BATER CREAM 140GR,DI,DI,792,36,22,display,display,,22,36,36,36,36,1,1,precio_DI
14720,BUTTER TOFFEES BUTTER & CREAM 6X675G,CAR. BUTTER TOFFEES B&C 6X675G,DI,DI,900,6,150,display,display,,150,6,6,6,6,1,1,precio_DI
14736,CAR B.TOFF D LECHE RELL CHOCO 810 GR,CAR B.TOFF D LECHE RELL CHOCO 810 GR,DI,DI,810,6,135,display,display,,135,6,6,6,6,1,1,precio_DI
14737,CAR B.TOF D LECHE RELLCH 140G,CAR B.TOF D LECHE RELLCH 140G,DI,DI,828,36,23,display,display,,23,36,36,36,36,1,1,precio_DI
4942,HOGAREÑAS SEMILLAS 12X3X181G,HOGAREÑAS SEMILLAS 12X3X181G,DI,DI,12,12,1,display,display,3,,12,12,12,12,1,1,precio_DI
10057,MENTHO PLUS SIN AZUCAR STRONG 12x12x26.6G,CAR.MP.ZERO STRONG 12X12X26.6 G,DI,UN,144,12,12,display,unidad,12,12,12,12,12,144,1,12,precio_UN_venta_DI
1009,ROCKLETS CHICO 12X24X20G,ROCKLETS CHOC. CONF. 12X24X20 GRS,UN,UN,288,12,24,display,unidad,24,24,12,12,12,288,1,1,precio_UN
10131,MENTHO PLUS MIEL 12X12X29.4G,MENTHOPLUS MIEL 12X12X29.4 G,DI,UN,144,12,12,display,unidad,12,12,12,12,12,144,1,12,precio_UN_venta_DI
10204,CRIOLLITAS POR 3 ORIGINAL 22X3X100G,CRIOLLITAS 22X3X100G,DI,UN,22,22,1,display,unidad,3,,22,,22,22,1,1,precio_UN
1042,CARAMELO BOCADITO HOLANDA 24X50U,CAR. HOLANDA 24x50x10gr,DI,UN,1200,24,50,display,unidad,50,50,24,24,24,1200,1,50,precio_UN_venta_DI
10798,AGUILA MEDALLON DE MENTA 24x15x14G,MEDALLON MTA AGUILA 24X15X14 GR,DI,UN,360,24,15,display,unidad,15,15,24,24,24,360,1,15,precio_UN_venta_DI
10918,TOPLINE SEVEN SANDIA 36x16x14.7G,CH. TL7 SANDIA 36X16X14G,DI,UN,576,36,16,display,unidad,16,16,36,36,36,576,1,16,precio_UN_venta_DI
1104,CARAMELO CREMINO SURTIDO 6X940G,CAR. CREMINO SURTIDO 6X940G,DI,UN,960,6,160,display,unidad,,160,6,6,6,960,1,160,precio_UN_venta_DI
11554,MENTHO PLUS CAFE LATTE 12x12x28G,MENTHOPLUS 2 CAFE LATTE 12X12X28G,DI,UN,144,12,12,display,unidad,12,12,12,12,12,144,1,12,precio_UN_venta_DI
11585,TABL COFLER GRAFFITI 8X24X45G,TABL COFLER GRAFFITI 8X24X45G,UN,UN,192,8,24,display,unidad,24,24,8,8,8,192,1,1,precio_UN
11599,ROCKLETON 12x16x13.5G,ROCKLETON 12X16UN.X13.5G,DI,UN,192,12,16,display,unidad,16,16,12,12,12,192,1,16,precio_UN_venta_DI
11612,TURRON CHOCOLATADA 4X50X25G,TURRON CHOCOLATADA 4X50X25G.,UN,UN,200,4,50,display,unidad,50,50,4,4,4,200,1,25,precio_UN
12100,TOPLINE SEVEN ULTRA GREEN MINT 12X12X24G,CH TL7 ULTRA GMINT 12X12X24G,DI,UN,144,12,12,display,unidad,12,12,12,12,12,144,1,12,precio_UN_venta_DI
12101,TOPLINE SEVEN ULTRA RED BERRY 12X12X24G,CH TL7 ULTRA RBERRY 12X12X24GR,DI,UN,144,12,12,display,unidad,12,12,12,12,12,144,1,12,precio_UN_venta_DI
12102,TOPLINE SEVEN ULTRA CLEAN MINT 12X12X24G,CH TL7 ULTRA CLEAN 12X12X24 GR,DI,UN,144,12,12,display,unidad,12,12,12,12,12,144,1,12,precio_UN_venta_DI
12756,HELADO MR POPS AGRUPADO 12X6X40G,HELADO MR POPS AGRUPADO 12X6X40G,DI,BU,72,12,6,display,unidad,6,6,12,12,12,72,1,72,precio_BU_como_unidad_min_bulto
12757,HELADO PALITO BOMBON POR 6 12X6X40G,PALITO BOMBON 12X6X40GR,DI,BU,72,12,6,display,unidad,6,6,12,12,12,72,1,72,precio_BU_como_unidad_min_bulto
13011,MOGUL EUCALIPTUS 12X10X50G,MOGUL EUCALIPTUS 12X10X50G,DI,UN,120,12,10,display,unidad,10,10,12,12,12,120,1,10,precio_UN_venta_DI
13056,BOMBON COFLER BLOCK 20X16X16G,CHOC COFLER BLOCK 20X16X16G,DI,UN,320,20,16,display,unidad,16,16,20,20,16,320,1,16,precio_UN_venta_DI
13110,CARAMELO BC SURTIDO 6X420G,CARAMELO BC SURTIDO 6X420G,DI,UN,1260,6,210,display,unidad,,210,6,6,6,1260,1,210,precio_UN_venta_DI
13137,SURTIDO CHOCOLATE ARCOR 24X246G,SURTID ARCOR EL KIOSKO 24X246G,UN,UN,24,24,1,display,unidad,,,24,,24,24,1,1,precio_UN
13295,HOGAREÑAS CON SALVADO POR 3 10X3X200G,HOGAREÑAS SALV. 10x3x200 g,DI,UN,30,10,3,display,unidad,3,3,10,10,10,30,1,3,precio_UN_venta_DI
13335,HUEVO ROCKLET 8X12X28G,HUEVO SUP ROCKLE 12X28GR,DI,UN,96,8,12,display,unidad,12,12,8,8,8,96,1,12,precio_UN_venta_DI
13346,TABLETA ARCOR MILK POR 4 4X20X48G,ARCOR MILK AGRUP X4 4X20X48G,UN,UN,80,4,20,display,unidad,20,20,4,4,80,80,1,1,precio_UN
13347,SONRISAS POR 3 12X3X108G,SONRISAS FRAMBUESA 12X3X108G,DI,BU,36,12,3,display,unidad,3,3,12,12,12,36,1,36,precio_BU_como_unidad_min_bulto
13409,BUTTER TOFFEES AVELLANA 8X648G,BUT.TOFFEES AVELLANAS 8X648 G,DI,UN,864,8,108,display,unidad,,108,8,8,8,864,1,108,precio_UN_venta_DI
13620,"CHICLE ALKA MENTA 30X20X6,7G","CHICLE ALKA MENTA 30X20X6,7G",DI,UN,600,30,20,display,unidad,20,20,30,30,30,600,1,20,precio_UN_venta_DI
13710,TOPLINE7 ULTRA DOBLE 12X12X24G,TOPLINE7 ULTRA DOBLE 12X12X24G,DI,UN,144,12,12,display,unidad,12,12,12,12,12,144,1,12,precio_UN_venta_DI
13711,MENTHO PLUS SIN AZUCAR COOL MINT 36X30G,COMPR. MPLUS COOL MINT 36X30G,DI,UN,1080,36,30,display,unidad,,30,36,36,36,1080,1,30,precio_UN_venta_DI
13712,MENTHO PLUS SIN AZUCAR MIX BERRIES 36X30G,COMPR. MPLUS MIX BERRIES36X30G,DI,UN,36,36,1,display,unidad,,,36,,36,36,1,1,precio_UN
13797,"MENTHO PLUS 2 DULCE DE LECHE 12X12X27,2G","CAR. M.PLUS 2 DDL 12X12X27,2G",DI,UN,144,12,12,display,unidad,12,12,12,12,12,144,1,12,precio_UN_venta_DI
13956,MOGUL BAÑADOS 24X80G,MOGUL BAÑADOS 24X80G,DI,UN,24,24,1,display,unidad,,,24,,24,24,1,1,precio_UN
13987,MEDALLON  AGUILA DOS SABORES 20X12X14G,MEDALLON AG 2SAB 20X12UNIDADES,DI,UN,240,20,12,display,unidad,12,12,20,20,20,240,1,12,precio_UN_venta_DI
13998,TOPLINE SEVEN  XPLOSIVE LATA 8X8X24GR,TOPLINE 7 XPLOSIVE 8 X 8 X 24 G LATA,UN,UN,64,8,8,display,unidad,8,8,8,8,64,64,1,1,precio_UN
14047,MOGUL LADRIL BLUE MUND 6X500G,LADRILLO BLUEB MUNDIAL 6X500G,DI,UN,6,6,1,display,unidad,,,6,,600,6,1,1,precio_UN
14048,MOGUL TWIST MUND ANANA 6X24X25G,TWIST MAX ANANA MUNDIAL 6X24X25G,DI,UN,144,6,24,display,unidad,24,24,6,6,144,144,1,24,precio_UN_venta_DI
14155,CHICLE FLICS MENTA 24X12X17G,CHICLE FLICS MENTA 24X12X17G,DI,UN,288,24,12,display,unidad,12,12,24,24,24,288,1,12,precio_UN_venta_DI
14156,CHICLE FLICS TUTTI FRUTTI 24X12X17G,CHICLE FLICS FTILLA 24X12X17G,DI,UN,288,24,12,display,unidad,12,12,24,24,24,288,1,12,precio_UN_venta_DI
14230,"CH TOP LINE MENTA 24 X 20 X 6,7G","CH TOP LINE MENTA 24 X 20 X 6,7G",DI,UN,480,24,20,display,unidad,20,20,24,24,480,480,1,20,precio_UN_venta_DI
14248,CEREALES FORMIS TORTUGA CHOCOLATE 30X145G,CEREALES FORMIS CHOCO 30X145G,UN,UN,30,30,1,display,unidad,,,30,,30,30,1,1,precio_UN
14250,CEREALES FORMIS ESTRELLAS FRUTAL 30X145G,CEREALES FORMIS FRUTAL 30X145G,UN,UN,30,30,1,display,unidad,,,30,,30,30,1,1,precio_UN
14252,CEREALES FORMIS COCODRILO POCORN 30X145G,CEREALES FORMIS POPCORN 30X145,UN,UN,30,30,1,display,unidad,,,30,,30,30,1,1,precio_UN
14363,ALF.COFLER BLOCK 16X6x40.7g,ALF.COFLER BLOCK 16X6x40.7g,DI,UN,96,16,6,display,unidad,6,6,16,16,16,96,1,6,precio_UN_venta_DI
14377,GALLETAS COFLER RELLENAS CREAMY 27X85G,GALL. COFLER CHOC RELL. VA 27X85G,UN,UN,27,27,1,display,unidad,,,27,,27,27,1,1,precio_UN
14378,GALLETAS COFLER RELLENAS CHOCOLATE 27X85G,GALL. COFLER VAI RELL. CHO 27X85GR,UN,UN,27,27,1,display,unidad,,,27,,27,27,1,1,precio_UN
14380,GALLETAS COFLER RELLENAS BONOBON 27X85G,GALL COFL RELL. BOB 27X85gr,UN,UN,27,27,1,display,unidad,,,27,,27,27,1,1,precio_UN
14381,OBLEA COFLER CHO - V 36x91gr,OBLEA COFLER CHO - V 36x91gr,UN,UN,36,36,1,display,unidad,,,36,,36,36,1,1,precio_UN
14382,OBLEA COFLER VAI - C 36X91GR,OBLEA COFLER VAI - C 36X91GR,UN,UN,36,36,1,display,unidad,,,36,,36,36,1,1,precio_UN
14429,JUGO POLVO ARCOR NARANJA 12X18X15G,JG.PV.ARCOR.NARANJA.12X18X15.G,DI,UN,216,12,18,display,unidad,18,18,12,12,12,216,1,18,precio_UN_venta_DI
14430,JUGO POLVO ARCOR MANZANA 12X18X15G,JG.PV.ARCOR.MANZANA.12X18X15.G,DI,UN,216,12,18,display,unidad,18,18,12,12,12,216,1,18,precio_UN_venta_DI
14431,JUGO POLVO ARCOR MULTIFRUTA 12X18X15G,JG.PV.ARCOR.MULTIFR.12X18X15.G,DI,UN,216,12,18,display,unidad,18,18,12,12,12,216,1,18,precio_UN_venta_DI
14432,JUGO POLVO ARCOR NARANJA DURAZNO 12X18X15G,JG.PV.ARCOR.NAR.DUR.12X18X15.G,DI,UN,216,12,18,display,unidad,18,18,12,12,12,216,1,18,precio_UN_venta_DI
14433,JUGO POLVO ARCOR LIMONADA 12X18X15G,JG.PV.ARCOR.LIMONAD.12X18X15.G,DI,UN,216,12,18,display,unidad,18,18,12,12,12,216,1,18,precio_UN_venta_DI
14434,JUGO POLVO ARCOR ANANA 12X18X15G,JG.PV.ARCOR.ANANA.12X18X15.G,DI,UN,216,12,18,display,unidad,18,18,12,12,12,216,1,18,precio_UN_venta_DI
14435,JUGO POLVO ARCOR NARANJA BANANA 12X18X15G,JG.PV.ARCOR.NAR.BAN.12X18X15.G.,DI,UN,216,12,18,display,unidad,18,18,12,12,12,216,1,18,precio_UN_venta_DI
14436,JUGO POLVO ARCOR NARANJA DULCE 12X18X15G,JG.PV.ARCOR.NAR.DUL.12X18X15.G.,DI,UN,216,12,18,display,unidad,18,18,12,12,12,216,1,18,precio_UN_venta_DI
14437,JUGO POLVO ARCOR NARANJA MANGO 12X18X15G,JG.PV.ARCOR.NJA.MAN.12X18X15.G.,DI,UN,216,12,18,display,unidad,18,18,12,12,12,216,1,18,precio_UN_venta_DI
14439,JUGO POLVO ARCOR DURAZNO 12X18X15G,JG.PV.ARCOR.DURAZNO.12X18X15.G,DI,UN,216,12,18,display,unidad,18,18,12,12,12,216,1,18,precio_UN_venta_DI
14440,JUGO POLVO ARCOR 3 FRUTAS 12X18X15G,JG.PV.ARCOR.3FRUTAS.12X18X15.G,DI,UN,216,12,18,display,unidad,18,18,12,12,12,216,1,18,precio_UN_venta_DI
14441,JUGO POLVO ARCOR POMELO ROSADO 12X18X15G,JG.PV.ARCOR.POM.ROS.12X18X15.G,DI,UN,216,12,18,display,unidad,18,18,12,12,12,216,1,18,precio_UN_venta_DI
14443,JG.PV.BC.LI.FTS.ROJ.16X18X6.5GR,JG.PV.BC.LI.FTS.ROJ.16X18X6.5GR,DI,UN,288,16,18,display,unidad,18,18,16,16,16,288,1,18,precio_UN_venta_DI
14444,JG.PV.BC.LIM.JENG.16x18x6.5gr,JG.PV.BC.LIM.JENG.16x18x6.5gr,DI,UN,288,16,18,display,unidad,18,18,16,16,16,288,1,18,precio_UN_venta_DI
14473,COFLER CUPS MANI 20X16X17G,COFLER CUPS MANI 20X16X17G,DI,UN,320,20,16,display,unidad,16,16,20,20,20,320,1,16,precio_UN_venta_DI
14675,COFLER CUPS SPLIT 20X16X17G,COFLER CUPS SPLIT 20X16X17G,DI,UN,320,20,16,display,unidad,16,16,20,20,20,320,1,16,precio_UN_venta_DI
14677,MOGUL BANANITAS 12X12X30G,MOGUL BANANITAS 12X12X30G,DI,UN,144,12,12,display,unidad,12,12,12,12,12,144,1,12,precio_UN_venta_DI
14727,TOPLINE SEVEN TURBO MINT 10X6X25G,CH CONF TL TURBO MIN 10X6X25G,DI,UN,60,10,6,display,unidad,6,6,10,10,10,60,1,6,precio_UN_venta_DI
14740,MOGUL EXTREME TUBITOS TUTTI FRUTTI 12X16X15G,TUBITOS MOGUL EXT.TUTI FRUTI 16X15gr,UN,UN,192,12,16,display,unidad,16,16,12,12,12,192,1,1,precio_UN
14782,HELADO FRAMBUESA CHOCOLATE CON LECHE 12X150G,FRAMBUESA CHOCOL.LECHE 12X150G,DI,UN,12,12,1,display,unidad,,,12,,12,12,1,1,precio_UN
14790,HELADO BOMBON ESCOCES 12X6X90G,BOMBON BOB ESCOCES 90G,DI,UN,72,12,6,display,unidad,6,6,12,12,12,72,1,6,precio_UN_venta_DI
14820,HUEVO ROCKLETS COHETE 6X530GR,HUEVO ROCKLETS COHETE 6X530 G,UN,UN,6,6,1,display,unidad,,,6,,6,6,1,1,precio_UN
14830,"MENTHO PLUS 2 FRUTILLA 12X12X27,2G","CAR. M.PLUS2 FLLA. 12X12X27,2G",DI,UN,144,12,12,display,unidad,12,12,12,12,12,144,1,12,precio_UN_venta_DI
14873,MOGUL GUSANITO ROCKS EXTREME 12X10X40GR,MOGUL GUSANITO ROCKS 12x10x40GR,DI,UN,120,12,10,display,unidad,10,10,12,12,120,120,1,10,precio_UN_venta_DI
14883,HELADO BARRITA AGUILA AMERICANA 8X6X34G,BARRITA AGU AGRUP 8X6X34G,DI,UN,48,8,6,display,unidad,6,6,8,8,8,48,1,6,precio_UN_venta_DI
14887,HELADO FRAMBUESA CHOCOLATE AMARGO 12X150G,FRAMBUESA CHOCO.AMARGO 12X150G,DI,UN,12,12,1,display,unidad,,,12,,12,12,1,1,precio_UN
14888,MOGUL FRUT EXTREME 6X500G,MOGUL FRUTILLA EXTREME 6 X 500G,DI,UN,6,6,1,display,unidad,,,6,,498,6,1,1,precio_UN
14900,BATIDO COLAGENO HIDROLIZADO LIMONADA 6X237GR,BATIDO COLAG. LIMONADA 6X273G,UN,UN,6,6,1,display,unidad,,,6,,6,6,1,1,precio_UN
14904,CARAMELO FIZZ PICANTE 12X48X18G,FIZZ PIC 12X48X18.4 G,DI,UN,576,12,48,display,unidad,48,48,12,12,12,576,1,48,precio_UN_venta_DI
14993,MR POPS CHUPETIN SURTIDO POR 10 24X180G,CHUP MRP STDO CZA&BLUE 24X180G,DI,UN,240,24,10,display,unidad,,10,24,24,24,240,1,10,precio_UN_venta_DI
14999,MOGUL GOMAS COLA 12X12X30G,GOMAS MOGUL COLA 12X12X30G,DI,UN,144,12,12,display,unidad,12,12,12,12,12,144,1,12,precio_UN_venta_DI
15004,TURROCKLETS 4X50X25G,TURROCKLETS 4X50X25 GRS,UN,UN,200,4,50,display,unidad,50,50,4,4,4,200,1,25,precio_UN
15017,MOGUL ARAÑITAS RELLENAS 12X12X30GR,MOGUL ARAÑITAS RELL 12v12x30GR,DI,UN,144,12,12,display,unidad,12,12,12,12,144,144,1,12,precio_UN_venta_DI
15019,MOGUL OSITO EXTREME PICANTE 12X12X30G,MOGUL OSITO EXT PIC 12X30GR,DI,UN,144,12,12,display,unidad,12,12,12,12,12,144,1,12,precio_UN_venta_DI
15023,RELLENO UNTABLE COFLER MARROC 24X290GR,RELL UNT COF MARROC 24 X 290G,DI,UN,24,24,1,display,unidad,24,,1,,24,24,1,1,precio_UN
15024,AGUILA 60% CACAO NARANJA BARRITA 24X24X14G,AGUI 60%C C/NARAN 24X24X14G ST,UN,UN,576,24,24,display,unidad,24,24,24,24,24,576,1,1,precio_UN
15027,TRAVIATA CON KESITA POR 3 12X3X96G,TRAVIATA CRACK KESITA 12X3X96G,DI,UN,36,12,3,display,unidad,3,3,12,12,12,36,1,3,precio_UN_venta_DI
15052,"TOPLINE STRONG 24X20X6,7GR",CH. TOPLINE STRONG 24X20X6.7G,DI,UN,480,24,20,display,unidad,20,20,24,24,480,480,1,20,precio_UN_venta_DI
15063,MOGUL MASTI CONFITADOS 12X16X30G,MOGUL MASTI CONF 16X30G,DI,UN,192,12,16,display,unidad,16,16,12,12,12,192,1,16,precio_UN_venta_DI
15065,MOGUL MASTI CONFITADOS EXTREME 12X16X30G,MOGUL MASTI EXT 16X30G,UN,UN,192,12,16,display,unidad,16,16,12,12,12,192,1,4,precio_UN
15070,ROCKLETS BOLLS CEREAL 12X8X35G,ROCKLETS BOLLS CEREAL 12X8X35G,UN,UN,96,12,8,display,unidad,8,8,12,12,12,96,1,4,precio_UN
15073,ROCKLETS P. BUTTER 12 X 18 X 40G,ROCKLETS P. BUTTER 12 X 18 X 40G,UN,UN,216,12,18,display,unidad,18,18,12,12,216,216,1,3,precio_UN
15074,ROCKLETS COOKIE 12X8X35G,ROCKLETS COOKIE 12X8X35G,DI,UN,96,12,8,display,unidad,8,8,12,12,12,96,1,8,precio_UN_venta_DI
15075,MOGUL MASTI SPLASH UVA Y TUTTI FRUTTI 12X10X30G,MOGUL SPLASH 10X30G,UN,UN,120,12,10,display,unidad,10,10,12,12,12,120,1,1,precio_UN
15089,MOGUL MASTI EXTREME SPLASH 12X10X30G,MOGUL MASTI EXT 10X30G,DI,UN,120,12,10,display,unidad,10,10,12,12,12,120,1,10,precio_UN_venta_DI
15110,MOGUL TWIST MAX BLUEBERRY 6X24X25G,TWIST MAX MOGUL BLUEB 6X24X25G,DI,UN,144,6,24,display,unidad,24,24,6,6,6,144,1,24,precio_UN_venta_DI
15111,MOGUL MASTI EXTREME ROLL MANZANA 13G,MOGUL ROLL MANZ EXT 24X13G,DI,UN,576,24,24,display,unidad,,24,24,24,24,576,1,24,precio_UN_venta_DI
15112,MOGUL MASTI EXTREME ROLL TUTTI FRUTTI 13G,MOGUL ROLL 24X13G,DI,UN,576,24,24,display,unidad,,24,24,24,24,576,1,24,precio_UN_venta_DI
15116,CHUPETIN MR POPS EXPLOSIVE SANDIA 10X4 X5X10G,CHUP. EVO EXPL SAND,DI,UN,200,10,20,display,unidad,5,20,10,10,40,200,1,20,precio_UN_venta_DI
15117,CHUPETIN MR POPS EXPLOSIVE FRUTILLA 10G,CHUP EXPLOSIVE FLLA,DI,UN,200,10,20,display,unidad,,20,10,10,40,200,1,20,precio_UN_venta_DI
15119,PORTEÑITAS POR 3 12X3X139G,PORTEÑITAS 12X3X139G,DI,UN,12,12,1,display,unidad,3,,12,,12,12,1,1,precio_UN
15120,MOGUL PALOTES PICANTES SURTIDO 12X8X48G,MOG. PALO PIC 12X8X48G,DI,UN,96,12,8,display,unidad,8,8,12,12,12,96,1,8,precio_UN_venta_DI
15122,MOGUL PALOTES MASTI SURTIDO UVA Y TUTTI FRUTTI 12X8X48G,MOG PALOTES MAST STD 12X8X40GR,UN,UN,96,12,8,display,unidad,8,8,12,12,12,96,1,1,precio_UN
15123,MOGUL PALOTES MASTI SURTIDO UVA Y TUTTI FRUTTI 48X80G,MOGUL PALOTES 48X80G,UN,UN,48,48,1,display,unidad,,,48,,48,48,1,1,precio_UN
15125,MOGUL PALOTES EXTREME SURTIDO LIMON Y SANDIA 12X8X48G,MOGUL PALOTES EXT 8X40G,UN,UN,96,12,8,display,unidad,8,8,12,12,12,96,1,4,precio_UN
15133,MOGUL PALOTES UVA Y TUTTI FRUTTI 12X496G,MOGUL PALOTES 12X496G,DI,UN,744,12,62,display,unidad,,62,12,12,12,744,1,62,precio_UN_venta_DI
