schema,product_code,nombre,ratio,tokin_ref,tokin_name,tokin_brand,image_url,src_norm,tok_norm
almaro,12591,MOG.SOPA TENEBROSA 2,0.731,ARC-1013614,Mogul Sopa Tenebrosa 500gr.,Mogul,https://tokin.vtexassets.com/arquivos/ids/176466/1013614detail.jpg?v=638314416896600000,mog sopa tenebrosa 2,mogul sopa tenebrosa 500gr mogul
almaro,7249,MADALENAS RELL DDL VALENTE 200GR,0.73,BIM-7067245,Madalenas Valente  200gr.,Valente,https://tokin.vtexassets.com/arquivos/ids/186915/7067245---Madalenas-Choco-DDL-14p-200g---1-.jpg?v=638385072776230000,madalenas rell ddl valente 200gr,madalenas valente 200gr valente
almaro,4709,CAR. GAJITOS * 485 GRS.,0.727,ARC-1010885,Arcor Gajitos 485gr.,Arcor,https://tokin.vtexassets.com/arquivos/ids/155817/1010885_detail.jpg?v=637813042795200000,car gajitos 485 grs,arcor gajitos 485gr arcor
almaro,10592,MANI C/CHO.COFLER BL,0.727,ARC-1011028,Maní c/Choc. Cofler Block 40gr.,Block,https://tokin.vtexassets.com/arquivos/ids/155627/1011028_detail.jpg?v=637813042409200000,mani c cho cofler bl,mani c choc cofler block 40gr block
almaro,12503,SALADIX PAPAS BARBAC,0.727,ARC-1015330,Saladix papas barbacoa 50gr.,Saladix,https://tokin.vtexassets.com/arquivos/ids/285225/ARC-1015330-UN-1.jpg?v=638960405549670000,saladix papas barbac,saladix papas barbacoa 50gr saladix
almaro,11893,RELLENO AGUILA 3 EN 1 24X290 GR,0.727,ARC-1013433,Relleno untable Águila 3 en 1 290gr.,Águila,https://tokin.vtexassets.com/arquivos/ids/155683/1013433_detail.jpg?v=637813042521800000,relleno aguila 3 en 1 gr,relleno untable aguila 3 en 1 290gr aguila
almaro,964787,BROWNIE MINI SABEBIEN! 35GR,0.721,BIM-706964786,Brownie Choc SabeBien 35gr.,SabeBien,https://tokin.vtexassets.com/arquivos/ids/277514/Brouniechoc-35gr--1-.webp?v=638931010568400000,brownie mini sabebien 35gr,brownie choc sabebien 35gr sabebien
almaro,706964787,BROWNIE MINI SABEBIEN! 35GR,0.721,BIM-706964786,Brownie Choc SabeBien 35gr.,SabeBien,https://tokin.vtexassets.com/arquivos/ids/277514/Brouniechoc-35gr--1-.webp?v=638931010568400000,brownie mini sabebien 35gr,brownie choc sabebien 35gr sabebien
almaro,11237,GELATINA CEREZA BC 2,0.72,ARC-1014557,Gelatina Cereza Noel 25gr.,Noel,https://tokin.vtexassets.com/arquivos/ids/253340/1014557_detail--1---1-.jpg.jpg?v=638812002519200000,gelatina cereza bc 2,gelatina cereza noel 25gr noel
almaro,3956,HELADO CORAZON BON-O-BON 24 *,0.72,ARC-1014262,Helado Corazón Bon o Bon 244gr,Helados Bon o Bon,https://tokin.vtexassets.com/arquivos/ids/172666/1014262_detail.jpg?v=638277239667300000,helado corazon bon o bon 24,helado corazon bon o bon 244gr helados bon o bon
